Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Cal State Fullerton,California Baptist,3,1,0,0,L,California Baptist,California-Baptist,Cal-State-Fullerton,1,9,"Fullerton, CA / Goodwin Field",2026,WN2026
02/14/2026,California Baptist,Cal State Fullerton,5,4,0,0,W,California Baptist,California-Baptist,Cal-State-Fullerton,0,17,"Riverside, CA / James W. Totman Stadium",2026,WN2026
02/14/2026,California Baptist,Cal State Fullerton,7,6,0,0,W,California Baptist,California-Baptist,Cal-State-Fullerton,0,7,"Riverside, CA / James W. Totman Stadium",2026,WN2026
02/15/2026,Cal State Fullerton,California Baptist,0,7,0,0,W,California Baptist,California-Baptist,Cal-State-Fullerton,1,9,"Fullerton, CA / Goodwin Field",2026,WN2026
02/19/2026,California Baptist,Seattle University,14,6,0,0,W,California Baptist,California-Baptist,Seattle-University,0,9,"Riverside, CA / James W. Totman Stadium",2026,WN2026
02/20/2026,California Baptist,Seattle University,5,0,0,0,W,California Baptist,California-Baptist,Seattle-University,0,9,"Riverside, CA / James W. Totman Stadium",2026,WN2026
02/21/2026,California Baptist,Seattle University,7,1,0,0,W,California Baptist,California-Baptist,Seattle-University,0,9,"Riverside, CA / James W. Totman Stadium",2026,WN2026
02/22/2026,California Baptist,Seattle University,5,1,0,0,W,California Baptist,California-Baptist,Seattle-University,0,9,"Riverside, CA / James W. Totman Stadium",2026,WN2026
02/24/2026,California Baptist,Cal State Northridge,5,7,0,0,L,California Baptist,California-Baptist,Cal-State-Northridge,0,9,"Riverside, CA / James W. Totman Stadium",2026,WN2026
02/26/2026,San Francisco,California Baptist,2,16,0,0,W,California Baptist,California-Baptist,San-Francisco,1,9,"San Francisco, CA / Dante Benedetti Diamond",2026,WN2026
02/27/2026,San Francisco,California Baptist,1,7,0,0,W,California Baptist,California-Baptist,San-Francisco,1,9,"San Francisco, CA / Dante Benedetti Diamond",2026,WN2026
02/28/2026,San Francisco,California Baptist,3,2,0,0,L,California Baptist,California-Baptist,San-Francisco,1,9,"San Francisco, CA / Dante Benedetti Diamond",2026,WN2026
03/01/2026,San Francisco,California Baptist,1,2,0,0,W,California Baptist,California-Baptist,San-Francisco,1,9,"San Francisco, CA / Dante Benedetti Diamond",2026,WN2026
03/03/2026,California Baptist,UC Riverside,5,3,0,0,W,California Baptist,California-Baptist,UC-Riverside,0,9,"Riverside, CA / James W. Totman Stadium",2026,WN2026
03/05/2026,BYU,California Baptist,11,13,0,0,W,California Baptist,California-Baptist,BYU,1,9,"Provo, UT / Larry H. Miller Field",2026,WN2026
03/06/2026,BYU,California Baptist,7,14,0,0,W,California Baptist,California-Baptist,BYU,1,9,"Provo, UT / Larry H. Miller Field",2026,WN2026
03/07/2026,BYU,California Baptist,7,11,0,0,W,California Baptist,California-Baptist,BYU,1,9,"Provo, UT / Larry H. Miller Field",2026,WN2026
03/10/2026,Loyola-Marymount,California Baptist,7,2,0,0,L,California Baptist,California-Baptist,Loyola-Marymount,1,9,"Los Angeles, CA / George C. Page Stadium",2026,WN2026
03/13/2026,California Baptist,Harvard,5,1,0,0,W,California Baptist,California-Baptist,Harvard,0,9,"Riverside, CA / James W. Totman Stadium",2026,WN2026
03/14/2026,California Baptist,Harvard,11,4,0,0,W,California Baptist,California-Baptist,Harvard,0,9,"Riverside, CA / James W. Totman Stadium",2026,WN2026
03/15/2026,California Baptist,Harvard,3,2,0,0,W,California Baptist,California-Baptist,Harvard,0,10,"Riverside, CA / James W. Totman Stadium",2026,WN2026
03/16/2026,California Baptist,Harvard,12,14,0,0,L,California Baptist,California-Baptist,Harvard,0,9,"Riverside, CA / James W. Totman Stadium",2026,WN2026
03/20/2026,California Baptist,Evansville,11,6,0,0,W,California Baptist,California-Baptist,Evansville,0,9,"Riverside, CA / James W. Totman Stadium",2026,WN2026
03/21/2026,California Baptist,Evansville,10,3,0,0,W,California Baptist,California-Baptist,Evansville,0,9,"Riverside, CA / James W. Totman Stadium",2026,WN2026
03/22/2026,California Baptist,Evansville,9,1,0,0,W,California Baptist,California-Baptist,Evansville,0,9,"Riverside, CA / James W. Totman Stadium",2026,WN2026
03/24/2026,California Baptist,UC Riverside,12,1,0,0,W,California Baptist,California-Baptist,UC-Riverside,0,9,"Riverside, CA / James W. Totman Stadium",2026,WN2026
03/27/2026,Saint John's,California Baptist,3,12,0,0,W,California Baptist,California-Baptist,Saint-Johns,1,9,"Queens, NY / Jack Kaiser Stadium",2026,WN2026
03/28/2026,Saint John's,California Baptist,3,5,0,0,W,California Baptist,California-Baptist,Saint-Johns,1,9,"Queens, NY / Jack Kaiser Stadium",2026,WN2026
03/29/2026,Saint John's,California Baptist,0,4,0,0,W,California Baptist,California-Baptist,Saint-Johns,1,9,"Queens, NY / Jack Kaiser Stadium",2026,WN2026
04/02/2026,Abilene Christian,California Baptist,1,5,0,0,W,California Baptist,California-Baptist,Abilene-Christian,1,9,"Abilene, TX / Crutcher Scott Field",2026,WN2026
04/03/2026,Abilene Christian,California Baptist,2,3,0,0,W,California Baptist,California-Baptist,Abilene-Christian,1,9,"Abilene, TX / Crutcher Scott Field",2026,WN2026
04/04/2026,Abilene Christian,California Baptist,9,8,0,0,L,California Baptist,California-Baptist,Abilene-Christian,1,9,"Abilene, TX / Crutcher Scott Field",2026,WN2026
