Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Campbell,Cal Poly,5,2,0,0,W,Campbell,Campbell,Cal-Poly,0,9,"Buies Creek, NC / Jim Perry Stadium",2026,WN2026
02/14/2026,Campbell,Cal Poly,5,16,0,0,L,Campbell,Campbell,Cal-Poly,0,9,"Buies Creek, NC / Jim Perry Stadium",2026,WN2026
02/14/2026,Campbell,Cal Poly,3,4,0,0,L,Campbell,Campbell,Cal-Poly,0,9,"Buies Creek, NC / Jim Perry Stadium",2026,WN2026
02/17/2026,Campbell,East Carolina,2,1,0,0,W,Campbell,Campbell,East-Carolina,0,9,"Buies Creek, NC / Jim Perry Stadium",2026,WN2026
02/20/2026,Troy,Campbell,13,3,0,0,L,Campbell,Campbell,Troy,1,8,"Troy, AL / Riddle-Pace Field",2026,WN2026
02/22/2026,Troy,Campbell,1,13,0,0,W,Campbell,Campbell,Troy,1,8,"Troy, AL / Riddle-Pace Field",2026,WN2026
02/22/2026,Troy,Campbell,8,4,0,0,L,Campbell,Campbell,Troy,1,9,"Troy, AL / Riddle-Pace Field",2026,WN2026
02/24/2026,Coastal Carolina,Campbell,13,7,0,0,L,Campbell,Campbell,Coastal-Carolina,1,9,"Conway, SC / Springs Brooks Stadium",2026,WN2026
02/27/2026,Campbell,Wright State,4,6,0,0,L,Campbell,Campbell,Wright-State,0,9,"Buies Creek, NC / Jim Perry Stadium",2026,WN2026
02/28/2026,Campbell,Wright State,7,3,0,0,W,Campbell,Campbell,Wright-State,0,9,"Buies Creek, NC / Jim Perry Stadium",2026,WN2026
03/01/2026,Campbell,Wright State,1,3,0,0,L,Campbell,Campbell,Wright-State,0,9,"Buies Creek, NC / Jim Perry Stadium",2026,WN2026
03/06/2026,Campbell,William & Mary,9,2,0,0,W,Campbell,Campbell,William-Mary,0,9,"Buies Creek, NC / Jim Perry Stadium",2026,WN2026
03/07/2026,Campbell,William & Mary,6,1,0,0,W,Campbell,Campbell,William-Mary,0,9,"Buies Creek, NC / Jim Perry Stadium",2026,WN2026
03/08/2026,Campbell,William & Mary,8,5,0,0,W,Campbell,Campbell,William-Mary,0,9,"Buies Creek, NC / Jim Perry Stadium",2026,WN2026
03/10/2026,Campbell,Charlotte,5,13,0,0,L,Campbell,Campbell,Charlotte,0,9,"Buies Creek, NC / Jim Perry Stadium",2026,WN2026
03/13/2026,North Carolina A&T,Campbell,11,21,0,0,W,Campbell,Campbell,North-Carolina-AT,1,8,"Greensboro, NC / World War Memorial Stadium",2026,WN2026
03/14/2026,North Carolina A&T,Campbell,0,10,0,0,W,Campbell,Campbell,North-Carolina-AT,1,7,"Greensboro, NC / World War Memorial Stadium",2026,WN2026
03/15/2026,North Carolina A&T,Campbell,7,4,0,0,L,Campbell,Campbell,North-Carolina-AT,1,9,"Greensboro, NC / World War Memorial Stadium",2026,WN2026
03/17/2026,Campbell,Duke,13,3,0,0,W,Campbell,Campbell,Duke,0,8,"Buies Creek, NC / Jim Perry Stadium",2026,WN2026
03/18/2026,Campbell,Coastal Carolina,4,3,0,0,W,Campbell,Campbell,Coastal-Carolina,0,9,"Buies Creek, NC / Jim Perry Stadium",2026,WN2026
03/20/2026,Towson,Campbell,4,19,0,0,W,Campbell,Campbell,Towson,1,8,"Towson, MD / John B. Schuerholz Park",2026,WN2026
03/21/2026,Towson,Campbell,4,20,0,0,W,Campbell,Campbell,Towson,1,8,"Towson, MD / John B. Schuerholz Park",2026,WN2026
03/22/2026,Towson,Campbell,8,12,0,0,W,Campbell,Campbell,Towson,1,9,"Towson, MD / John B. Schuerholz Park",2026,WN2026
03/24/2026,North Carolina State,Campbell,2,7,0,0,W,Campbell,Campbell,North-Carolina-State,1,9,"Raleigh, NC / Doak Field",2026,WN2026
03/27/2026,Campbell,Charleston,12,10,0,0,W,Campbell,Campbell,Charleston,0,9,"Buies Creek, NC / Jim Perry Stadium",2026,WN2026
03/28/2026,Campbell,Charleston,6,3,0,0,W,Campbell,Campbell,Charleston,0,9,"Buies Creek, NC / Jim Perry Stadium",2026,WN2026
03/29/2026,Campbell,Charleston,3,2,0,0,W,Campbell,Campbell,Charleston,0,9,"Buies Creek, NC / Jim Perry Stadium",2026,WN2026
03/31/2026,North Carolina,Campbell,5,4,0,0,L,Campbell,Campbell,North-Carolina,1,14,"Chapel Hill, NC / Boshamer Stadium",2026,WN2026
04/02/2026,William & Mary,Campbell,2,5,0,0,W,Campbell,Campbell,William-Mary,1,9,"Williamsburg, VA / Plumeri Park",2026,WN2026
04/03/2026,William & Mary,Campbell,2,12,0,0,W,Campbell,Campbell,William-Mary,1,7,"Williamsburg, VA / Plumeri Park",2026,WN2026
04/04/2026,William & Mary,Campbell,6,8,0,0,W,Campbell,Campbell,William-Mary,1,9,"Williamsburg, VA / Plumeri Park",2026,WN2026
04/07/2026,Campbell,UNCG,4,11,0,0,L,Campbell,Campbell,UNCG,0,9,"Buies Creek, NC / Jim Perry Stadium",2026,WN2026
04/10/2026,Campbell,UNCW,3,5,0,0,L,Campbell,Campbell,UNCW,0,9,"Buies Creek, NC / Jim Perry Stadium",2026,WN2026
04/11/2026,Campbell,UNCW,7,3,0,0,W,Campbell,Campbell,UNCW,0,9,"Buies Creek, NC / Jim Perry Stadium",2026,WN2026
04/12/2026,Campbell,UNCW,7,5,0,0,W,Campbell,Campbell,UNCW,0,9,"Buies Creek, NC / Jim Perry Stadium",2026,WN2026
04/14/2026,UNCG,Campbell,8,11,0,0,W,Campbell,Campbell,UNCG,1,9,"Greensboro, NC / UNCG Baseball Stadium",2026,WN2026
04/17/2026,Campbell,Elon,6,10,0,0,L,Campbell,Campbell,Elon,0,9,"Buies Creek, NC / Jim Perry Stadium",2026,WN2026
04/18/2026,Campbell,Elon,7,1,0,0,W,Campbell,Campbell,Elon,0,9,"Buies Creek, NC / Jim Perry Stadium",2026,WN2026
04/19/2026,Campbell,Elon,5,10,0,0,L,Campbell,Campbell,Elon,0,9,"Buies Creek, NC / Jim Perry Stadium",2026,WN2026
04/21/2026,Charlotte,Campbell,4,5,0,0,W,Campbell,Campbell,Charlotte,1,10,"Charlotte, NC / Robert and Mariam Hayes Stadium",2026,WN2026
04/24/2026,Charleston,Campbell,1,16,0,0,W,Campbell,Campbell,Charleston,1,7,"Mount Pleasant, SC / CofC Baseball Stadium at Patriot's Point",2026,WN2026
04/25/2026,Charleston,Campbell,8,12,0,0,W,Campbell,Campbell,Charleston,1,9,"Mount Pleasant, SC / CofC Baseball Stadium at Patriot's Point",2026,WN2026
04/26/2026,Charleston,Campbell,4,6,0,0,W,Campbell,Campbell,Charleston,1,9,"Mount Pleasant, SC / CofC Baseball Stadium at Patriot's Point",2026,WN2026
04/28/2026,Campbell,High Point,5,4,0,0,W,Campbell,Campbell,High-Point,0,9,"Buies Creek, NC / Jim Perry Stadium",2026,WN2026
05/01/2026,Campbell,North Carolina A&T,11,1,0,0,W,Campbell,Campbell,North-Carolina-AT,0,8,"Buies Creek, NC / Jim Perry Stadium",2026,WN2026
05/02/2026,Campbell,North Carolina A&T,8,0,0,0,W,Campbell,Campbell,North-Carolina-AT,0,9,"Buies Creek, NC / Jim Perry Stadium",2026,WN2026
05/03/2026,Campbell,North Carolina A&T,8,2,0,0,W,Campbell,Campbell,North-Carolina-AT,0,9,"Buies Creek, NC / Jim Perry Stadium",2026,WN2026
05/05/2026,Charlotte,Campbell,7,15,0,0,W,Campbell,Campbell,Charlotte,1,9,"Charlotte, NC / Robert and Mariam Hayes Stadium",2026,WN2026
05/09/2026,Bradley,Campbell,3,14,0,1,W,Campbell,Campbell,Bradley,0,7,"Boiling Springs, NC / John Henry Moss Stadium / Box Score",2026,WN2026
05/09/2026,Gardner-Webb,Campbell,9,11,0,0,W,Campbell,Campbell,Gardner-Webb,1,9,"Boiling Springs, NC / John Henry Moss Stadium / Box Score",2026,WN2026
05/10/2026,Bradley,Campbell,5,4,0,1,L,Campbell,Campbell,Bradley,0,9,"Boiling Springs, NC / John Henry Moss Stadium / Box Score",2026,WN2026
05/14/2026,UNCW,Campbell,12,16,0,0,W,Campbell,Campbell,UNCW,1,9,"Wilmington, NC / Brooks Field",2026,WN2026
