Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Appalachian State,Canisius,5,2,0,0,L,Canisius,Canisius,Appalachian-State,1,9,"Hickory, NC / L.P. Frans Stadium",2026,WN2026
02/14/2026,Appalachian State,Canisius,13,3,0,0,L,Canisius,Canisius,Appalachian-State,1,7,"Hickory, NC / L.P. Frans Stadium",2026,WN2026
02/14/2026,Appalachian State,Canisius,8,5,0,0,L,Canisius,Canisius,Appalachian-State,1,9,"Hickory, NC / L.P. Frans Stadium",2026,WN2026
02/20/2026,UNCG,Canisius,3,1,0,0,L,Canisius,Canisius,UNCG,1,9,"Greensboro, NC / UNCG Baseball Stadium",2026,WN2026
02/21/2026,UNCG,Canisius,7,3,0,0,L,Canisius,Canisius,UNCG,1,9,"Greensboro, NC / UNCG Baseball Stadium",2026,WN2026
02/22/2026,UNCG,Canisius,12,2,0,0,L,Canisius,Canisius,UNCG,1,7,"Greensboro, NC / UNCG Baseball Stadium",2026,WN2026
02/27/2026,Towson,Canisius,2,3,0,0,W,Canisius,Canisius,Towson,1,9,"Towson, MD / John B. Schuerholz Park",2026,WN2026
02/28/2026,Towson,Canisius,2,4,0,0,W,Canisius,Canisius,Towson,1,9,"Towson, MD / John B. Schuerholz Park",2026,WN2026
03/01/2026,Towson,Canisius,16,7,0,0,L,Canisius,Canisius,Towson,1,9,"Towson, MD / John B. Schuerholz Park",2026,WN2026
03/06/2026,Delaware,Canisius,5,7,0,0,W,Canisius,Canisius,Delaware,1,9,"Newark, DE / Bob Hannah Stadium",2026,WN2026
03/07/2026,Delaware,Canisius,14,1,0,0,L,Canisius,Canisius,Delaware,1,7,"Newark, DE / Bob Hannah Stadium",2026,WN2026
03/08/2026,Delaware,Canisius,10,0,0,0,L,Canisius,Canisius,Delaware,1,7,"Newark, DE / Bob Hannah Stadium",2026,WN2026
03/13/2026,Mount Saint Mary's,Canisius,17,10,0,0,L,Canisius,Canisius,Mount-Saint-Marys,1,9,"Emmitsburg, MD / Straw Family Stadium",2026,WN2026
03/14/2026,Mount Saint Mary's,Canisius,10,9,0,0,L,Canisius,Canisius,Mount-Saint-Marys,1,9,"Emmitsburg, MD / Straw Family Stadium",2026,WN2026
03/15/2026,Mount Saint Mary's,Canisius,8,4,0,0,L,Canisius,Canisius,Mount-Saint-Marys,1,9,"Emmitsburg, MD / Straw Family Stadium",2026,WN2026
03/20/2026,Canisius,Merrimack,2,4,0,0,L,Canisius,Canisius,Merrimack,0,9,"Buffalo, NY / Demske Sports Complex",2026,WN2026
03/21/2026,Canisius,Merrimack,14,3,0,0,W,Canisius,Canisius,Merrimack,0,9,"Buffalo, NY / Demske Sports Complex",2026,WN2026
