Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/28/2026,Florida A&M,Central Connecticut,4,0,0,0,L,Central Connecticut,Central-Connecticut,Florida-AM,1,7,"Tallahassee, FL / Moore-Kittles Field",2026,WN2026
02/28/2026,Florida A&M,Central Connecticut,1,4,0,0,W,Central Connecticut,Central-Connecticut,Florida-AM,1,9,"Tallahassee, FL / Moore-Kittles Field",2026,WN2026
03/01/2026,Florida A&M,Central Connecticut,9,4,0,0,L,Central Connecticut,Central-Connecticut,Florida-AM,1,9,"Tallahassee, FL / Moore-Kittles Field",2026,WN2026
03/07/2026,Central Connecticut,Maryland Eastern Shore,11,7,0,0,W,Central Connecticut,Central-Connecticut,Maryland-Eastern-Shore,0,9,"New Britain, CT / Balf-Savin Field",2026,WN2026
03/08/2026,Central Connecticut,Maryland Eastern Shore,6,1,0,0,W,Central Connecticut,Central-Connecticut,Maryland-Eastern-Shore,0,9,"New Britain, CT / Balf-Savin Field",2026,WN2026
03/09/2026,Central Connecticut,Maryland Eastern Shore,13,6,0,0,W,Central Connecticut,Central-Connecticut,Maryland-Eastern-Shore,0,9,"New Britain, CT / Balf-Savin Field",2026,WN2026
03/11/2026,Central Connecticut,Northeastern,10,18,0,0,L,Central Connecticut,Central-Connecticut,Northeastern,0,9,"New Britain, CT / Balf-Savin Field",2026,WN2026
03/13/2026,Norfolk State,Central Connecticut,10,9,0,0,L,Central Connecticut,Central-Connecticut,Norfolk-State,1,10,"Norfolk, VA / Marty L. Miller Field",2026,WN2026
03/14/2026,Norfolk State,Central Connecticut,5,10,0,0,W,Central Connecticut,Central-Connecticut,Norfolk-State,1,9,"Norfolk, VA / Marty L. Miller Field",2026,WN2026
03/15/2026,Norfolk State,Central Connecticut,6,5,0,0,L,Central Connecticut,Central-Connecticut,Norfolk-State,1,9,"Norfolk, VA / Marty L. Miller Field",2026,WN2026
03/20/2026,Central Connecticut,Long Island,8,18,0,0,L,Central Connecticut,Central-Connecticut,Long-Island,0,8,"New Britain, CT / Balf-Savin Field",2026,WN2026
03/21/2026,Central Connecticut,Long Island,3,15,0,0,L,Central Connecticut,Central-Connecticut,Long-Island,0,9,"New Britain, CT / Balf-Savin Field",2026,WN2026
