Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Jacksonville State,Cincinnati,5,11,0,0,W,Cincinnati,Cincinnati,Jacksonville-State,1,9,"Jacksonville, AL / Rudy Abbott Field",2026,WN2026
02/14/2026,Jacksonville State,Cincinnati,5,6,0,0,W,Cincinnati,Cincinnati,Jacksonville-State,1,9,"Jacksonville, AL / Rudy Abbott Field",2026,WN2026
02/15/2026,Jacksonville State,Cincinnati,1,0,0,0,L,Cincinnati,Cincinnati,Jacksonville-State,1,9,"Jacksonville, AL / Rudy Abbott Field",2026,WN2026
02/17/2026,Auburn,Cincinnati,0,8,0,0,W,Cincinnati,Cincinnati,Auburn,1,9,"Auburn, AL / Plainsman Park",2026,WN2026
02/19/2026,UAB,Cincinnati,12,11,0,0,L,Cincinnati,Cincinnati,UAB,1,9,"Birmingham, AL / Jerry D. Young Memorial Field",2026,WN2026
02/20/2026,UAB,Cincinnati,8,3,0,0,L,Cincinnati,Cincinnati,UAB,1,9,"Birmingham, AL / Jerry D. Young Memorial Field",2026,WN2026
02/21/2026,UAB,Cincinnati,4,8,0,0,W,Cincinnati,Cincinnati,UAB,1,9,"Birmingham, AL / Jerry D. Young Memorial Field",2026,WN2026
02/22/2026,UAB,Cincinnati,6,8,0,0,W,Cincinnati,Cincinnati,UAB,1,9,"Birmingham, AL / Jerry D. Young Memorial Field",2026,WN2026
02/25/2026,Cincinnati,Bowling Green,11,1,0,0,W,Cincinnati,Cincinnati,Bowling-Green,0,7,"Cincinnati, OH / UC Baseball Stadium",2026,WN2026
02/27/2026,Cincinnati,Austin Peay,5,4,0,0,W,Cincinnati,Cincinnati,Austin-Peay,0,10,"Cincinnati, OH / UC Baseball Stadium",2026,WN2026
02/28/2026,Cincinnati,Austin Peay,1,7,0,0,L,Cincinnati,Cincinnati,Austin-Peay,0,9,"Cincinnati, OH / UC Baseball Stadium",2026,WN2026
02/28/2026,Cincinnati,Austin Peay,3,0,0,0,W,Cincinnati,Cincinnati,Austin-Peay,0,9,"Cincinnati, OH / UC Baseball Stadium",2026,WN2026
03/03/2026,Western Kentucky,Cincinnati,2,5,0,0,W,Cincinnati,Cincinnati,Western-Kentucky,1,9,"Cincinnati, OH / UC Baseball Stadium",2026,WN2026
03/05/2026,Cincinnati,UC San Diego,9,5,0,0,W,Cincinnati,Cincinnati,UC-San-Diego,0,9,"Cincinnati, OH / UC Baseball Stadium",2026,WN2026
03/06/2026,Cincinnati,UC San Diego,16,1,0,0,W,Cincinnati,Cincinnati,UC-San-Diego,0,7,"Cincinnati, OH / UC Baseball Stadium",2026,WN2026
03/07/2026,Cincinnati,UC San Diego,13,3,0,0,W,Cincinnati,Cincinnati,UC-San-Diego,0,7,"Cincinnati, OH / UC Baseball Stadium",2026,WN2026
03/08/2026,Cincinnati,UC San Diego,9,8,0,0,W,Cincinnati,Cincinnati,UC-San-Diego,0,11,"Cincinnati, OH / UC Baseball Stadium",2026,WN2026
03/10/2026,Cincinnati,Evansville,13,11,0,0,W,Cincinnati,Cincinnati,Evansville,0,9,"Cincinnati, OH / UC Baseball Stadium",2026,WN2026
03/12/2026,BYU,Cincinnati,5,2,0,0,L,Cincinnati,Cincinnati,BYU,1,9,"Provo, UT / Larry H. Miller Field",2026,WN2026
03/13/2026,BYU,Cincinnati,7,9,0,0,W,Cincinnati,Cincinnati,BYU,1,9,"Provo, UT / Larry H. Miller Field",2026,WN2026
03/14/2026,BYU,Cincinnati,10,9,0,0,L,Cincinnati,Cincinnati,BYU,1,9,"Provo, UT / Larry H. Miller Field",2026,WN2026
