Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Coastal Carolina,Fairfield,5,3,0,0,W,Coastal Carolina,Coastal-Carolina,Fairfield,0,9,"Conway, SC / Springs Brooks Stadium",2026,WN2026
02/14/2026,Coastal Carolina,Fairfield,5,1,0,0,W,Coastal Carolina,Coastal-Carolina,Fairfield,0,9,"Conway, SC / Springs Brooks Stadium",2026,WN2026
02/14/2026,Coastal Carolina,Fairfield,5,0,0,0,W,Coastal Carolina,Coastal-Carolina,Fairfield,0,9,"Conway, SC / Springs Brooks Stadium",2026,WN2026
02/17/2026,Coastal Carolina,Charleston,3,4,0,0,L,Coastal Carolina,Coastal-Carolina,Charleston,0,9,"Conway, SC / Springs Brooks Stadium",2026,WN2026
02/20/2026,Coastal Carolina,VCU,13,2,0,0,W,Coastal Carolina,Coastal-Carolina,VCU,0,8,"Conway, SC / Springs Brooks Stadium",2026,WN2026
02/22/2026,Coastal Carolina,VCU,6,3,0,0,W,Coastal Carolina,Coastal-Carolina,VCU,0,9,"Conway, SC / Springs Brooks Stadium",2026,WN2026
02/22/2026,Coastal Carolina,Illinois,5,14,0,0,L,Coastal Carolina,Coastal-Carolina,Illinois,0,9,"Conway, SC / Springs Brooks Stadium",2026,WN2026
02/24/2026,Coastal Carolina,Campbell,13,7,0,0,W,Coastal Carolina,Coastal-Carolina,Campbell,0,9,"Conway, SC / Springs Brooks Stadium",2026,WN2026
02/27/2026,Texas,Coastal Carolina,8,1,0,1,L,Coastal Carolina,Coastal-Carolina,Texas,0,9,"Houston, TX / Daikin Park",2026,WN2026
02/28/2026,UTSA,Coastal Carolina,16,10,0,1,L,Coastal Carolina,Coastal-Carolina,UTSA,0,9,"Houston, TX / Daikin Park",2026,WN2026
03/01/2026,Ole Miss,Coastal Carolina,2,9,0,1,W,Coastal Carolina,Coastal-Carolina,Ole-Miss,0,9,"Houston, TX / Daikin Park",2026,WN2026
03/03/2026,North Carolina State,Coastal Carolina,6,4,0,0,L,Coastal Carolina,Coastal-Carolina,North-Carolina-State,1,9,"Raleigh, NC / Doak Field",2026,WN2026
03/06/2026,Coastal Carolina,East Carolina,10,6,0,0,W,Coastal Carolina,Coastal-Carolina,East-Carolina,0,10,"Conway, SC / Springs Brooks Stadium",2026,WN2026
03/07/2026,Coastal Carolina,East Carolina,7,1,0,0,W,Coastal Carolina,Coastal-Carolina,East-Carolina,0,9,"Conway, SC / Springs Brooks Stadium",2026,WN2026
03/08/2026,Coastal Carolina,East Carolina,4,10,0,0,L,Coastal Carolina,Coastal-Carolina,East-Carolina,0,6,"Conway, SC / Springs Brooks Stadium",2026,WN2026
03/10/2026,Coastal Carolina,Wake Forest,10,4,0,0,W,Coastal Carolina,Coastal-Carolina,Wake-Forest,0,9,"Conway, SC / Springs Brooks Stadium",2026,WN2026
03/13/2026,Appalachian State,Coastal Carolina,6,10,0,0,W,Coastal Carolina,Coastal-Carolina,Appalachian-State,1,9,"Boone, NC / Beaver Field at Jim and Bettie Smith Stadium",2026,WN2026
03/14/2026,Appalachian State,Coastal Carolina,4,7,0,0,W,Coastal Carolina,Coastal-Carolina,Appalachian-State,1,9,"Boone, NC / Beaver Field at Jim and Bettie Smith Stadium",2026,WN2026
03/15/2026,Appalachian State,Coastal Carolina,7,8,0,0,W,Coastal Carolina,Coastal-Carolina,Appalachian-State,1,9,"Boone, NC / Beaver Field at Jim and Bettie Smith Stadium",2026,WN2026
03/18/2026,Campbell,Coastal Carolina,4,3,0,0,L,Coastal Carolina,Coastal-Carolina,Campbell,1,9,"Buies Creek, NC / Jim Perry Stadium",2026,WN2026
03/20/2026,Coastal Carolina,James Madison,12,2,0,0,W,Coastal Carolina,Coastal-Carolina,James-Madison,0,7,"Conway, SC / Springs Brooks Stadium",2026,WN2026
03/21/2026,Coastal Carolina,James Madison,10,0,0,0,W,Coastal Carolina,Coastal-Carolina,James-Madison,0,7,"Conway, SC / Springs Brooks Stadium",2026,WN2026
03/22/2026,Coastal Carolina,James Madison,16,6,0,0,W,Coastal Carolina,Coastal-Carolina,James-Madison,0,7,"Conway, SC / Springs Brooks Stadium",2026,WN2026
03/24/2026,Clemson,Coastal Carolina,9,11,0,0,W,Coastal Carolina,Coastal-Carolina,Clemson,1,9,"Clemson, SC / Doug Kingsmore Stadium",2026,WN2026
03/27/2026,Marshall,Coastal Carolina,9,11,0,0,W,Coastal Carolina,Coastal-Carolina,Marshall,1,9,"Huntington, WV / Jack Cook Field",2026,WN2026
