Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Lipscomb,Dayton,11,6,0,0,L,Dayton,Dayton,Lipscomb,1,9,"Nashville, TN / Ken Dugan Field",2026,WN2026
02/14/2026,Lipscomb,Dayton,1,3,0,0,W,Dayton,Dayton,Lipscomb,1,9,"Nashville, TN / Ken Dugan Field",2026,WN2026
02/15/2026,Lipscomb,Dayton,9,6,0,0,L,Dayton,Dayton,Lipscomb,1,9,"Nashville, TN / Ken Dugan Field",2026,WN2026
02/20/2026,Dayton,Eastern Kentucky,17,7,0,0,W,Dayton,Dayton,Eastern-Kentucky,0,8,"Dayton, OH / Woerner Field",2026,WN2026
02/21/2026,Dayton,Eastern Kentucky,12,9,0,0,W,Dayton,Dayton,Eastern-Kentucky,0,9,"Dayton, OH / Woerner Field",2026,WN2026
02/21/2026,Dayton,Eastern Kentucky,3,1,0,0,W,Dayton,Dayton,Eastern-Kentucky,0,9,"Dayton, OH / Woerner Field",2026,WN2026
02/25/2026,Dayton,Toledo,18,8,0,0,W,Dayton,Dayton,Toledo,0,7,"Dayton, OH / Woerner Field",2026,WN2026
02/27/2026,Ohio,Dayton,4,7,0,0,W,Dayton,Dayton,Ohio,1,9,"Athens, OH / Bob Wren Stadium",2026,WN2026
02/28/2026,Ohio,Dayton,4,7,0,0,W,Dayton,Dayton,Ohio,1,9,"Athens, OH / Bob Wren Stadium",2026,WN2026
03/01/2026,Dayton,Ohio,5,12,0,0,L,Dayton,Dayton,Ohio,0,9,"Dayton, OH / Woerner Field",2026,WN2026
03/01/2026,Dayton,Ohio,9,6,0,0,W,Dayton,Dayton,Ohio,0,8,"Dayton, OH / Woerner Field",2026,WN2026
03/04/2026,Akron,Dayton,11,14,0,0,W,Dayton,Dayton,Akron,1,9,"Akron, OH / Skeeles Field",2026,WN2026
03/06/2026,Dayton,Maine,12,5,0,0,W,Dayton,Dayton,Maine,0,9,"Dayton, OH / Woerner Field",2026,WN2026
03/08/2026,Dayton,Maine,10,9,0,0,W,Dayton,Dayton,Maine,0,9,"Dayton, OH / Woerner Field",2026,WN2026
03/08/2026,Dayton,Maine,14,8,0,0,W,Dayton,Dayton,Maine,0,9,"Dayton, OH / Woerner Field",2026,WN2026
03/10/2026,Dayton,Bowling Green,5,9,0,0,L,Dayton,Dayton,Bowling-Green,0,9,"Dayton, OH / Woerner Field",2026,WN2026
03/13/2026,Saint Louis,Dayton,8,3,0,0,L,Dayton,Dayton,Saint-Louis,1,9,"St. Louis, MO / Billiken Sports Center",2026,WN2026
03/14/2026,Saint Louis,Dayton,9,1,0,0,L,Dayton,Dayton,Saint-Louis,1,9,"St. Louis, MO / Billiken Sports Center",2026,WN2026
03/14/2026,Saint Louis,Dayton,2,12,0,0,W,Dayton,Dayton,Saint-Louis,1,9,"St. Louis, MO / Billiken Sports Center",2026,WN2026
03/18/2026,Miami (OH),Dayton,13,7,0,0,L,Dayton,Dayton,Miami-OH,1,9,"Oxford, OH / Stanley G. McKie Field at Joseph P. Hayden Jr. Park",2026,WN2026
03/20/2026,Dayton,VCU,7,17,0,0,L,Dayton,Dayton,VCU,0,9,"Dayton, OH / Woerner Field",2026,WN2026
03/21/2026,Dayton,VCU,2,5,0,0,L,Dayton,Dayton,VCU,0,10,"Dayton, OH / Woerner Field",2026,WN2026
03/22/2026,Dayton,VCU,14,12,0,0,W,Dayton,Dayton,VCU,0,9,"Dayton, OH / Woerner Field",2026,WN2026
03/24/2026,Dayton,Miami (OH),4,14,0,0,L,Dayton,Dayton,Miami-OH,0,7,"Dayton, OH / Woerner Field",2026,WN2026
03/27/2026,Davidson,Dayton,4,20,0,0,W,Dayton,Dayton,Davidson,1,9,"Davidson, NC / T. Henry Wilson Jr. Field",2026,WN2026
03/28/2026,Davidson,Dayton,9,7,0,0,L,Dayton,Dayton,Davidson,1,9,"Davidson, NC / T. Henry Wilson Jr. Field",2026,WN2026
