Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Little Rock,Eastern Michigan,6,1,0,0,L,Eastern Michigan,Eastern-Michigan,Little-Rock,1,9,"Little Rock, AR / Gary Hogan Field",2026,WN2026
02/14/2026,Little Rock,Eastern Michigan,6,11,0,0,W,Eastern Michigan,Eastern-Michigan,Little-Rock,1,9,"Little Rock, AR / Gary Hogan Field",2026,WN2026
02/15/2026,Little Rock,Eastern Michigan,2,0,0,0,L,Eastern Michigan,Eastern-Michigan,Little-Rock,1,9,"Little Rock, AR / Gary Hogan Field",2026,WN2026
02/17/2026,Vanderbilt,Eastern Michigan,13,2,0,0,L,Eastern Michigan,Eastern-Michigan,Vanderbilt,1,7,"Nashville, TN / Hawkins Field",2026,WN2026
02/18/2026,Vanderbilt,Eastern Michigan,16,2,0,0,L,Eastern Michigan,Eastern-Michigan,Vanderbilt,1,7,"Nashville, TN / Hawkins Field",2026,WN2026
02/20/2026,Austin Peay,Eastern Michigan,6,7,0,0,W,Eastern Michigan,Eastern-Michigan,Austin-Peay,1,9,"Clarksville, TN / Raymond C. Hand Park",2026,WN2026
02/21/2026,Austin Peay,Eastern Michigan,8,7,0,0,L,Eastern Michigan,Eastern-Michigan,Austin-Peay,1,11,"Clarksville, TN / Raymond C. Hand Park",2026,WN2026
02/22/2026,Austin Peay,Eastern Michigan,6,1,0,0,L,Eastern Michigan,Eastern-Michigan,Austin-Peay,1,9,"Clarksville, TN / Raymond C. Hand Park",2026,WN2026
02/27/2026,SIUE,Eastern Michigan,12,7,0,0,L,Eastern Michigan,Eastern-Michigan,SIUE,1,9,"Edwardsville, IL / Roy E. Lee Field at Simmons Baseball Complex",2026,WN2026
02/28/2026,SIUE,Eastern Michigan,1,9,0,0,W,Eastern Michigan,Eastern-Michigan,SIUE,1,9,"Edwardsville, IL / Roy E. Lee Field at Simmons Baseball Complex",2026,WN2026
02/28/2026,SIUE,Eastern Michigan,7,8,0,0,W,Eastern Michigan,Eastern-Michigan,SIUE,1,7,"Edwardsville, IL / Roy E. Lee Field at Simmons Baseball Complex",2026,WN2026
03/01/2026,SIUE,Eastern Michigan,4,3,0,0,L,Eastern Michigan,Eastern-Michigan,SIUE,1,9,"Edwardsville, IL / Roy E. Lee Field at Simmons Baseball Complex",2026,WN2026
03/03/2026,Notre Dame,Eastern Michigan,11,1,0,0,L,Eastern Michigan,Eastern-Michigan,Notre-Dame,1,8,"Notre Dame, IN / Frank Eck Stadium",2026,WN2026
03/06/2026,Miami (OH),Eastern Michigan,13,3,0,0,L,Eastern Michigan,Eastern-Michigan,Miami-OH,1,8,"Oxford, OH / Stanley G. McKie Field at Joseph P. Hayden Jr. Park",2026,WN2026
03/07/2026,Miami (OH),Eastern Michigan,13,3,0,0,L,Eastern Michigan,Eastern-Michigan,Miami-OH,1,8,"Oxford, OH / Stanley G. McKie Field at Joseph P. Hayden Jr. Park",2026,WN2026
03/08/2026,Miami (OH),Eastern Michigan,9,4,0,0,L,Eastern Michigan,Eastern-Michigan,Miami-OH,1,9,"Oxford, OH / Stanley G. McKie Field at Joseph P. Hayden Jr. Park",2026,WN2026
03/10/2026,Eastern Michigan,Michigan State,5,13,0,0,L,Eastern Michigan,Eastern-Michigan,Michigan-State,0,9,"Ypsilanti, MI / Oestrike Stadium",2026,WN2026
03/13/2026,Ball State,Eastern Michigan,17,13,0,0,L,Eastern Michigan,Eastern-Michigan,Ball-State,1,9,"Muncie, IN / Ball Diamond",2026,WN2026
03/14/2026,Ball State,Eastern Michigan,9,4,0,0,L,Eastern Michigan,Eastern-Michigan,Ball-State,1,9,"Muncie, IN / Ball Diamond",2026,WN2026
03/15/2026,Ball State,Eastern Michigan,12,9,0,0,L,Eastern Michigan,Eastern-Michigan,Ball-State,1,9,"Muncie, IN / Ball Diamond",2026,WN2026
03/20/2026,Eastern Michigan,Akron,3,7,0,0,L,Eastern Michigan,Eastern-Michigan,Akron,0,9,"Ypsilanti, MI / Oestrike Stadium",2026,WN2026
03/21/2026,Eastern Michigan,Akron,9,8,0,0,W,Eastern Michigan,Eastern-Michigan,Akron,0,10,"Ypsilanti, MI / Oestrike Stadium",2026,WN2026
03/22/2026,Eastern Michigan,Akron,6,2,0,0,W,Eastern Michigan,Eastern-Michigan,Akron,0,9,"Ypsilanti, MI / Oestrike Stadium",2026,WN2026
03/24/2026,Eastern Michigan,Youngstown State,8,7,0,0,W,Eastern Michigan,Eastern-Michigan,Youngstown-State,0,9,"Ypsilanti, MI / Oestrike Stadium",2026,WN2026
03/27/2026,Eastern Michigan,Central Michigan,9,8,0,0,W,Eastern Michigan,Eastern-Michigan,Central-Michigan,0,15,"Ypsilanti, MI / Oestrike Stadium",2026,WN2026
03/28/2026,Eastern Michigan,Central Michigan,12,11,0,0,W,Eastern Michigan,Eastern-Michigan,Central-Michigan,0,9,"Ypsilanti, MI / Oestrike Stadium",2026,WN2026
03/29/2026,Eastern Michigan,Central Michigan,13,7,0,0,W,Eastern Michigan,Eastern-Michigan,Central-Michigan,0,9,"Ypsilanti, MI / Oestrike Stadium",2026,WN2026
04/02/2026,Toledo,Eastern Michigan,10,2,0,0,L,Eastern Michigan,Eastern-Michigan,Toledo,1,9,"Toledo, OH / Scott Park Baseball Complex",2026,WN2026
04/03/2026,Toledo,Eastern Michigan,6,4,0,0,L,Eastern Michigan,Eastern-Michigan,Toledo,1,9,"Toledo, OH / Scott Park Baseball Complex",2026,WN2026
04/03/2026,Toledo,Eastern Michigan,23,8,0,0,L,Eastern Michigan,Eastern-Michigan,Toledo,1,7,"Toledo, OH / Scott Park Baseball Complex",2026,WN2026
04/06/2026,Eastern Michigan,Michigan,4,15,0,0,L,Eastern Michigan,Eastern-Michigan,Michigan,0,7,"Ypsilanti, MI / Oestrike Stadium",2026,WN2026
04/10/2026,Eastern Michigan,UMass,2,4,0,0,L,Eastern Michigan,Eastern-Michigan,UMass,0,9,"Ypsilanti, MI / Oestrike Stadium",2026,WN2026
