Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,FIU,Villanova,4,7,0,0,L,FIU,FIU,Villanova,0,9,"Miami, FL / FIU Baseball Stadium",2026,WN2026
02/14/2026,FIU,Villanova,13,3,0,0,W,FIU,FIU,Villanova,0,9,"Miami, FL / FIU Baseball Stadium",2026,WN2026
02/15/2026,FIU,Villanova,4,3,0,0,W,FIU,FIU,Villanova,0,9,"Miami, FL / FIU Baseball Stadium",2026,WN2026
02/17/2026,Bethune-Cookman,FIU,5,12,0,0,W,FIU,FIU,Bethune-Cookman,1,9,"Daytona, FL / Radiology Associates Field at Jackie Robinson Ballpark",2026,WN2026
02/20/2026,FIU,Holy Cross,7,4,0,0,W,FIU,FIU,Holy-Cross,0,9,"Miami, FL / FIU Baseball Stadium",2026,WN2026
02/21/2026,FIU,Holy Cross,14,10,0,0,W,FIU,FIU,Holy-Cross,0,9,"Miami, FL / FIU Baseball Stadium",2026,WN2026
02/21/2026,FIU,Holy Cross,6,5,0,0,W,FIU,FIU,Holy-Cross,0,12,"Miami, FL / FIU Baseball Stadium",2026,WN2026
02/22/2026,FIU,Holy Cross,17,20,0,0,L,FIU,FIU,Holy-Cross,0,9,"Miami, FL / FIU Baseball Stadium",2026,WN2026
02/24/2026,Florida,FIU,17,11,0,0,L,FIU,FIU,Florida,1,9,"Gainesville, FL / Condron Family Ballpark",2026,WN2026
02/25/2026,Florida,FIU,11,4,0,0,L,FIU,FIU,Florida,1,9,"Gainesville, FL / Condron Family Ballpark",2026,WN2026
02/27/2026,FIU,Stony Brook,1,11,0,0,L,FIU,FIU,Stony-Brook,0,7,"Miami, FL / FIU Baseball Stadium",2026,WN2026
02/28/2026,FIU,Stony Brook,10,9,0,0,W,FIU,FIU,Stony-Brook,0,9,"Miami, FL / FIU Baseball Stadium",2026,WN2026
03/03/2026,FIU,Boston College,0,4,0,0,L,FIU,FIU,Boston-College,0,9,"Miami, FL / FIU Baseball Stadium",2026,WN2026
03/04/2026,FIU,Boston College,4,9,0,0,L,FIU,FIU,Boston-College,0,9,"Miami, FL / FIU Baseball Stadium",2026,WN2026
03/06/2026,FAU,FIU,14,2,0,0,L,FIU,FIU,FAU,1,7,"Boca Raton, FL / FAU Baseball Stadium",2026,WN2026
03/07/2026,FIU,FAU,3,5,0,0,L,FIU,FIU,FAU,0,11,"Miami, FL / FIU Baseball Stadium",2026,WN2026
03/08/2026,FAU,FIU,7,3,0,0,L,FIU,FIU,FAU,1,9,"Boca Raton, FL / FAU Baseball Stadium",2026,WN2026
03/10/2026,FIU,FGCU,6,11,0,0,L,FIU,FIU,FGCU,0,10,"Miami, FL / FIU Baseball Stadium",2026,WN2026
03/13/2026,Western Kentucky,FIU,15,4,0,0,L,FIU,FIU,Western-Kentucky,1,7,"Bowling Green, KY / Nick Denes Field",2026,WN2026
03/14/2026,Western Kentucky,FIU,5,4,0,0,L,FIU,FIU,Western-Kentucky,1,10,"Bowling Green, KY / Nick Denes Field",2026,WN2026
03/15/2026,Western Kentucky,FIU,9,3,0,0,L,FIU,FIU,Western-Kentucky,1,9,"Bowling Green, KY / Nick Denes Field",2026,WN2026
03/18/2026,FIU,Miami (FL),3,10,0,0,L,FIU,FIU,Miami-FL,0,9,"Miami, FL / FIU Baseball Stadium",2026,WN2026
03/20/2026,FIU,Sam Houston State,2,3,0,0,L,FIU,FIU,Sam-Houston-State,0,9,"Miami, FL / FIU Baseball Stadium",2026,WN2026
03/21/2026,FIU,Sam Houston State,12,11,0,0,W,FIU,FIU,Sam-Houston-State,0,9,"Miami, FL / FIU Baseball Stadium",2026,WN2026
03/22/2026,FIU,Sam Houston State,1,7,0,0,L,FIU,FIU,Sam-Houston-State,0,9,"Miami, FL / FIU Baseball Stadium",2026,WN2026
03/27/2026,Liberty,FIU,4,3,0,0,L,FIU,FIU,Liberty,1,9,"Lynchburg, VA / Liberty Baseball Stadium",2026,WN2026
03/28/2026,Liberty,FIU,7,1,0,0,L,FIU,FIU,Liberty,1,9,"Lynchburg, VA / Liberty Baseball Stadium",2026,WN2026
03/29/2026,Liberty,FIU,13,0,0,0,L,FIU,FIU,Liberty,1,7,"Lynchburg, VA / Liberty Baseball Stadium",2026,WN2026
03/31/2026,FIU,FAU,9,1,0,0,W,FIU,FIU,FAU,0,9,"Miami, FL / FIU Baseball Stadium",2026,WN2026
04/02/2026,FIU,Louisiana Tech,7,4,0,0,W,FIU,FIU,Louisiana-Tech,0,9,"Miami, FL / FIU Baseball Stadium",2026,WN2026
04/03/2026,FIU,Louisiana Tech,2,6,0,0,L,FIU,FIU,Louisiana-Tech,0,9,"Miami, FL / FIU Baseball Stadium",2026,WN2026
04/04/2026,FIU,Louisiana Tech,3,4,0,0,L,FIU,FIU,Louisiana-Tech,0,10,"Miami, FL / FIU Baseball Stadium",2026,WN2026
04/07/2026,Miami (FL),FIU,9,7,0,0,L,FIU,FIU,Miami-FL,1,9,"Coral Gables, FL / Alex Rodriguez Park at Mark Light Field",2026,WN2026
04/10/2026,FIU,Kennesaw State,3,2,0,0,W,FIU,FIU,Kennesaw-State,0,9,"Miami, FL / FIU Baseball Stadium",2026,WN2026
04/11/2026,FIU,Kennesaw State,4,3,0,0,W,FIU,FIU,Kennesaw-State,0,9,"Miami, FL / FIU Baseball Stadium",2026,WN2026
04/12/2026,FIU,Kennesaw State,7,1,0,0,W,FIU,FIU,Kennesaw-State,0,9,"Miami, FL / FIU Baseball Stadium",2026,WN2026
04/17/2026,Jacksonville State,FIU,4,2,0,0,L,FIU,FIU,Jacksonville-State,1,9,"Jacksonville, AL / Rudy Abbott Field",2026,WN2026
04/18/2026,Jacksonville State,FIU,13,1,0,0,L,FIU,FIU,Jacksonville-State,1,7,"Jacksonville, AL / Rudy Abbott Field",2026,WN2026
04/19/2026,Jacksonville State,FIU,7,2,0,0,L,FIU,FIU,Jacksonville-State,1,9,"Jacksonville, AL / Rudy Abbott Field",2026,WN2026
04/21/2026,FGCU,FIU,10,9,0,0,L,FIU,FIU,FGCU,1,12,"Fort Myers, FL / Swanson Stadium",2026,WN2026
04/24/2026,FIU,Dallas Baptist,5,10,0,0,L,FIU,FIU,Dallas-Baptist,0,9,"Miami, FL / FIU Baseball Stadium",2026,WN2026
04/25/2026,FIU,Dallas Baptist,10,14,0,0,L,FIU,FIU,Dallas-Baptist,0,9,"Miami, FL / FIU Baseball Stadium",2026,WN2026
04/26/2026,FIU,Dallas Baptist,13,10,0,0,W,FIU,FIU,Dallas-Baptist,0,9,"Miami, FL / FIU Baseball Stadium",2026,WN2026
04/28/2026,FIU,Bethune-Cookman,8,6,0,0,W,FIU,FIU,Bethune-Cookman,0,9,"Miami, FL / FIU Baseball Stadium",2026,WN2026
05/01/2026,Delaware,FIU,9,8,0,0,L,FIU,FIU,Delaware,1,9,"Newark, DE / Bob Hannah Stadium",2026,WN2026
05/02/2026,Delaware,FIU,8,3,0,0,L,FIU,FIU,Delaware,1,9,"Newark, DE / Bob Hannah Stadium",2026,WN2026
05/03/2026,Delaware,FIU,13,9,0,0,L,FIU,FIU,Delaware,1,9,"Newark, DE / Bob Hannah Stadium",2026,WN2026
05/06/2026,FIU,FGCU,8,9,0,0,L,FIU,FIU,FGCU,0,9,"Miami, FL / FIU Baseball Stadium",2026,WN2026
