Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,New Mexico,Fordham,10,9,0,0,L,Fordham,Fordham,New-Mexico,1,9,"Albuquerque, NM / Santa Ana Star Field",2026,WN2026
02/14/2026,New Mexico,Fordham,18,8,0,0,L,Fordham,Fordham,New-Mexico,1,7,"Albuquerque, NM / Santa Ana Star Field",2026,WN2026
02/14/2026,New Mexico,Fordham,16,6,0,0,L,Fordham,Fordham,New-Mexico,1,7,"Albuquerque, NM / Santa Ana Star Field",2026,WN2026
02/15/2026,New Mexico,Fordham,24,5,0,0,L,Fordham,Fordham,New-Mexico,1,7,"Albuquerque, NM / Santa Ana Star Field",2026,WN2026
02/20/2026,UNCW,Fordham,1,3,0,0,W,Fordham,Fordham,UNCW,1,9,"Wilmington, NC / Brooks Field",2026,WN2026
02/21/2026,UNCW,Fordham,19,0,0,0,L,Fordham,Fordham,UNCW,1,7,"Wilmington, NC / Brooks Field",2026,WN2026
02/22/2026,UNCW,Fordham,7,0,0,0,L,Fordham,Fordham,UNCW,1,9,"Wilmington, NC / Brooks Field",2026,WN2026
02/28/2026,Stetson,Fordham,13,7,0,0,L,Fordham,Fordham,Stetson,1,9,"DeLand, FL / Melching Field at Conrad Park",2026,WN2026
02/28/2026,Stetson,Fordham,6,7,0,0,W,Fordham,Fordham,Stetson,1,9,"DeLand, FL / Melching Field at Conrad Park",2026,WN2026
03/01/2026,Stetson,Fordham,7,3,0,0,L,Fordham,Fordham,Stetson,1,9,"DeLand, FL / Melching Field at Conrad Park",2026,WN2026
03/07/2026,Fordham,Cornell,7,2,0,0,W,Fordham,Fordham,Cornell,0,9,"Bronx, NY / Jim Houlihan Park",2026,WN2026
03/07/2026,Fordham,Cornell,1,3,0,0,L,Fordham,Fordham,Cornell,0,9,"Bronx, NY / Jim Houlihan Park",2026,WN2026
03/08/2026,Fordham,Cornell,16,11,0,0,W,Fordham,Fordham,Cornell,0,9,"Bronx, NY / Jim Houlihan Park",2026,WN2026
03/10/2026,Fordham,Iona,14,2,0,0,W,Fordham,Fordham,Iona,0,9,"Bronx, NY / Jim Houlihan Park",2026,WN2026
03/11/2026,Rutgers,Fordham,7,8,0,0,W,Fordham,Fordham,Rutgers,1,9,"Piscataway, NJ / Bainton Field",2026,WN2026
03/13/2026,Davidson,Fordham,9,8,0,0,L,Fordham,Fordham,Davidson,1,9,"Davidson, NC / T. Henry Wilson Jr. Field",2026,WN2026
03/14/2026,Davidson,Fordham,4,6,0,0,W,Fordham,Fordham,Davidson,1,9,"Davidson, NC / T. Henry Wilson Jr. Field",2026,WN2026
03/15/2026,Davidson,Fordham,3,26,0,0,W,Fordham,Fordham,Davidson,1,9,"Davidson, NC / T. Henry Wilson Jr. Field",2026,WN2026
03/18/2026,Fordham,Marist,10,5,0,0,W,Fordham,Fordham,Marist,0,9,"Bronx, NY / Jim Houlihan Park",2026,WN2026
03/20/2026,Fordham,Richmond,8,4,0,0,W,Fordham,Fordham,Richmond,0,9,"Bronx, NY / Jim Houlihan Park",2026,WN2026
03/21/2026,Fordham,Richmond,3,4,0,0,L,Fordham,Fordham,Richmond,0,9,"Bronx, NY / Jim Houlihan Park",2026,WN2026
03/22/2026,Fordham,Richmond,4,3,0,0,W,Fordham,Fordham,Richmond,0,9,"Bronx, NY / Jim Houlihan Park",2026,WN2026
03/25/2026,Fordham,Wagner,0,3,0,0,L,Fordham,Fordham,Wagner,0,9,"Bronx, NY / Jim Houlihan Park",2026,WN2026
03/27/2026,Fordham,Saint Joseph's,0,20,0,0,L,Fordham,Fordham,Saint-Josephs,0,9,"Bronx, NY / Jim Houlihan Park",2026,WN2026
03/28/2026,Fordham,Saint Joseph's,0,3,0,0,L,Fordham,Fordham,Saint-Josephs,0,10,"Bronx, NY / Jim Houlihan Park",2026,WN2026
03/29/2026,Fordham,Saint Joseph's,7,6,0,0,W,Fordham,Fordham,Saint-Josephs,0,9,"Bronx, NY / Jim Houlihan Park",2026,WN2026
03/31/2026,Fordham,Columbia,9,8,0,0,W,Fordham,Fordham,Columbia,0,9,"Bronx, NY / Jim Houlihan Park",2026,WN2026
04/03/2026,Dayton,Fordham,5,3,0,0,L,Fordham,Fordham,Dayton,1,9,"Dayton, OH / Woerner Field",2026,WN2026
04/04/2026,Dayton,Fordham,17,9,0,0,L,Fordham,Fordham,Dayton,1,9,"Dayton, OH / Woerner Field",2026,WN2026
04/05/2026,Dayton,Fordham,4,5,0,0,W,Fordham,Fordham,Dayton,1,9,"Dayton, OH / Woerner Field",2026,WN2026
