Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Fresno State,Utah,3,8,0,0,L,Fresno State,Fresno-State,Utah,0,9,"Fresno, CA / Pete Beiden Field at Bob Bennett Stadium",2026,WN2026
02/14/2026,Fresno State,Utah,4,5,0,0,L,Fresno State,Fresno-State,Utah,0,9,"Fresno, CA / Pete Beiden Field at Bob Bennett Stadium",2026,WN2026
02/15/2026,Fresno State,Utah,14,8,0,0,W,Fresno State,Fresno-State,Utah,0,9,"Fresno, CA / Pete Beiden Field at Bob Bennett Stadium",2026,WN2026
02/20/2026,Fresno State,Pepperdine,1,2,0,0,L,Fresno State,Fresno-State,Pepperdine,0,9,"Fresno, CA / Pete Beiden Field at Bob Bennett Stadium",2026,WN2026
02/21/2026,Fresno State,Pepperdine,10,6,0,0,W,Fresno State,Fresno-State,Pepperdine,0,9,"Fresno, CA / Pete Beiden Field at Bob Bennett Stadium",2026,WN2026
02/22/2026,Fresno State,Pepperdine,11,7,0,0,W,Fresno State,Fresno-State,Pepperdine,0,9,"Fresno, CA / Pete Beiden Field at Bob Bennett Stadium",2026,WN2026
02/23/2026,Fresno State,Pepperdine,11,3,0,0,W,Fresno State,Fresno-State,Pepperdine,0,9,"Fresno, CA / Pete Beiden Field at Bob Bennett Stadium",2026,WN2026
02/27/2026,Stanford,Fresno State,6,5,0,0,L,Fresno State,Fresno-State,Stanford,1,9,"Stanford, CA / Klein Field at Sunken Diamond",2026,WN2026
02/28/2026,Stanford,Fresno State,4,15,0,0,W,Fresno State,Fresno-State,Stanford,1,9,"Stanford, CA / Klein Field at Sunken Diamond",2026,WN2026
03/01/2026,Stanford,Fresno State,8,11,0,0,W,Fresno State,Fresno-State,Stanford,1,9,"Stanford, CA / Klein Field at Sunken Diamond",2026,WN2026
03/03/2026,Fresno State,Sacramento State,2,0,0,0,W,Fresno State,Fresno-State,Sacramento-State,0,9,"Fresno, CA / Pete Beiden Field at Bob Bennett Stadium",2026,WN2026
03/06/2026,Arizona,Fresno State,6,0,0,0,L,Fresno State,Fresno-State,Arizona,1,9,"Tucson, AZ / Hi Corbett Field",2026,WN2026
03/07/2026,Arizona,Fresno State,9,5,0,0,L,Fresno State,Fresno-State,Arizona,1,9,"Tucson, AZ / Hi Corbett Field",2026,WN2026
03/08/2026,Arizona,Fresno State,14,4,0,0,L,Fresno State,Fresno-State,Arizona,1,8,"Tucson, AZ / Hi Corbett Field",2026,WN2026
03/10/2026,Cal Poly,Fresno State,13,3,0,0,L,Fresno State,Fresno-State,Cal-Poly,1,9,"San Luis Obispo, CA / Robin Baggett Stadium",2026,WN2026
03/13/2026,Fresno State,Nevada,4,9,0,0,L,Fresno State,Fresno-State,Nevada,0,9,"Fresno, CA / Pete Beiden Field at Bob Bennett Stadium",2026,WN2026
03/14/2026,Fresno State,Nevada,12,15,0,0,L,Fresno State,Fresno-State,Nevada,0,9,"Fresno, CA / Pete Beiden Field at Bob Bennett Stadium",2026,WN2026
03/15/2026,Fresno State,Nevada,4,9,0,0,L,Fresno State,Fresno-State,Nevada,0,9,"Fresno, CA / Pete Beiden Field at Bob Bennett Stadium",2026,WN2026
03/17/2026,Fresno State,Cal State Northridge,9,11,0,0,L,Fresno State,Fresno-State,Cal-State-Northridge,0,9,"Fresno, CA / Pete Beiden Field at Bob Bennett Stadium",2026,WN2026
03/19/2026,Utah Tech,Fresno State,17,13,0,0,L,Fresno State,Fresno-State,Utah-Tech,1,9,"Saint George, UT / Bruce Hurst Field",2026,WN2026
03/20/2026,Utah Tech,Fresno State,8,7,0,0,L,Fresno State,Fresno-State,Utah-Tech,1,10,"Saint George, UT / Bruce Hurst Field",2026,WN2026
