Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Hawaii,Gonzaga,3,2,0,0,W,Hawaii,Hawaii,Gonzaga,0,10,"Honolulu, HI / Les Murakami Stadium",2026,WN2026
02/14/2026,Hawaii,Gonzaga,5,3,0,0,W,Hawaii,Hawaii,Gonzaga,0,9,"Honolulu, HI / Les Murakami Stadium",2026,WN2026
02/15/2026,Hawaii,Gonzaga,2,7,0,0,L,Hawaii,Hawaii,Gonzaga,0,12,"Honolulu, HI / Les Murakami Stadium",2026,WN2026
02/16/2026,Hawaii,Gonzaga,4,3,0,0,W,Hawaii,Hawaii,Gonzaga,0,9,"Honolulu, HI / Les Murakami Stadium",2026,WN2026
02/19/2026,Hawaii,Wichita State,7,6,0,0,W,Hawaii,Hawaii,Wichita-State,0,9,"Honolulu, HI / Les Murakami Stadium",2026,WN2026
02/20/2026,Hawaii,Wichita State,4,2,0,0,W,Hawaii,Hawaii,Wichita-State,0,9,"Honolulu, HI / Les Murakami Stadium",2026,WN2026
02/22/2026,Hawaii,Wichita State,3,13,0,0,L,Hawaii,Hawaii,Wichita-State,0,7,"Honolulu, HI / Les Murakami Stadium",2026,WN2026
02/22/2026,Hawaii,Wichita State,1,7,0,0,L,Hawaii,Hawaii,Wichita-State,0,9,"Honolulu, HI / Les Murakami Stadium",2026,WN2026
02/26/2026,Hawaii,Ball State,6,1,0,0,W,Hawaii,Hawaii,Ball-State,0,9,"Honolulu, HI / Les Murakami Stadium",2026,WN2026
02/27/2026,Hawaii,Ball State,12,0,0,0,W,Hawaii,Hawaii,Ball-State,0,9,"Honolulu, HI / Les Murakami Stadium",2026,WN2026
02/28/2026,Hawaii,Ball State,0,1,0,0,L,Hawaii,Hawaii,Ball-State,0,9,"Honolulu, HI / Les Murakami Stadium",2026,WN2026
03/01/2026,Hawaii,Ball State,6,0,0,0,W,Hawaii,Hawaii,Ball-State,0,9,"Honolulu, HI / Les Murakami Stadium",2026,WN2026
