Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,VCU,Holy Cross,2,1,0,0,L,Holy Cross,Holy-Cross,VCU,1,9,"Richmond, VA / The Diamond",2026,WN2026
02/14/2026,VCU,Holy Cross,14,1,0,0,L,Holy Cross,Holy-Cross,VCU,1,7,"Richmond, VA / The Diamond",2026,WN2026
02/14/2026,VCU,Holy Cross,19,7,0,0,L,Holy Cross,Holy-Cross,VCU,1,9,"Richmond, VA / The Diamond",2026,WN2026
02/20/2026,FIU,Holy Cross,7,4,0,0,L,Holy Cross,Holy-Cross,FIU,1,9,"Miami, FL / FIU Baseball Stadium",2026,WN2026
02/21/2026,FIU,Holy Cross,14,10,0,0,L,Holy Cross,Holy-Cross,FIU,1,9,"Miami, FL / FIU Baseball Stadium",2026,WN2026
02/21/2026,FIU,Holy Cross,6,5,0,0,L,Holy Cross,Holy-Cross,FIU,1,12,"Miami, FL / FIU Baseball Stadium",2026,WN2026
02/22/2026,FIU,Holy Cross,17,20,0,0,W,Holy Cross,Holy-Cross,FIU,1,9,"Miami, FL / FIU Baseball Stadium",2026,WN2026
02/27/2026,Seattle University,Holy Cross,1,11,0,0,W,Holy Cross,Holy-Cross,Seattle-University,1,9,"Bellevue, WA / Bannerwood Park",2026,WN2026
02/28/2026,Seattle University,Holy Cross,11,10,0,0,L,Holy Cross,Holy-Cross,Seattle-University,1,10,"Bellevue, WA / Bannerwood Park",2026,WN2026
03/01/2026,Seattle University,Holy Cross,2,7,0,0,W,Holy Cross,Holy-Cross,Seattle-University,1,9,"Bellevue, WA / Bannerwood Park",2026,WN2026
03/02/2026,Seattle University,Holy Cross,3,7,0,0,W,Holy Cross,Holy-Cross,Seattle-University,1,9,"Bellevue, WA / Bannerwood Park",2026,WN2026
03/05/2026,Portland,Holy Cross,15,3,0,0,L,Holy Cross,Holy-Cross,Portland,1,7,"Portland, OR / Joe Etzel Field",2026,WN2026
03/06/2026,Portland,Holy Cross,10,4,0,0,L,Holy Cross,Holy-Cross,Portland,1,9,"Portland, OR / Joe Etzel Field",2026,WN2026
03/07/2026,Portland,Holy Cross,13,3,0,0,L,Holy Cross,Holy-Cross,Portland,1,8,"Portland, OR / Joe Etzel Field",2026,WN2026
