Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,South Florida,Illinois,9,4,0,0,L,Illinois,Illinois,South-Florida,1,9,"Tampa, FL / USF Baseball Stadium",2026,WN2026
02/14/2026,South Florida,Illinois,2,4,0,0,W,Illinois,Illinois,South-Florida,1,10,"Tampa, FL / USF Baseball Stadium",2026,WN2026
02/15/2026,South Florida,Illinois,11,10,0,0,L,Illinois,Illinois,South-Florida,1,9,"Tampa, FL / USF Baseball Stadium",2026,WN2026
02/17/2026,Illinois,Butler,8,10,0,0,L,Illinois,Illinois,Butler,0,9,"Champaign, IL / Illinois Field",2026,WN2026
02/20/2026,VCU,Illinois,4,9,0,1,W,Illinois,Illinois,VCU,0,9,"Conway, SC / Springs Brooks Stadium",2026,WN2026
02/21/2026,VCU,Illinois,3,2,0,1,L,Illinois,Illinois,VCU,0,9,"Conway, SC / Springs Brooks Stadium",2026,WN2026
02/22/2026,Coastal Carolina,Illinois,5,14,0,0,W,Illinois,Illinois,Coastal-Carolina,1,9,"Conway, SC / Springs Brooks Stadium",2026,WN2026
02/25/2026,Illinois,Lindenwood,13,9,0,0,W,Illinois,Illinois,Lindenwood,0,9,"Champaign, IL / Illinois Field",2026,WN2026
02/27/2026,Michigan State,Illinois,4,5,0,1,W,Illinois,Illinois,Michigan-State,0,10,"Greenville, SC / Fluor Field",2026,WN2026
02/28/2026,Charleston,Illinois,0,5,0,1,W,Illinois,Illinois,Charleston,0,9,"Greenville, SC / Fluor Field",2026,WN2026
03/01/2026,Albany,Illinois,6,14,0,1,W,Illinois,Illinois,Albany,0,9,"Greenville, SC / Fluor Field",2026,WN2026
03/06/2026,USC,Illinois,4,0,0,0,L,Illinois,Illinois,USC,1,9,"Los Angeles, CA / Dedeaux Field",2026,WN2026
03/07/2026,USC,Illinois,4,0,0,0,L,Illinois,Illinois,USC,1,9,"Los Angeles, CA / Dedeaux Field",2026,WN2026
03/08/2026,USC,Illinois,5,3,0,0,L,Illinois,Illinois,USC,1,9,"Los Angeles, CA / Dedeaux Field",2026,WN2026
03/10/2026,Illinois,Western Illinois,21,8,0,0,W,Illinois,Illinois,Western-Illinois,0,9,"Champaign, IL / Illinois Field",2026,WN2026
03/13/2026,Illinois,Minnesota,2,1,0,0,W,Illinois,Illinois,Minnesota,0,10,"Champaign, IL / Illinois Field",2026,WN2026
03/14/2026,Illinois,Minnesota,0,1,0,0,L,Illinois,Illinois,Minnesota,0,9,"Champaign, IL / Illinois Field",2026,WN2026
03/14/2026,Illinois,Minnesota,4,2,0,0,W,Illinois,Illinois,Minnesota,0,9,"Champaign, IL / Illinois Field",2026,WN2026
03/18/2026,Indiana State,Illinois,4,3,0,0,L,Illinois,Illinois,Indiana-State,1,11,"Terre Haute, IN / Bob Warn Field at Sycamore Stadium",2026,WN2026
03/20/2026,Illinois,Rutgers,13,7,0,0,W,Illinois,Illinois,Rutgers,0,9,"Champaign, IL / Illinois Field",2026,WN2026
03/21/2026,Illinois,Rutgers,12,6,0,0,W,Illinois,Illinois,Rutgers,0,9,"Champaign, IL / Illinois Field",2026,WN2026
