Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Jacksonville State,Cincinnati,5,11,0,0,L,Jacksonville State,Jacksonville-State,Cincinnati,0,9,"Jacksonville, AL / Rudy Abbott Field",2026,WN2026
02/14/2026,Jacksonville State,Cincinnati,5,6,0,0,L,Jacksonville State,Jacksonville-State,Cincinnati,0,9,"Jacksonville, AL / Rudy Abbott Field",2026,WN2026
02/15/2026,Jacksonville State,Cincinnati,1,0,0,0,W,Jacksonville State,Jacksonville-State,Cincinnati,0,9,"Jacksonville, AL / Rudy Abbott Field",2026,WN2026
02/17/2026,Jacksonville State,Georgia State,3,2,0,0,W,Jacksonville State,Jacksonville-State,Georgia-State,0,11,"Jacksonville, AL / Rudy Abbott Field",2026,WN2026
02/20/2026,Jacksonville State,Toledo,5,0,0,0,W,Jacksonville State,Jacksonville-State,Toledo,0,9,"Jacksonville, AL / Rudy Abbott Field",2026,WN2026
02/21/2026,Jacksonville State,Toledo,2,1,0,0,W,Jacksonville State,Jacksonville-State,Toledo,0,9,"Jacksonville, AL / Rudy Abbott Field",2026,WN2026
02/22/2026,Jacksonville State,Toledo,12,9,0,0,W,Jacksonville State,Jacksonville-State,Toledo,0,9,"Jacksonville, AL / Rudy Abbott Field",2026,WN2026
02/24/2026,Jacksonville State,Mississippi Valley State,15,3,0,0,W,Jacksonville State,Jacksonville-State,Mississippi-Valley-State,0,9,"Jacksonville, AL / Rudy Abbott Field",2026,WN2026
02/25/2026,Jacksonville State,Mississippi Valley State,7,4,0,0,W,Jacksonville State,Jacksonville-State,Mississippi-Valley-State,0,9,"Jacksonville, AL / Rudy Abbott Field",2026,WN2026
02/27/2026,Memphis,Jacksonville State,1,10,0,0,W,Jacksonville State,Jacksonville-State,Memphis,1,9,"Memphis, TN / FedExPark",2026,WN2026
02/28/2026,Memphis,Jacksonville State,4,9,0,0,W,Jacksonville State,Jacksonville-State,Memphis,1,9,"Memphis, TN / FedExPark",2026,WN2026
03/01/2026,Memphis,Jacksonville State,1,7,0,0,W,Jacksonville State,Jacksonville-State,Memphis,1,9,"Memphis, TN / FedExPark",2026,WN2026
03/03/2026,Alabama,Jacksonville State,6,5,0,0,L,Jacksonville State,Jacksonville-State,Alabama,1,9,"Tuscaloosa, AL / Sewell-Thomas Stadium",2026,WN2026
03/06/2026,Jacksonville State,Valparaiso,3,2,0,0,W,Jacksonville State,Jacksonville-State,Valparaiso,0,9,"Jacksonville, AL / Rudy Abbott Field",2026,WN2026
03/07/2026,Jacksonville State,Valparaiso,17,3,0,0,W,Jacksonville State,Jacksonville-State,Valparaiso,0,7,"Jacksonville, AL / Rudy Abbott Field",2026,WN2026
