Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Kennesaw State,Evansville,11,3,0,0,W,Kennesaw State,Kennesaw-State,Evansville,0,9,"Kennesaw, GA / Mickey Dunn Stadium",2026,WN2026
02/14/2026,Kennesaw State,Marshall,10,9,0,0,W,Kennesaw State,Kennesaw-State,Marshall,0,9,"Kennesaw, GA / Mickey Dunn Stadium",2026,WN2026
02/17/2026,Kennesaw State,West Georgia,9,4,0,0,W,Kennesaw State,Kennesaw-State,West-Georgia,0,9,"Kennesaw, GA / Mickey Dunn Stadium",2026,WN2026
02/20/2026,Florida,Kennesaw State,9,3,0,0,L,Kennesaw State,Kennesaw-State,Florida,1,9,"Gainesville, FL / Condron Family Ballpark",2026,WN2026
02/21/2026,Florida,Kennesaw State,11,0,0,0,L,Kennesaw State,Kennesaw-State,Florida,1,7,"Gainesville, FL / Condron Family Ballpark",2026,WN2026
02/22/2026,Florida,Kennesaw State,12,9,0,0,L,Kennesaw State,Kennesaw-State,Florida,1,9,"Gainesville, FL / Condron Family Ballpark",2026,WN2026
02/24/2026,Georgia Southern,Kennesaw State,5,7,0,0,W,Kennesaw State,Kennesaw-State,Georgia-Southern,1,9,"Statesboro, GA / J. I. Clements Stadium",2026,WN2026
02/27/2026,Kennesaw State,West Virginia,4,12,0,0,L,Kennesaw State,Kennesaw-State,West-Virginia,0,9,"Kennesaw, GA / Mickey Dunn Stadium",2026,WN2026
02/28/2026,Kennesaw State,West Virginia,1,9,0,0,L,Kennesaw State,Kennesaw-State,West-Virginia,0,9,"Kennesaw, GA / Mickey Dunn Stadium",2026,WN2026
03/01/2026,Kennesaw State,West Virginia,7,6,0,0,W,Kennesaw State,Kennesaw-State,West-Virginia,0,9,"Kennesaw, GA / Mickey Dunn Stadium",2026,WN2026
03/03/2026,Kennesaw State,Georgia,1,11,0,0,L,Kennesaw State,Kennesaw-State,Georgia,0,9,"Kennesaw, GA / Mickey Dunn Stadium",2026,WN2026
03/07/2026,Kennesaw State,Samford,8,3,0,0,W,Kennesaw State,Kennesaw-State,Samford,0,9,"Kennesaw, GA / Mickey Dunn Stadium",2026,WN2026
03/07/2026,Kennesaw State,Samford,9,8,0,0,W,Kennesaw State,Kennesaw-State,Samford,0,9,"Kennesaw, GA / Mickey Dunn Stadium",2026,WN2026
03/13/2026,Middle Tennessee,Kennesaw State,1,6,0,0,W,Kennesaw State,Kennesaw-State,Middle-Tennessee,1,9,"Murfreesboro, TN / Reese Smith Jr. Field",2026,WN2026
03/14/2026,Middle Tennessee,Kennesaw State,13,2,0,0,L,Kennesaw State,Kennesaw-State,Middle-Tennessee,1,7,"Murfreesboro, TN / Reese Smith Jr. Field",2026,WN2026
03/15/2026,Middle Tennessee,Kennesaw State,4,3,0,0,L,Kennesaw State,Kennesaw-State,Middle-Tennessee,1,9,"Murfreesboro, TN / Reese Smith Jr. Field",2026,WN2026
03/17/2026,Kennesaw State,Georgia Southern,16,6,0,0,W,Kennesaw State,Kennesaw-State,Georgia-Southern,0,7,"Kennesaw, GA / Mickey Dunn Stadium",2026,WN2026
