Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/20/2026,Miami (FL),Lafayette,15,2,0,0,L,Lafayette,Lafayette,Miami-FL,1,9,"Coral Gables, FL / Alex Rodriguez Park at Mark Light Field",2026,WN2026
02/21/2026,Miami (FL),Lafayette,14,4,0,0,L,Lafayette,Lafayette,Miami-FL,1,7,"Coral Gables, FL / Alex Rodriguez Park at Mark Light Field",2026,WN2026
02/21/2026,Miami (FL),Lafayette,14,3,0,0,L,Lafayette,Lafayette,Miami-FL,1,7,"Coral Gables, FL / Alex Rodriguez Park at Mark Light Field",2026,WN2026
02/22/2026,Miami (FL),Lafayette,30,5,0,0,L,Lafayette,Lafayette,Miami-FL,1,9,"Coral Gables, FL / Alex Rodriguez Park at Mark Light Field",2026,WN2026
02/27/2026,William & Mary,Lafayette,10,3,0,0,L,Lafayette,Lafayette,William-Mary,1,9,"Williamsburg, VA / Plumeri Park",2026,WN2026
02/28/2026,William & Mary,Lafayette,12,6,0,0,L,Lafayette,Lafayette,William-Mary,1,9,"Williamsburg, VA / Plumeri Park",2026,WN2026
03/01/2026,William & Mary,Lafayette,12,5,0,0,L,Lafayette,Lafayette,William-Mary,1,9,"Williamsburg, VA / Plumeri Park",2026,WN2026
03/06/2026,North Carolina State,Lafayette,6,11,0,0,W,Lafayette,Lafayette,North-Carolina-State,1,9,"Raleigh, NC / Doak Field",2026,WN2026
03/07/2026,North Carolina State,Lafayette,10,4,0,0,L,Lafayette,Lafayette,North-Carolina-State,1,9,"Raleigh, NC / Doak Field",2026,WN2026
03/08/2026,North Carolina State,Lafayette,14,4,0,0,L,Lafayette,Lafayette,North-Carolina-State,1,7,"Raleigh, NC / Doak Field",2026,WN2026
03/11/2026,La Salle,Lafayette,16,11,0,0,L,Lafayette,Lafayette,La-Salle,1,9,"Philadelphia, PA / DeVincent Field",2026,WN2026
03/13/2026,Bucknell,Lafayette,8,5,0,0,L,Lafayette,Lafayette,Bucknell,1,9,"Lewisburg, PA / Eugene B. Depew Field",2026,WN2026
03/14/2026,Bucknell,Lafayette,9,8,0,0,L,Lafayette,Lafayette,Bucknell,1,9,"Lewisburg, PA / Eugene B. Depew Field",2026,WN2026
03/15/2026,Bucknell,Lafayette,8,0,0,0,L,Lafayette,Lafayette,Bucknell,1,9,"Lewisburg, PA / Eugene B. Depew Field",2026,WN2026
03/18/2026,La Salle,Lafayette,3,5,0,0,W,Lafayette,Lafayette,La-Salle,1,9,"Philadelphia, PA / DeVincent Field",2026,WN2026
03/21/2026,Lafayette,Army,2,11,0,0,L,Lafayette,Lafayette,Army,0,7,"Forks Township, PA / Kamine Stadium",2026,WN2026
03/21/2026,Lafayette,Army,2,11,0,0,L,Lafayette,Lafayette,Army,0,7,"Forks Township, PA / Kamine Stadium",2026,WN2026
03/22/2026,Lafayette,Army,5,10,0,0,L,Lafayette,Lafayette,Army,0,9,"Forks Township, PA / Kamine Stadium",2026,WN2026
03/24/2026,Monmouth,Lafayette,6,1,0,0,L,Lafayette,Lafayette,Monmouth,1,9,"West Long Branch, NJ / Monmouth Baseball Field",2026,WN2026
03/27/2026,Holy Cross,Lafayette,3,9,0,0,W,Lafayette,Lafayette,Holy-Cross,1,9,"Worcester, MA / Hanover Insurance Park at Fitton Field",2026,WN2026
03/29/2026,Holy Cross,Lafayette,6,7,0,0,W,Lafayette,Lafayette,Holy-Cross,1,7,"Worcester, MA / Hanover Insurance Park at Fitton Field",2026,WN2026
03/29/2026,Holy Cross,Lafayette,9,13,0,0,W,Lafayette,Lafayette,Holy-Cross,1,9,"Worcester, MA / Hanover Insurance Park at Fitton Field",2026,WN2026
03/31/2026,Villanova,Lafayette,1,11,0,0,W,Lafayette,Lafayette,Villanova,1,9,"Plymouth Meeting, PA / Villanova Ballpark at Plymouth",2026,WN2026
04/01/2026,Lafayette,Manhattan,6,5,0,0,W,Lafayette,Lafayette,Manhattan,0,9,"Forks Township, PA / Kamine Stadium",2026,WN2026
04/04/2026,Lafayette,Bucknell,1,3,0,0,L,Lafayette,Lafayette,Bucknell,0,7,"Forks Township, PA / Kamine Stadium",2026,WN2026
04/04/2026,Lafayette,Bucknell,8,10,0,0,L,Lafayette,Lafayette,Bucknell,0,10,"Forks Township, PA / Kamine Stadium",2026,WN2026
04/06/2026,Lafayette,Bucknell,7,13,0,0,L,Lafayette,Lafayette,Bucknell,0,9,"Forks Township, PA / Kamine Stadium",2026,WN2026
04/08/2026,Penn,Lafayette,13,3,0,0,L,Lafayette,Lafayette,Penn,1,7,"Philadelphia, PA / Meiklejohn Stadium",2026,WN2026
04/10/2026,Navy,Lafayette,9,1,0,0,L,Lafayette,Lafayette,Navy,1,9,"Annapolis, MD / Terwilliger Brothers Field at Max Bishop Stadium",2026,WN2026
04/11/2026,Navy,Lafayette,7,1,0,0,L,Lafayette,Lafayette,Navy,1,7,"Annapolis, MD / Terwilliger Brothers Field at Max Bishop Stadium",2026,WN2026
04/11/2026,Navy,Lafayette,1,0,0,0,L,Lafayette,Lafayette,Navy,1,11,"Annapolis, MD / Terwilliger Brothers Field at Max Bishop Stadium",2026,WN2026
04/12/2026,Navy,Lafayette,10,9,0,0,L,Lafayette,Lafayette,Navy,1,9,"Annapolis, MD / Terwilliger Brothers Field at Max Bishop Stadium",2026,WN2026
04/15/2026,Saint Peter's,Lafayette,15,5,0,0,L,Lafayette,Lafayette,Saint-Peters,1,7,"Jersey City, NJ / Joseph J. Jaroschak Field",2026,WN2026
04/17/2026,Lafayette,Lehigh,4,2,0,0,W,Lafayette,Lafayette,Lehigh,0,9,"Forks Township, PA / Kamine Stadium",2026,WN2026
04/18/2026,Lafayette,Lehigh,2,3,0,0,L,Lafayette,Lafayette,Lehigh,0,7,"Forks Township, PA / Kamine Stadium",2026,WN2026
04/18/2026,Lafayette,Lehigh,7,8,0,0,L,Lafayette,Lafayette,Lehigh,0,9,"Forks Township, PA / Kamine Stadium",2026,WN2026
04/19/2026,Lafayette,Lehigh,7,3,0,0,W,Lafayette,Lafayette,Lehigh,0,9,"Bethlehem, PA / J. David Walker Field at Legacy Park",2026,WN2026
04/21/2026,Lafayette,Wagner,11,15,0,0,L,Lafayette,Lafayette,Wagner,0,9,"Forks Township, PA / Kamine Stadium",2026,WN2026
04/26/2026,Army,Lafayette,6,3,0,0,L,Lafayette,Lafayette,Army,1,7,"West Point, NY / Doubleday Field",2026,WN2026
04/26/2026,Army,Lafayette,10,9,0,0,L,Lafayette,Lafayette,Army,1,9,"West Point, NY / Doubleday Field",2026,WN2026
04/27/2026,Army,Lafayette,9,8,0,0,L,Lafayette,Lafayette,Army,1,10,"West Point, NY / Doubleday Field",2026,WN2026
04/29/2026,Lafayette,Saint Peter's,14,4,0,0,W,Lafayette,Lafayette,Saint-Peters,0,7,"Forks Township, PA / Kamine Stadium",2026,WN2026
05/02/2026,Lafayette,Holy Cross,2,4,0,0,L,Lafayette,Lafayette,Holy-Cross,0,13,"Forks Township, PA / Kamine Stadium",2026,WN2026
05/03/2026,Lafayette,Holy Cross,3,1,0,0,W,Lafayette,Lafayette,Holy-Cross,0,7,"Forks Township, PA / Kamine Stadium",2026,WN2026
05/03/2026,Lafayette,Holy Cross,7,4,0,0,W,Lafayette,Lafayette,Holy-Cross,0,9,"Forks Township, PA / Kamine Stadium",2026,WN2026
