Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/14/2026,Lamar,Oakland,8,2,0,0,W,Lamar,Lamar,Oakland,0,9,"Beaumont, TX / Vincent-Beck Stadium",2026,WN2026
02/14/2026,Lamar,Oakland,9,7,0,0,W,Lamar,Lamar,Oakland,0,9,"Beaumont, TX / Vincent-Beck Stadium",2026,WN2026
02/15/2026,Lamar,Oakland,2,3,0,0,L,Lamar,Lamar,Oakland,0,10,"Beaumont, TX / Vincent-Beck Stadium",2026,WN2026
02/17/2026,Texas,Lamar,14,4,0,0,L,Lamar,Lamar,Texas,1,7,"Austin, TX / UFCU Disch-Falk Field",2026,WN2026
02/18/2026,Lamar,Kansas,4,1,0,0,W,Lamar,Lamar,Kansas,0,9,"Beaumont, TX / Vincent-Beck Stadium",2026,WN2026
02/20/2026,UTA,Lamar,10,2,0,0,L,Lamar,Lamar,UTA,1,9,"Arlington, TX / Clay Gould Ballpark",2026,WN2026
02/21/2026,UTA,Lamar,4,5,0,0,W,Lamar,Lamar,UTA,1,10,"Arlington, TX / Clay Gould Ballpark",2026,WN2026
02/22/2026,UTA,Lamar,3,5,0,0,W,Lamar,Lamar,UTA,1,9,"Arlington, TX / Clay Gould Ballpark",2026,WN2026
02/24/2026,Texas A&M,Lamar,25,5,0,0,L,Lamar,Lamar,Texas-AM,1,7,"College Station, TX / Blue Bell Park",2026,WN2026
02/27/2026,Lamar,UTRGV,6,2,0,0,W,Lamar,Lamar,UTRGV,0,9,"Beaumont, TX / Vincent-Beck Stadium",2026,WN2026
02/28/2026,Lamar,UTRGV,1,0,0,0,W,Lamar,Lamar,UTRGV,0,9,"Beaumont, TX / Vincent-Beck Stadium",2026,WN2026
03/01/2026,Lamar,UTRGV,2,1,0,0,W,Lamar,Lamar,UTRGV,0,10,"Beaumont, TX / Vincent-Beck Stadium",2026,WN2026
03/04/2026,Lamar,Rice,1,4,0,0,L,Lamar,Lamar,Rice,0,9,"Beaumont, TX / Vincent-Beck Stadium",2026,WN2026
03/06/2026,Stephen F. Austin,Lamar,6,4,0,0,L,Lamar,Lamar,Stephen-F-Austin,1,9,"Nacogdoches, TX / Jaycees Field",2026,WN2026
03/07/2026,Stephen F. Austin,Lamar,3,11,0,0,W,Lamar,Lamar,Stephen-F-Austin,1,9,"Nacogdoches, TX / Jaycees Field",2026,WN2026
03/08/2026,Stephen F. Austin,Lamar,14,11,0,0,L,Lamar,Lamar,Stephen-F-Austin,1,9,"Nacogdoches, TX / Jaycees Field",2026,WN2026
03/10/2026,Louisiana Tech,Lamar,0,6,0,0,W,Lamar,Lamar,Louisiana-Tech,1,9,"Ruston, LA / J. C. Love Field at Pat Patterson Park",2026,WN2026
03/13/2026,Lamar,McNeese,1,3,0,0,L,Lamar,Lamar,McNeese,0,9,"Beaumont, TX / Vincent-Beck Stadium",2026,WN2026
03/14/2026,Lamar,McNeese,5,0,0,0,W,Lamar,Lamar,McNeese,0,9,"Beaumont, TX / Vincent-Beck Stadium",2026,WN2026
03/15/2026,Lamar,McNeese,11,10,0,0,W,Lamar,Lamar,McNeese,0,9,"Beaumont, TX / Vincent-Beck Stadium",2026,WN2026
03/17/2026,Lamar,Sam Houston State,4,7,0,0,L,Lamar,Lamar,Sam-Houston-State,0,9,"Beaumont, TX / Vincent-Beck Stadium",2026,WN2026
03/20/2026,Texas A&M-Corpus Christi,Lamar,6,1,0,0,L,Lamar,Lamar,Texas-AM-Corpus-Christi,1,9,"Corpus Christi, TX / Chapman Field",2026,WN2026
03/21/2026,Texas A&M-Corpus Christi,Lamar,3,7,0,0,W,Lamar,Lamar,Texas-AM-Corpus-Christi,1,9,"Corpus Christi, TX / Chapman Field",2026,WN2026
03/22/2026,Texas A&M-Corpus Christi,Lamar,15,18,0,0,W,Lamar,Lamar,Texas-AM-Corpus-Christi,1,10,"Corpus Christi, TX / Chapman Field",2026,WN2026
03/24/2026,Lamar,Tarleton State,5,3,0,0,W,Lamar,Lamar,Tarleton-State,0,10,"Beaumont, TX / Vincent-Beck Stadium",2026,WN2026
03/27/2026,Lamar,Incarnate Word,5,2,0,0,W,Lamar,Lamar,Incarnate-Word,0,9,"Beaumont, TX / Vincent-Beck Stadium",2026,WN2026
03/28/2026,Lamar,Incarnate Word,3,5,0,0,L,Lamar,Lamar,Incarnate-Word,0,10,"Beaumont, TX / Vincent-Beck Stadium",2026,WN2026
03/29/2026,Lamar,Incarnate Word,9,0,0,0,W,Lamar,Lamar,Incarnate-Word,0,9,"Beaumont, TX / Vincent-Beck Stadium",2026,WN2026
03/31/2026,TCU,Lamar,8,6,0,0,L,Lamar,Lamar,TCU,1,9,"Fort Worth, TX / Lupton Stadium",2026,WN2026
04/02/2026,Lamar,Oregon State,0,2,0,0,L,Lamar,Lamar,Oregon-State,0,9,"Beaumont, TX / Vincent-Beck Stadium",2026,WN2026
04/03/2026,Lamar,Oregon State,0,8,0,0,L,Lamar,Lamar,Oregon-State,0,9,"Beaumont, TX / Vincent-Beck Stadium",2026,WN2026
04/04/2026,Lamar,Oregon State,3,10,0,0,L,Lamar,Lamar,Oregon-State,0,9,"Beaumont, TX / Vincent-Beck Stadium",2026,WN2026
04/07/2026,Lamar,Tulane,9,5,0,0,W,Lamar,Lamar,Tulane,0,9,"Beaumont, TX / Vincent-Beck Stadium",2026,WN2026
04/10/2026,Nicholls,Lamar,3,0,0,0,L,Lamar,Lamar,Nicholls,1,9,"Thibodaux, LA / Ben Meyer Diamond at Ray E. Didier Field",2026,WN2026
04/11/2026,Nicholls,Lamar,11,10,0,0,L,Lamar,Lamar,Nicholls,1,11,"Thibodaux, LA / Ben Meyer Diamond at Ray E. Didier Field",2026,WN2026
04/12/2026,Nicholls,Lamar,1,11,0,0,W,Lamar,Lamar,Nicholls,1,7,"Thibodaux, LA / Ben Meyer Diamond at Ray E. Didier Field",2026,WN2026
04/13/2026,Lamar,BYU,0,4,0,0,L,Lamar,Lamar,BYU,0,9,"Beaumont, TX / Vincent-Beck Stadium",2026,WN2026
04/17/2026,Lamar,Northwestern State,5,0,0,0,W,Lamar,Lamar,Northwestern-State,0,9,"Beaumont, TX / Vincent-Beck Stadium",2026,WN2026
04/19/2026,Lamar,Northwestern State,4,3,0,0,W,Lamar,Lamar,Northwestern-State,0,15,"Beaumont, TX / Vincent-Beck Stadium",2026,WN2026
04/19/2026,Lamar,Northwestern State,3,1,0,0,W,Lamar,Lamar,Northwestern-State,0,9,"Beaumont, TX / Vincent-Beck Stadium",2026,WN2026
04/22/2026,South Alabama,Lamar,6,1,0,0,L,Lamar,Lamar,South-Alabama,1,9,"Mobile, AL / Eddie Stanky Field",2026,WN2026
04/24/2026,New Orleans,Lamar,11,7,0,0,L,Lamar,Lamar,New-Orleans,1,9,"New Orleans, LA / Maestri Field",2026,WN2026
04/25/2026,New Orleans,Lamar,2,7,0,0,W,Lamar,Lamar,New-Orleans,1,9,"New Orleans, LA / Maestri Field",2026,WN2026
04/26/2026,New Orleans,Lamar,1,20,0,0,W,Lamar,Lamar,New-Orleans,1,7,"New Orleans, LA / Maestri Field",2026,WN2026
04/28/2026,Rice,Lamar,6,5,0,0,L,Lamar,Lamar,Rice,1,9,"Houston, TX / Reckling Park",2026,WN2026
05/02/2026,Lamar,Southeastern Louisiana,2,6,0,0,L,Lamar,Lamar,Southeastern-Louisiana,0,9,"Beaumont, TX / Vincent-Beck Stadium",2026,WN2026
05/02/2026,Lamar,Southeastern Louisiana,0,10,0,0,L,Lamar,Lamar,Southeastern-Louisiana,0,7,"Beaumont, TX / Vincent-Beck Stadium",2026,WN2026
05/03/2026,Lamar,Southeastern Louisiana,8,2,0,0,W,Lamar,Lamar,Southeastern-Louisiana,0,9,"Beaumont, TX / Vincent-Beck Stadium",2026,WN2026
05/05/2026,Sam Houston State,Lamar,14,15,0,0,W,Lamar,Lamar,Sam-Houston-State,1,11,"Huntsville, TX / Don Sanders Stadium",2026,WN2026
05/07/2026,Houston Christian,Lamar,3,10,0,0,W,Lamar,Lamar,Houston-Christian,1,9,"Houston, TX / Husky Field",2026,WN2026
05/09/2026,Houston Christian,Lamar,3,5,0,0,W,Lamar,Lamar,Houston-Christian,1,9,"Houston, TX / Husky Field / Box Score",2026,WN2026
05/10/2026,Houston Christian,Lamar,9,5,0,0,L,Lamar,Lamar,Houston-Christian,1,9,"Houston, TX / Husky Field / Box Score",2026,WN2026
05/14/2026,Stephen F. Austin,Lamar,2,0,0,1,L,Lamar,Lamar,Stephen-F-Austin,0,9,"Beaumont, TX / Vincent-Beck Stadium / Box Score",2026,WN2026
05/15/2026,UTRGV,Lamar,2,3,0,1,W,Lamar,Lamar,UTRGV,0,9,"Beaumont, TX / Vincent-Beck Stadium / Box Score",2026,WN2026
