Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Tarleton State,Le Moyne,20,3,0,0,L,Le Moyne,Le-Moyne,Tarleton-State,1,7,"Stephenville, TX / Cecil Ballow Baseball Complex",2026,WN2026
02/14/2026,Tarleton State,Le Moyne,5,4,0,0,L,Le Moyne,Le-Moyne,Tarleton-State,1,9,"Stephenville, TX / Cecil Ballow Baseball Complex",2026,WN2026
02/15/2026,Tarleton State,Le Moyne,13,8,0,0,L,Le Moyne,Le-Moyne,Tarleton-State,1,9,"Stephenville, TX / Cecil Ballow Baseball Complex",2026,WN2026
02/20/2026,James Madison,Le Moyne,13,11,0,0,L,Le Moyne,Le-Moyne,James-Madison,1,9,"Harrisonburg, VA / Eagle Field at Veterans Memorial Park",2026,WN2026
02/21/2026,James Madison,Le Moyne,16,1,0,0,L,Le Moyne,Le-Moyne,James-Madison,1,7,"Harrisonburg, VA / Eagle Field at Veterans Memorial Park",2026,WN2026
02/21/2026,James Madison,Le Moyne,11,4,0,0,L,Le Moyne,Le-Moyne,James-Madison,1,9,"Harrisonburg, VA / Eagle Field at Veterans Memorial Park",2026,WN2026
02/27/2026,North Carolina,Le Moyne,16,3,0,0,L,Le Moyne,Le-Moyne,North-Carolina,1,7,"Chapel Hill, NC / Boshamer Stadium",2026,WN2026
02/28/2026,North Carolina,Le Moyne,12,2,0,0,L,Le Moyne,Le-Moyne,North-Carolina,1,7,"Chapel Hill, NC / Boshamer Stadium",2026,WN2026
03/01/2026,North Carolina,Le Moyne,21,1,0,0,L,Le Moyne,Le-Moyne,North-Carolina,1,7,"Chapel Hill, NC / Boshamer Stadium",2026,WN2026
03/08/2026,Le Moyne,Delaware State,8,12,0,0,L,Le Moyne,Le-Moyne,Delaware-State,0,9,"Cortland, NY / Gutchess Lumber Sports Complex",2026,WN2026
03/08/2026,Le Moyne,Delaware State,21,5,0,0,W,Le Moyne,Le-Moyne,Delaware-State,0,7,"Cortland, NY / Gutchess Lumber Sports Complex",2026,WN2026
03/09/2026,Le Moyne,Delaware State,24,19,0,0,W,Le Moyne,Le-Moyne,Delaware-State,0,9,"Cortland, NY / Gutchess Lumber Sports Complex",2026,WN2026
