Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,The Citadel,Liberty,3,7,0,0,W,Liberty,Liberty,The-Citadel,1,9,"Charleston, SC / Joseph P. Riley Jr. Park",2026,WN2026
02/14/2026,The Citadel,Liberty,4,3,0,0,L,Liberty,Liberty,The-Citadel,1,9,"Charleston, SC / Joseph P. Riley Jr. Park",2026,WN2026
02/15/2026,The Citadel,Liberty,4,5,0,0,W,Liberty,Liberty,The-Citadel,1,9,"Charleston, SC / Joseph P. Riley Jr. Park",2026,WN2026
02/20/2026,Liberty,West Virginia,0,12,0,0,L,Liberty,Liberty,West-Virginia,0,9,"Lynchburg, VA / Liberty Baseball Stadium",2026,WN2026
02/21/2026,Liberty,West Virginia,0,2,0,0,L,Liberty,Liberty,West-Virginia,0,9,"Lynchburg, VA / Liberty Baseball Stadium",2026,WN2026
02/21/2026,Liberty,West Virginia,4,1,0,0,W,Liberty,Liberty,West-Virginia,0,9,"Lynchburg, VA / Liberty Baseball Stadium",2026,WN2026
02/25/2026,Liberty,High Point,9,3,0,0,W,Liberty,Liberty,High-Point,0,9,"Lynchburg, VA / Liberty Baseball Stadium",2026,WN2026
02/27/2026,Liberty,Hofstra,7,2,0,0,W,Liberty,Liberty,Hofstra,0,9,"Lynchburg, VA / Liberty Baseball Stadium",2026,WN2026
02/28/2026,Liberty,Hofstra,13,2,0,0,W,Liberty,Liberty,Hofstra,0,7,"Lynchburg, VA / Liberty Baseball Stadium",2026,WN2026
03/01/2026,Liberty,Hofstra,10,7,0,0,W,Liberty,Liberty,Hofstra,0,9,"Lynchburg, VA / Liberty Baseball Stadium",2026,WN2026
03/03/2026,High Point,Liberty,0,8,0,0,W,Liberty,Liberty,High-Point,1,9,"High Point, NC / George S. Erath Field at Coy O. Williard Baseball Stadium",2026,WN2026
03/06/2026,Liberty,Harvard,9,3,0,0,W,Liberty,Liberty,Harvard,0,9,"Lynchburg, VA / Liberty Baseball Stadium",2026,WN2026
03/07/2026,Liberty,Harvard,11,7,0,0,W,Liberty,Liberty,Harvard,0,9,"Lynchburg, VA / Liberty Baseball Stadium",2026,WN2026
03/08/2026,Liberty,Harvard,5,4,0,0,W,Liberty,Liberty,Harvard,0,9,"Lynchburg, VA / Liberty Baseball Stadium",2026,WN2026
03/10/2026,UNCG,Liberty,10,12,0,0,W,Liberty,Liberty,UNCG,1,9,"Greensboro, NC / UNCG Baseball Stadium",2026,WN2026
03/13/2026,Liberty,Missouri State,3,4,0,0,L,Liberty,Liberty,Missouri-State,0,9,"Lynchburg, VA / Liberty Baseball Stadium",2026,WN2026
03/14/2026,Liberty,Missouri State,11,12,0,0,L,Liberty,Liberty,Missouri-State,0,9,"Lynchburg, VA / Liberty Baseball Stadium",2026,WN2026
03/15/2026,Liberty,Missouri State,9,3,0,0,W,Liberty,Liberty,Missouri-State,0,9,"Lynchburg, VA / Liberty Baseball Stadium",2026,WN2026
03/17/2026,Wake Forest,Liberty,11,0,0,0,L,Liberty,Liberty,Wake-Forest,1,7,"Winston-Salem, NC / David F. Couch Ballpark",2026,WN2026
03/18/2026,Liberty,Virginia,12,14,0,0,L,Liberty,Liberty,Virginia,0,9,"Lynchburg, VA / Liberty Baseball Stadium",2026,WN2026
03/20/2026,Kennesaw State,Liberty,0,2,0,0,W,Liberty,Liberty,Kennesaw-State,1,10,"Kennesaw, GA / Mickey Dunn Stadium",2026,WN2026
03/21/2026,Kennesaw State,Liberty,5,11,0,0,W,Liberty,Liberty,Kennesaw-State,1,9,"Kennesaw, GA / Mickey Dunn Stadium",2026,WN2026
03/22/2026,Kennesaw State,Liberty,4,3,0,0,L,Liberty,Liberty,Kennesaw-State,1,9,"Kennesaw, GA / Mickey Dunn Stadium",2026,WN2026
03/24/2026,Liberty,UNCG,6,7,0,0,L,Liberty,Liberty,UNCG,0,9,"Lynchburg, VA / Liberty Baseball Stadium",2026,WN2026
03/27/2026,Liberty,FIU,4,3,0,0,W,Liberty,Liberty,FIU,0,9,"Lynchburg, VA / Liberty Baseball Stadium",2026,WN2026
