Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Little Rock,Eastern Michigan,6,1,0,0,W,Little Rock,Little-Rock,Eastern-Michigan,0,9,"Little Rock, AR / Gary Hogan Field",2026,WN2026
02/14/2026,Little Rock,Eastern Michigan,6,11,0,0,L,Little Rock,Little-Rock,Eastern-Michigan,0,9,"Little Rock, AR / Gary Hogan Field",2026,WN2026
02/15/2026,Little Rock,Eastern Michigan,2,0,0,0,W,Little Rock,Little-Rock,Eastern-Michigan,0,9,"Little Rock, AR / Gary Hogan Field",2026,WN2026
02/17/2026,Memphis,Little Rock,11,12,0,0,W,Little Rock,Little-Rock,Memphis,1,9,"Memphis, TN / FedExPark",2026,WN2026
02/20/2026,Little Rock,West Georgia,6,5,0,0,W,Little Rock,Little-Rock,West-Georgia,0,9,"Little Rock, AR / Gary Hogan Field",2026,WN2026
02/21/2026,Little Rock,West Georgia,4,3,0,0,W,Little Rock,Little-Rock,West-Georgia,0,11,"Little Rock, AR / Gary Hogan Field",2026,WN2026
02/22/2026,Little Rock,West Georgia,6,1,0,0,W,Little Rock,Little-Rock,West-Georgia,0,9,"Little Rock, AR / Gary Hogan Field",2026,WN2026
02/24/2026,Little Rock,Memphis,5,24,0,0,L,Little Rock,Little-Rock,Memphis,0,8,"Little Rock, AR / Gary Hogan Field",2026,WN2026
02/27/2026,Missouri State,Little Rock,8,5,0,0,L,Little Rock,Little-Rock,Missouri-State,1,9,"Springfield, MO / Hammons Field",2026,WN2026
02/28/2026,Missouri State,Little Rock,7,5,0,0,L,Little Rock,Little-Rock,Missouri-State,1,9,"Springfield, MO / Hammons Field",2026,WN2026
02/28/2026,Missouri State,Little Rock,9,4,0,0,L,Little Rock,Little-Rock,Missouri-State,1,9,"Springfield, MO / Hammons Field",2026,WN2026
03/03/2026,Arkansas-Pine Bluff,Little Rock,10,8,0,0,L,Little Rock,Little-Rock,Arkansas-Pine-Bluff,1,9,"Pine Bluff, AR / Torii Hunter Baseball Complex",2026,WN2026
03/06/2026,Central Arkansas,Little Rock,7,1,0,0,L,Little Rock,Little-Rock,Central-Arkansas,1,9,"Conway, AR / Bear Stadium",2026,WN2026
03/06/2026,Central Arkansas,Little Rock,2,8,0,0,W,Little Rock,Little-Rock,Central-Arkansas,1,7,"Conway, AR / Bear Stadium",2026,WN2026
03/08/2026,Little Rock,Central Arkansas,7,2,0,0,W,Little Rock,Little-Rock,Central-Arkansas,0,9,"Little Rock, AR / Gary Hogan Field",2026,WN2026
03/10/2026,Little Rock,Arkansas State,5,12,0,0,L,Little Rock,Little-Rock,Arkansas-State,0,9,"Little Rock, AR / Gary Hogan Field",2026,WN2026
03/13/2026,Samford,Little Rock,5,4,0,0,L,Little Rock,Little-Rock,Samford,1,9,"Homewood, AL / Joe Lee Griffin Stadium",2026,WN2026
03/14/2026,Samford,Little Rock,1,5,0,0,W,Little Rock,Little-Rock,Samford,1,9,"Homewood, AL / Joe Lee Griffin Stadium",2026,WN2026
03/15/2026,Samford,Little Rock,2,12,0,0,W,Little Rock,Little-Rock,Samford,1,7,"Homewood, AL / Joe Lee Griffin Stadium",2026,WN2026
03/17/2026,Little Rock,Oral Roberts,11,1,0,0,W,Little Rock,Little-Rock,Oral-Roberts,0,8,"Little Rock, AR / Gary Hogan Field",2026,WN2026
03/18/2026,Little Rock,Oral Roberts,1,11,0,0,L,Little Rock,Little-Rock,Oral-Roberts,0,7,"Little Rock, AR / Gary Hogan Field",2026,WN2026
03/20/2026,Tennessee Tech,Little Rock,4,12,0,0,W,Little Rock,Little-Rock,Tennessee-Tech,1,9,"Cookeville, TN / Bush Stadium at Averitt Express Baseball Complex",2026,WN2026
03/21/2026,Tennessee Tech,Little Rock,3,4,0,0,W,Little Rock,Little-Rock,Tennessee-Tech,1,9,"Cookeville, TN / Bush Stadium at Averitt Express Baseball Complex",2026,WN2026
03/22/2026,Tennessee Tech,Little Rock,10,11,0,0,W,Little Rock,Little-Rock,Tennessee-Tech,1,9,"Cookeville, TN / Bush Stadium at Averitt Express Baseball Complex",2026,WN2026
03/24/2026,Little Rock,Arkansas-Pine Bluff,7,1,0,0,W,Little Rock,Little-Rock,Arkansas-Pine-Bluff,0,9,"Little Rock, AR / Gary Hogan Field",2026,WN2026
