Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,McNeese,Sam Houston State,9,8,0,0,W,McNeese,McNeese,Sam-Houston-State,0,11,"Lake Charles, LA / Joe Miller Ballpark",2026,WN2026
02/14/2026,McNeese,Sam Houston State,2,11,0,0,L,McNeese,McNeese,Sam-Houston-State,0,9,"Lake Charles, LA / Joe Miller Ballpark",2026,WN2026
02/15/2026,McNeese,Sam Houston State,5,8,0,0,L,McNeese,McNeese,Sam-Houston-State,0,9,"Lake Charles, LA / Joe Miller Ballpark",2026,WN2026
02/18/2026,Louisiana Tech,McNeese,3,8,0,0,W,McNeese,McNeese,Louisiana-Tech,1,9,"Ruston, LA / J. C. Love Field at Pat Patterson Park",2026,WN2026
02/20/2026,McNeese,Kansas,2,11,0,0,L,McNeese,McNeese,Kansas,0,9,"Lake Charles, LA / Joe Miller Ballpark",2026,WN2026
02/21/2026,McNeese,Kansas,2,8,0,0,L,McNeese,McNeese,Kansas,0,9,"Lake Charles, LA / Joe Miller Ballpark",2026,WN2026
02/22/2026,McNeese,Kansas,1,6,0,0,L,McNeese,McNeese,Kansas,0,9,"Lake Charles, LA / Joe Miller Ballpark",2026,WN2026
02/24/2026,LSU,McNeese,6,7,0,0,W,McNeese,McNeese,LSU,1,9,"Baton Rouge, LA / Alex Box Stadium",2026,WN2026
02/27/2026,Nicholls,McNeese,1,8,0,0,W,McNeese,McNeese,Nicholls,1,9,"Thibodaux, LA / Ben Meyer Diamond at Ray E. Didier Field",2026,WN2026
02/28/2026,Nicholls,McNeese,4,11,0,0,W,McNeese,McNeese,Nicholls,1,9,"Thibodaux, LA / Ben Meyer Diamond at Ray E. Didier Field",2026,WN2026
03/01/2026,Nicholls,McNeese,3,2,0,0,L,McNeese,McNeese,Nicholls,1,9,"Thibodaux, LA / Ben Meyer Diamond at Ray E. Didier Field",2026,WN2026
03/03/2026,Southern,McNeese,5,14,0,0,W,McNeese,McNeese,Southern,1,9,"Baton Rouge, LA / Lee-Hines Field",2026,WN2026
03/06/2026,McNeese,Houston Christian,1,3,0,0,L,McNeese,McNeese,Houston-Christian,0,9,"Lake Charles, LA / Joe Miller Ballpark",2026,WN2026
03/06/2026,McNeese,Houston Christian,4,2,0,0,W,McNeese,McNeese,Houston-Christian,0,9,"Lake Charles, LA / Joe Miller Ballpark",2026,WN2026
03/07/2026,McNeese,Houston Christian,4,12,0,0,L,McNeese,McNeese,Houston-Christian,0,9,"Lake Charles, LA / Joe Miller Ballpark",2026,WN2026
03/13/2026,Lamar,McNeese,1,3,0,0,W,McNeese,McNeese,Lamar,1,9,"Beaumont, TX / Vincent-Beck Stadium",2026,WN2026
03/14/2026,Lamar,McNeese,5,0,0,0,L,McNeese,McNeese,Lamar,1,9,"Beaumont, TX / Vincent-Beck Stadium",2026,WN2026
03/15/2026,Lamar,McNeese,11,10,0,0,L,McNeese,McNeese,Lamar,1,9,"Beaumont, TX / Vincent-Beck Stadium",2026,WN2026
03/18/2026,McNeese,Prairie View A&M,16,1,0,0,W,McNeese,McNeese,Prairie-View-AM,0,7,"Lake Charles, LA / Joe Miller Ballpark",2026,WN2026
03/20/2026,McNeese,Southeastern Louisiana,8,2,0,0,W,McNeese,McNeese,Southeastern-Louisiana,0,9,"Lake Charles, LA / Joe Miller Ballpark",2026,WN2026
03/21/2026,McNeese,Southeastern Louisiana,8,7,0,0,W,McNeese,McNeese,Southeastern-Louisiana,0,11,"Lake Charles, LA / Joe Miller Ballpark",2026,WN2026
03/22/2026,McNeese,Southeastern Louisiana,8,13,0,0,L,McNeese,McNeese,Southeastern-Louisiana,0,9,"Lake Charles, LA / Joe Miller Ballpark",2026,WN2026
