Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Oregon State,Michigan,3,5,0,1,W,Michigan,Michigan,Oregon-State,0,9,"Surprise, AZ / Surprise Stadium",2026,WN2026
02/14/2026,Stanford,Michigan,6,7,0,1,W,Michigan,Michigan,Stanford,0,9,"Surprise, AZ / Surprise Stadium",2026,WN2026
02/15/2026,Arizona,Michigan,1,4,0,1,W,Michigan,Michigan,Arizona,0,9,"Surprise, AZ / Surprise Stadium",2026,WN2026
02/16/2026,Oregon State,Michigan,5,4,0,1,L,Michigan,Michigan,Oregon-State,0,10,"Surprise, AZ / Surprise Stadium",2026,WN2026
02/20/2026,Florida State,Michigan,6,1,0,1,L,Michigan,Michigan,Florida-State,0,9,"Arlington, TX / Globe Life Field",2026,WN2026
02/21/2026,Louisville,Michigan,5,8,0,1,W,Michigan,Michigan,Louisville,0,9,"Arlington, TX / Globe Life Field",2026,WN2026
02/22/2026,Kansas State,Michigan,10,6,0,1,L,Michigan,Michigan,Kansas-State,0,9,"Arlington, TX / Globe Life Field",2026,WN2026
02/27/2026,San Diego,Michigan,6,5,0,0,L,Michigan,Michigan,San-Diego,1,10,"San Diego, CA / Fowler Park",2026,WN2026
02/28/2026,San Diego,Michigan,0,9,0,0,W,Michigan,Michigan,San-Diego,1,9,"San Diego, CA / Fowler Park",2026,WN2026
03/01/2026,San Diego,Michigan,2,9,0,0,W,Michigan,Michigan,San-Diego,1,9,"San Diego, CA / Fowler Park",2026,WN2026
03/03/2026,Cal State Northridge,Michigan,9,8,0,0,L,Michigan,Michigan,Cal-State-Northridge,1,12,"Northridge, CA / Matador Field",2026,WN2026
03/05/2026,Pepperdine,Michigan,4,17,0,0,W,Michigan,Michigan,Pepperdine,1,9,"Malibu, CA / Eddy D. Field Stadium",2026,WN2026
03/06/2026,Pepperdine,Michigan,9,8,0,0,L,Michigan,Michigan,Pepperdine,1,9,"Malibu, CA / Eddy D. Field Stadium",2026,WN2026
03/07/2026,Pepperdine,Michigan,2,5,0,0,W,Michigan,Michigan,Pepperdine,1,9,"Malibu, CA / Eddy D. Field Stadium",2026,WN2026
03/10/2026,Michigan,Western Michigan,3,2,0,0,W,Michigan,Michigan,Western-Michigan,0,9,"Ann Arbor, MI / Ray Fisher Stadium",2026,WN2026
03/13/2026,UCLA,Michigan,10,5,0,0,L,Michigan,Michigan,UCLA,1,9,"Los Angeles, CA / Jackie Robinson Stadium",2026,WN2026
03/14/2026,UCLA,Michigan,2,0,0,0,L,Michigan,Michigan,UCLA,1,9,"Los Angeles, CA / Jackie Robinson Stadium",2026,WN2026
03/15/2026,UCLA,Michigan,7,2,0,0,L,Michigan,Michigan,UCLA,1,9,"Los Angeles, CA / Jackie Robinson Stadium",2026,WN2026
03/18/2026,Michigan,Michigan State,2,0,0,0,W,Michigan,Michigan,Michigan-State,0,9,"Ann Arbor, MI / Ray Fisher Stadium",2026,WN2026
03/20/2026,Michigan,Nebraska,2,1,0,0,W,Michigan,Michigan,Nebraska,0,9,"Ann Arbor, MI / Ray Fisher Stadium",2026,WN2026
03/21/2026,Michigan,Nebraska,0,10,0,0,L,Michigan,Michigan,Nebraska,0,7,"Ann Arbor, MI / Ray Fisher Stadium",2026,WN2026
03/22/2026,Michigan,Nebraska,5,9,0,0,L,Michigan,Michigan,Nebraska,0,9,"Ann Arbor, MI / Ray Fisher Stadium",2026,WN2026
03/24/2026,Michigan,Oakland,6,7,0,0,L,Michigan,Michigan,Oakland,0,9,"Ann Arbor, MI / Ray Fisher Stadium",2026,WN2026
