Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,LSU,Milwaukee,16,5,0,0,L,Milwaukee,Milwaukee,LSU,1,8,"Baton Rouge, LA / Alex Box Stadium",2026,WN2026
02/14/2026,LSU,Milwaukee,5,3,0,0,L,Milwaukee,Milwaukee,LSU,1,9,"Baton Rouge, LA / Alex Box Stadium",2026,WN2026
02/15/2026,LSU,Milwaukee,21,7,0,0,L,Milwaukee,Milwaukee,LSU,1,7,"Baton Rouge, LA / Alex Box Stadium",2026,WN2026
02/20/2026,Duke,Milwaukee,20,3,0,0,L,Milwaukee,Milwaukee,Duke,1,7,"Durham, NC / Jack Coombs Field",2026,WN2026
02/21/2026,Duke,Milwaukee,10,8,0,0,L,Milwaukee,Milwaukee,Duke,1,7,"Durham, NC / Jack Coombs Field",2026,WN2026
02/21/2026,Duke,Milwaukee,6,9,0,0,W,Milwaukee,Milwaukee,Duke,1,9,"Durham, NC / Jack Coombs Field",2026,WN2026
02/22/2026,Duke,Milwaukee,6,1,0,0,L,Milwaukee,Milwaukee,Duke,1,9,"Durham, NC / Jack Coombs Field",2026,WN2026
02/27/2026,Evansville,Milwaukee,9,12,0,0,W,Milwaukee,Milwaukee,Evansville,1,9,"Evansville, IN / Charles H. Braun Stadium",2026,WN2026
02/28/2026,Evansville,Milwaukee,2,1,0,0,L,Milwaukee,Milwaukee,Evansville,1,9,"Evansville, IN / Charles H. Braun Stadium",2026,WN2026
03/01/2026,Evansville,Milwaukee,4,2,0,0,L,Milwaukee,Milwaukee,Evansville,1,9,"Evansville, IN / Charles H. Braun Stadium",2026,WN2026
03/03/2026,Minnesota,Milwaukee,14,4,0,0,L,Milwaukee,Milwaukee,Minnesota,1,8,"Minneapolis, MN / U.S. Bank Stadium",2026,WN2026
03/04/2026,Minnesota,Milwaukee,6,2,0,0,L,Milwaukee,Milwaukee,Minnesota,1,9,"Minneapolis, MN / U.S. Bank Stadium",2026,WN2026
03/06/2026,Southeast Missouri,Milwaukee,8,2,0,0,L,Milwaukee,Milwaukee,Southeast-Missouri,1,9,"Cape Girardeau, MO / Capaha Field",2026,WN2026
03/07/2026,Southeast Missouri,Milwaukee,9,2,0,0,L,Milwaukee,Milwaukee,Southeast-Missouri,1,9,"Cape Girardeau, MO / Capaha Field",2026,WN2026
03/08/2026,Southeast Missouri,Milwaukee,12,2,0,0,L,Milwaukee,Milwaukee,Southeast-Missouri,1,7,"Cape Girardeau, MO / Capaha Field",2026,WN2026
03/10/2026,Purdue,Milwaukee,17,1,0,0,L,Milwaukee,Milwaukee,Purdue,1,9,"West Lafayette, IN / Alexander Field",2026,WN2026
03/13/2026,Northern Kentucky,Milwaukee,9,16,0,0,W,Milwaukee,Milwaukee,Northern-Kentucky,1,9,"Highland Heights, KY / Bill Aker Baseball Complex",2026,WN2026
03/14/2026,Northern Kentucky,Milwaukee,14,1,0,0,L,Milwaukee,Milwaukee,Northern-Kentucky,1,7,"Highland Heights, KY / Bill Aker Baseball Complex",2026,WN2026
03/15/2026,Northern Kentucky,Milwaukee,10,16,0,0,W,Milwaukee,Milwaukee,Northern-Kentucky,1,14,"Highland Heights, KY / Bill Aker Baseball Complex",2026,WN2026
03/20/2026,Wright State,Milwaukee,8,4,0,0,L,Milwaukee,Milwaukee,Wright-State,1,9,"Dayton, OH / Nischwitz Stadium",2026,WN2026
03/21/2026,Wright State,Milwaukee,8,3,0,0,L,Milwaukee,Milwaukee,Wright-State,1,9,"Dayton, OH / Nischwitz Stadium",2026,WN2026
