Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Louisiana,Missouri State,2,8,0,0,W,Missouri State,Missouri-State,Louisiana,1,9,"Lafayette, LA / M. L. Tigue Moore Field at Russo Park",2026,WN2026
02/14/2026,Louisiana,Missouri State,12,13,0,0,W,Missouri State,Missouri-State,Louisiana,1,11,"Lafayette, LA / M. L. Tigue Moore Field at Russo Park",2026,WN2026
02/15/2026,Louisiana,Missouri State,9,7,0,0,L,Missouri State,Missouri-State,Louisiana,1,9,"Lafayette, LA / M. L. Tigue Moore Field at Russo Park",2026,WN2026
02/17/2026,Oral Roberts,Missouri State,0,11,0,0,W,Missouri State,Missouri-State,Oral-Roberts,1,9,"Tulsa, OK / Chapman Park",2026,WN2026
02/20/2026,Ole Miss,Missouri State,11,6,0,0,L,Missouri State,Missouri-State,Ole-Miss,1,9,"Oxford, MS / Swayze Field",2026,WN2026
02/21/2026,Ole Miss,Missouri State,6,3,0,0,L,Missouri State,Missouri-State,Ole-Miss,1,9,"Oxford, MS / Swayze Field",2026,WN2026
02/22/2026,Ole Miss,Missouri State,3,2,0,0,L,Missouri State,Missouri-State,Ole-Miss,1,9,"Oxford, MS / Swayze Field",2026,WN2026
02/24/2026,Missouri State,Oral Roberts,13,1,0,0,W,Missouri State,Missouri-State,Oral-Roberts,0,7,"Springfield, MO / Hammons Field",2026,WN2026
02/27/2026,Missouri State,Little Rock,8,5,0,0,W,Missouri State,Missouri-State,Little-Rock,0,9,"Springfield, MO / Hammons Field",2026,WN2026
02/28/2026,Missouri State,Little Rock,7,5,0,0,W,Missouri State,Missouri-State,Little-Rock,0,9,"Springfield, MO / Hammons Field",2026,WN2026
02/28/2026,Missouri State,Little Rock,9,4,0,0,W,Missouri State,Missouri-State,Little-Rock,0,9,"Springfield, MO / Hammons Field",2026,WN2026
03/03/2026,Oklahoma State,Missouri State,8,7,0,0,L,Missouri State,Missouri-State,Oklahoma-State,1,9,"Stillwater, OK / O'Brate Stadium",2026,WN2026
03/06/2026,Missouri State,Memphis,12,5,0,0,W,Missouri State,Missouri-State,Memphis,0,9,"Springfield, MO / Hammons Field",2026,WN2026
03/07/2026,Missouri State,Memphis,14,5,0,0,W,Missouri State,Missouri-State,Memphis,0,9,"Springfield, MO / Hammons Field",2026,WN2026
03/08/2026,Missouri State,Memphis,13,12,0,0,W,Missouri State,Missouri-State,Memphis,0,9,"Springfield, MO / Hammons Field",2026,WN2026
03/10/2026,Southeast Missouri,Missouri State,13,6,0,0,L,Missouri State,Missouri-State,Southeast-Missouri,1,9,"Cape Girardeau, MO / Capaha Field",2026,WN2026
03/13/2026,Liberty,Missouri State,3,4,0,0,W,Missouri State,Missouri-State,Liberty,1,9,"Lynchburg, VA / Liberty Baseball Stadium",2026,WN2026
03/14/2026,Liberty,Missouri State,11,12,0,0,W,Missouri State,Missouri-State,Liberty,1,9,"Lynchburg, VA / Liberty Baseball Stadium",2026,WN2026
03/15/2026,Liberty,Missouri State,9,3,0,0,L,Missouri State,Missouri-State,Liberty,1,9,"Lynchburg, VA / Liberty Baseball Stadium",2026,WN2026
03/20/2026,Missouri State,Middle Tennessee,6,4,0,0,W,Missouri State,Missouri-State,Middle-Tennessee,0,9,"Springfield, MO / Hammons Field",2026,WN2026
03/21/2026,Missouri State,Middle Tennessee,14,4,0,0,W,Missouri State,Missouri-State,Middle-Tennessee,0,7,"Springfield, MO / Hammons Field",2026,WN2026
03/22/2026,Missouri State,Middle Tennessee,10,9,0,0,W,Missouri State,Missouri-State,Middle-Tennessee,0,9,"Springfield, MO / Hammons Field",2026,WN2026
03/24/2026,Missouri State,Oklahoma State,16,2,0,0,W,Missouri State,Missouri-State,Oklahoma-State,0,7,"Springfield, MO / Hammons Field",2026,WN2026
03/27/2026,Dallas Baptist,Missouri State,5,4,0,0,L,Missouri State,Missouri-State,Dallas-Baptist,1,9,"Dallas, TX / Horner Ballpark",2026,WN2026
