Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/20/2026,Missouri,New Haven,12,2,0,1,L,New Haven,New-Haven,Missouri,0,7,"Fort Myers, FL / Terry Park",2026,WN2026
02/21/2026,Missouri,New Haven,17,5,0,1,L,New Haven,New-Haven,Missouri,0,7,"Fort Myers, FL / Terry Park",2026,WN2026
02/22/2026,Missouri,New Haven,16,2,0,1,L,New Haven,New-Haven,Missouri,0,7,"Fort Myers, FL / Terry Park",2026,WN2026
02/27/2026,TCU,New Haven,14,3,0,0,L,New Haven,New-Haven,TCU,1,7,"Fort Worth, TX / Lupton Stadium",2026,WN2026
02/28/2026,TCU,New Haven,12,4,0,0,L,New Haven,New-Haven,TCU,1,9,"Fort Worth, TX / Lupton Stadium",2026,WN2026
03/01/2026,TCU,New Haven,20,1,0,0,L,New Haven,New-Haven,TCU,1,7,"Fort Worth, TX / Lupton Stadium",2026,WN2026
03/04/2026,Connecticut,New Haven,9,4,0,0,L,New Haven,New-Haven,Connecticut,1,9,"Storrs, CT / Elliot Ballpark",2026,WN2026
03/10/2026,Rhode Island,New Haven,11,0,0,0,L,New Haven,New-Haven,Rhode-Island,1,9,"Kingston, RI / Bill Beck Field",2026,WN2026
03/13/2026,New Haven,Le Moyne,13,6,0,0,W,New Haven,New-Haven,Le-Moyne,0,9,"West Haven, CT / Frank Vieira Field",2026,WN2026
03/14/2026,New Haven,Le Moyne,1,13,0,0,L,New Haven,New-Haven,Le-Moyne,0,9,"West Haven, CT / Frank Vieira Field",2026,WN2026
03/15/2026,New Haven,Le Moyne,5,6,0,0,L,New Haven,New-Haven,Le-Moyne,0,9,"West Haven, CT / Frank Vieira Field",2026,WN2026
03/17/2026,Hofstra,New Haven,15,5,0,0,L,New Haven,New-Haven,Hofstra,1,8,"Hempstead, NY / University Field",2026,WN2026
03/20/2026,Fairleigh Dickinson,New Haven,17,2,0,0,L,New Haven,New-Haven,Fairleigh-Dickinson,1,7,"Teaneck, NJ / Naimoli Family Baseball Complex",2026,WN2026
