Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Georgia State,New Orleans,10,6,0,0,L,New Orleans,New-Orleans,Georgia-State,1,9,"Decatur, GA / Georgia State Baseball Complex",2026,WN2026
02/14/2026,Georgia State,New Orleans,12,4,0,0,L,New Orleans,New-Orleans,Georgia-State,1,9,"Decatur, GA / Georgia State Baseball Complex",2026,WN2026
02/14/2026,Georgia State,New Orleans,5,4,0,0,L,New Orleans,New-Orleans,Georgia-State,1,9,"Decatur, GA / Georgia State Baseball Complex",2026,WN2026
02/18/2026,Southern,New Orleans,5,14,0,0,W,New Orleans,New-Orleans,Southern,1,9,"Baton Rouge, LA / Lee-Hines Field",2026,WN2026
02/20/2026,New Orleans,Alabama A&M,8,10,0,0,L,New Orleans,New-Orleans,Alabama-AM,0,9,"New Orleans, LA / Maestri Field",2026,WN2026
02/21/2026,New Orleans,Northern Kentucky,10,3,0,0,W,New Orleans,New-Orleans,Northern-Kentucky,0,9,"New Orleans, LA / Maestri Field",2026,WN2026
02/22/2026,New Orleans,ULM,1,9,0,0,L,New Orleans,New-Orleans,ULM,0,9,"New Orleans, LA / Maestri Field",2026,WN2026
02/24/2026,New Orleans,Tulane,11,3,0,0,W,New Orleans,New-Orleans,Tulane,0,9,"New Orleans, LA / Maestri Field",2026,WN2026
02/25/2026,New Orleans,Southern,4,0,0,0,W,New Orleans,New-Orleans,Southern,0,9,"New Orleans, LA / Maestri Field",2026,WN2026
02/27/2026,New Orleans,Stephen F. Austin,5,6,0,0,L,New Orleans,New-Orleans,Stephen-F-Austin,0,9,"New Orleans, LA / Maestri Field",2026,WN2026
02/28/2026,New Orleans,Stephen F. Austin,1,3,0,0,L,New Orleans,New-Orleans,Stephen-F-Austin,0,9,"New Orleans, LA / Maestri Field",2026,WN2026
03/01/2026,New Orleans,Stephen F. Austin,12,6,0,0,W,New Orleans,New-Orleans,Stephen-F-Austin,0,9,"New Orleans, LA / Maestri Field",2026,WN2026
03/03/2026,New Orleans,Jackson State,11,6,0,0,W,New Orleans,New-Orleans,Jackson-State,0,9,"New Orleans, LA / Maestri Field",2026,WN2026
03/06/2026,UTRGV,New Orleans,10,0,0,0,L,New Orleans,New-Orleans,UTRGV,1,8,"Edinburg, TX / UTRGV Baseball Stadium",2026,WN2026
03/07/2026,UTRGV,New Orleans,8,6,0,0,L,New Orleans,New-Orleans,UTRGV,1,9,"Edinburg, TX / UTRGV Baseball Stadium",2026,WN2026
03/08/2026,UTRGV,New Orleans,6,13,0,0,W,New Orleans,New-Orleans,UTRGV,1,9,"Edinburg, TX / UTRGV Baseball Stadium",2026,WN2026
03/10/2026,New Orleans,Mississippi Valley State,14,0,0,0,W,New Orleans,New-Orleans,Mississippi-Valley-State,0,9,"New Orleans, LA / Maestri Field",2026,WN2026
03/11/2026,New Orleans,Mississippi Valley State,7,9,0,0,L,New Orleans,New-Orleans,Mississippi-Valley-State,0,9,"New Orleans, LA / Maestri Field",2026,WN2026
03/13/2026,New Orleans,Incarnate Word,6,9,0,0,L,New Orleans,New-Orleans,Incarnate-Word,0,9,"New Orleans, LA / Maestri Field",2026,WN2026
03/14/2026,New Orleans,Incarnate Word,1,13,0,0,L,New Orleans,New-Orleans,Incarnate-Word,0,9,"New Orleans, LA / Maestri Field",2026,WN2026
03/15/2026,New Orleans,Incarnate Word,11,7,0,0,W,New Orleans,New-Orleans,Incarnate-Word,0,9,"New Orleans, LA / Maestri Field",2026,WN2026
03/17/2026,Tulane,New Orleans,5,2,0,0,L,New Orleans,New-Orleans,Tulane,1,9,"New Orleans, LA / Greer Field at Turchin Stadium",2026,WN2026
03/18/2026,ULM,New Orleans,17,12,0,0,L,New Orleans,New-Orleans,ULM,1,9,"Monroe, LA / Lou St. Amant Field",2026,WN2026
03/20/2026,Northwestern State,New Orleans,2,3,0,0,W,New Orleans,New-Orleans,Northwestern-State,1,9,"Natchitoches, LA / H. Alvin Brown-C. C. Stroud Field",2026,WN2026
03/21/2026,Northwestern State,New Orleans,6,2,0,0,L,New Orleans,New-Orleans,Northwestern-State,1,9,"Natchitoches, LA / H. Alvin Brown-C. C. Stroud Field",2026,WN2026
03/22/2026,Northwestern State,New Orleans,6,5,0,0,L,New Orleans,New-Orleans,Northwestern-State,1,9,"Natchitoches, LA / H. Alvin Brown-C. C. Stroud Field",2026,WN2026
03/24/2026,Jackson State,New Orleans,0,7,0,0,W,New Orleans,New-Orleans,Jackson-State,1,9,"Jackson, MS / Braddy Field",2026,WN2026
03/27/2026,Southeastern Louisiana,New Orleans,13,11,0,0,L,New Orleans,New-Orleans,Southeastern-Louisiana,1,9,"Hammond, LA / Pat Kenelly Diamond at Alumni Field",2026,WN2026
03/28/2026,Southeastern Louisiana,New Orleans,11,1,0,0,L,New Orleans,New-Orleans,Southeastern-Louisiana,1,7,"Hammond, LA / Pat Kenelly Diamond at Alumni Field",2026,WN2026
