Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Texas State,Niagara,13,0,0,0,L,Niagara,Niagara,Texas-State,1,9,"San Marcos, TX / Bobcat Ballpark",2026,WN2026
02/14/2026,Texas State,Niagara,11,3,0,0,L,Niagara,Niagara,Texas-State,1,9,"San Marcos, TX / Bobcat Ballpark",2026,WN2026
02/15/2026,Texas State,Niagara,11,0,0,0,L,Niagara,Niagara,Texas-State,1,8,"San Marcos, TX / Bobcat Ballpark",2026,WN2026
02/20/2026,Old Dominion,Niagara,5,4,0,0,L,Niagara,Niagara,Old-Dominion,1,9,"Norfolk, VA / Bud Metheny Baseball Complex",2026,WN2026
02/21/2026,Old Dominion,Niagara,8,5,0,0,L,Niagara,Niagara,Old-Dominion,1,9,"Norfolk, VA / Bud Metheny Baseball Complex",2026,WN2026
02/21/2026,Old Dominion,Niagara,5,4,0,0,L,Niagara,Niagara,Old-Dominion,1,9,"Norfolk, VA / Bud Metheny Baseball Complex",2026,WN2026
02/27/2026,Portland,Niagara,8,5,0,0,L,Niagara,Niagara,Portland,1,9,"Portland, OR / Joe Etzel Field",2026,WN2026
02/28/2026,Portland,Niagara,3,1,0,0,L,Niagara,Niagara,Portland,1,9,"Portland, OR / Joe Etzel Field",2026,WN2026
03/01/2026,Portland,Niagara,1,3,0,0,W,Niagara,Niagara,Portland,1,9,"Portland, OR / Joe Etzel Field",2026,WN2026
03/07/2026,Merrimack,Niagara,8,7,0,0,L,Niagara,Niagara,Merrimack,1,9,"Andover, MA / Warrior Baseball Diamond",2026,WN2026
03/07/2026,Merrimack,Niagara,0,4,0,0,W,Niagara,Niagara,Merrimack,1,9,"Andover, MA / Warrior Baseball Diamond",2026,WN2026
03/08/2026,Merrimack,Niagara,6,4,0,0,L,Niagara,Niagara,Merrimack,1,9,"Andover, MA / Warrior Baseball Diamond",2026,WN2026
03/13/2026,NJIT,Niagara,3,6,0,0,W,Niagara,Niagara,NJIT,1,9,"Little Falls, NJ / Yogi Berra Stadium",2026,WN2026
03/14/2026,NJIT,Niagara,4,7,0,0,W,Niagara,Niagara,NJIT,1,9,"Little Falls, NJ / Yogi Berra Stadium",2026,WN2026
03/15/2026,NJIT,Niagara,6,8,0,0,W,Niagara,Niagara,NJIT,1,9,"Little Falls, NJ / Yogi Berra Stadium",2026,WN2026
03/20/2026,Siena,Niagara,2,3,0,0,W,Niagara,Niagara,Siena,1,9,"Loudonville, NY / Siena Baseball Field",2026,WN2026
03/21/2026,Siena,Niagara,10,9,0,0,L,Niagara,Niagara,Siena,1,10,"Loudonville, NY / Siena Baseball Field",2026,WN2026
03/21/2026,Siena,Niagara,6,9,0,0,W,Niagara,Niagara,Siena,1,9,"Loudonville, NY / Siena Baseball Field",2026,WN2026
03/27/2026,Niagara,Iona,3,2,0,0,W,Niagara,Niagara,Iona,0,9,"Lewiston, NY / Bobo Field",2026,WN2026
03/28/2026,Niagara,Iona,3,9,0,0,L,Niagara,Niagara,Iona,0,9,"Lewiston, NY / Bobo Field",2026,WN2026
03/29/2026,Niagara,Iona,3,2,0,0,W,Niagara,Niagara,Iona,0,9,"Lewiston, NY / Bobo Field",2026,WN2026
04/02/2026,Quinnipiac,Niagara,6,8,0,0,W,Niagara,Niagara,Quinnipiac,1,9,"Hamden, CT / Quinnipiac Baseball Field",2026,WN2026
04/03/2026,Quinnipiac,Niagara,3,4,0,0,W,Niagara,Niagara,Quinnipiac,1,9,"Hamden, CT / Quinnipiac Baseball Field",2026,WN2026
04/04/2026,Quinnipiac,Niagara,4,3,0,0,L,Niagara,Niagara,Quinnipiac,1,9,"Hamden, CT / Quinnipiac Baseball Field",2026,WN2026
04/08/2026,Mercyhurst,Niagara,12,5,0,0,L,Niagara,Niagara,Mercyhurst,1,9,"Erie, PA / Mercyhurst Baseball Field",2026,WN2026
04/10/2026,Niagara,Canisius,3,4,0,0,L,Niagara,Niagara,Canisius,0,12,"Lewiston, NY / Bobo Field",2026,WN2026
04/11/2026,Niagara,Canisius,6,4,0,0,W,Niagara,Niagara,Canisius,0,9,"Lewiston, NY / Bobo Field",2026,WN2026
04/11/2026,Niagara,Canisius,6,5,0,0,W,Niagara,Niagara,Canisius,0,9,"Lewiston, NY / Bobo Field",2026,WN2026
04/17/2026,Niagara,Marist,10,6,0,0,W,Niagara,Niagara,Marist,0,9,"Lewiston, NY / Bobo Field",2026,WN2026
04/18/2026,Niagara,Marist,8,3,0,0,W,Niagara,Niagara,Marist,0,9,"Lewiston, NY / Bobo Field",2026,WN2026
04/19/2026,Niagara,Marist,11,6,0,0,W,Niagara,Niagara,Marist,0,9,"Lewiston, NY / Bobo Field",2026,WN2026
04/24/2026,Saint Peter's,Niagara,9,11,0,0,W,Niagara,Niagara,Saint-Peters,1,9,"Jersey City, NJ / Joseph J. Jaroschak Field",2026,WN2026
04/24/2026,Saint Peter's,Niagara,8,12,0,0,W,Niagara,Niagara,Saint-Peters,1,9,"Jersey City, NJ / Joseph J. Jaroschak Field",2026,WN2026
04/26/2026,Saint Peter's,Niagara,5,18,0,0,W,Niagara,Niagara,Saint-Peters,1,9,"Jersey City, NJ / Joseph J. Jaroschak Field",2026,WN2026
04/28/2026,Saint Bonaventure,Niagara,6,7,0,0,W,Niagara,Niagara,Saint-Bonaventure,1,9,"St. Bonaventure, NY / Fred Handler Park",2026,WN2026
05/01/2026,Niagara,Rider,12,3,0,0,W,Niagara,Niagara,Rider,0,9,"Lewiston, NY / Bobo Field",2026,WN2026
05/02/2026,Niagara,Rider,2,26,0,0,L,Niagara,Niagara,Rider,0,9,"Lewiston, NY / Bobo Field",2026,WN2026
05/03/2026,Niagara,Rider,1,0,0,0,W,Niagara,Niagara,Rider,0,10,"Lewiston, NY / Bobo Field",2026,WN2026
05/08/2026,Manhattan,Niagara,11,15,0,0,W,Niagara,Niagara,Manhattan,1,10,"Pomona, NY / Clover Stadium / Box Score",2026,WN2026
05/10/2026,Manhattan,Niagara,9,14,0,0,W,Niagara,Niagara,Manhattan,1,9,"Pomona, NY / Clover Stadium / Box Score",2026,WN2026
05/10/2026,Manhattan,Niagara,14,3,0,0,L,Niagara,Niagara,Manhattan,1,7,"Pomona, NY / Clover Stadium / Box Score",2026,WN2026
05/12/2026,Niagara,Mercyhurst,7,5,0,0,W,Niagara,Niagara,Mercyhurst,0,9,"Lewiston, NY / Bobo Field",2026,WN2026
05/13/2026,Niagara,Mount Saint Mary's,4,15,0,0,L,Niagara,Niagara,Mount-Saint-Marys,0,9,"Lewiston, NY / Bobo Field",2026,WN2026
05/14/2026,Niagara,Mount Saint Mary's,7,6,0,0,W,Niagara,Niagara,Mount-Saint-Marys,0,9,"Lewiston, NY / Bobo Field / Box Score",2026,WN2026
05/15/2026,Niagara,Mount Saint Mary's,5,12,0,0,L,Niagara,Niagara,Mount-Saint-Marys,0,9,"Lewiston, NY / Bobo Field / Box Score",2026,WN2026
05/21/2026,Fairfield,Niagara,4,3,0,1,L,Niagara,Niagara,Fairfield,0,9,"Wappingers Falls, NY / Heritage Financial Park / Recap",2026,WN2026
05/22/2026,Marist,Niagara,2,6,0,1,W,Niagara,Niagara,Marist,0,9,"Wappingers Falls, NY / Heritage Financial Park",2026,WN2026
05/22/2026,Fairfield,Niagara,9,2,0,1,L,Niagara,Niagara,Fairfield,0,9,"Wappingers Falls, NY / Heritage Financial Park",2026,WN2026
