Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Norfolk State,Towson,2,0,0,0,W,Norfolk State,Norfolk-State,Towson,0,9,"Norfolk, VA / Marty L. Miller Field",2026,WN2026
02/14/2026,Norfolk State,Towson,3,12,0,0,L,Norfolk State,Norfolk-State,Towson,0,9,"Norfolk, VA / Marty L. Miller Field",2026,WN2026
02/14/2026,Norfolk State,Towson,4,28,0,0,L,Norfolk State,Norfolk-State,Towson,0,8,"Norfolk, VA / Marty L. Miller Field",2026,WN2026
02/20/2026,Norfolk State,Manhattan,10,16,0,0,L,Norfolk State,Norfolk-State,Manhattan,0,9,"Norfolk, VA / Marty L. Miller Field",2026,WN2026
02/21/2026,Norfolk State,Manhattan,4,13,0,0,L,Norfolk State,Norfolk-State,Manhattan,0,9,"Norfolk, VA / Marty L. Miller Field",2026,WN2026
02/21/2026,Norfolk State,Manhattan,11,10,0,0,W,Norfolk State,Norfolk-State,Manhattan,0,7,"Norfolk, VA / Marty L. Miller Field",2026,WN2026
02/25/2026,Norfolk State,Old Dominion,0,15,0,0,L,Norfolk State,Norfolk-State,Old-Dominion,0,7,"Norfolk, VA / Marty L. Miller Field",2026,WN2026
02/27/2026,Norfolk State,Mount Saint Mary's,6,13,0,0,L,Norfolk State,Norfolk-State,Mount-Saint-Marys,0,9,"Norfolk, VA / Marty L. Miller Field",2026,WN2026
02/28/2026,Norfolk State,Mount Saint Mary's,5,6,0,0,L,Norfolk State,Norfolk-State,Mount-Saint-Marys,0,9,"Norfolk, VA / Marty L. Miller Field",2026,WN2026
03/01/2026,Norfolk State,Mount Saint Mary's,7,24,0,0,L,Norfolk State,Norfolk-State,Mount-Saint-Marys,0,9,"Norfolk, VA / Marty L. Miller Field",2026,WN2026
03/07/2026,Long Island,Norfolk State,15,4,0,0,L,Norfolk State,Norfolk-State,Long-Island,1,7,"Brooklyn, NY / Long Island University Field",2026,WN2026
03/07/2026,Long Island,Norfolk State,7,5,0,0,L,Norfolk State,Norfolk-State,Long-Island,1,9,"Brooklyn, NY / Long Island University Field",2026,WN2026
03/08/2026,Long Island,Norfolk State,7,4,0,0,L,Norfolk State,Norfolk-State,Long-Island,1,9,"Brooklyn, NY / Long Island University Field",2026,WN2026
