Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,North Carolina A&T,Northern Illinois,2,10,0,0,L,North Carolina A&T,North-Carolina-AT,Northern-Illinois,0,9,"Greensboro, NC / World War Memorial Stadium",2026,WN2026
02/14/2026,North Carolina A&T,Northern Illinois,10,3,0,0,W,North Carolina A&T,North-Carolina-AT,Northern-Illinois,0,9,"Greensboro, NC / World War Memorial Stadium",2026,WN2026
02/16/2026,North Carolina A&T,Northern Illinois,5,6,0,0,L,North Carolina A&T,North-Carolina-AT,Northern-Illinois,0,9,"Greensboro, NC / World War Memorial Stadium",2026,WN2026
02/18/2026,UNCG,North Carolina A&T,4,3,0,0,L,North Carolina A&T,North-Carolina-AT,UNCG,1,9,"Greensboro, NC / UNCG Baseball Stadium",2026,WN2026
02/20/2026,Appalachian State,North Carolina A&T,9,3,0,0,L,North Carolina A&T,North-Carolina-AT,Appalachian-State,1,9,"Boone, NC / Beaver Field at Jim and Bettie Smith Stadium",2026,WN2026
02/21/2026,Appalachian State,North Carolina A&T,10,0,0,0,L,North Carolina A&T,North-Carolina-AT,Appalachian-State,1,7,"Hickory, NC / L.P. Frans Stadium",2026,WN2026
02/22/2026,Queens,North Carolina A&T,3,6,0,0,W,North Carolina A&T,North-Carolina-AT,Queens,1,9,"Charlotte, NC / Tuckaseegee Dream Fields",2026,WN2026
02/24/2026,North Carolina,North Carolina A&T,9,1,0,0,L,North Carolina A&T,North-Carolina-AT,North-Carolina,1,9,"Chapel Hill, NC / Boshamer Stadium",2026,WN2026
02/28/2026,North Carolina A&T,Akron,12,14,0,0,L,North Carolina A&T,North-Carolina-AT,Akron,0,9,"Greensboro, NC / World War Memorial Stadium",2026,WN2026
02/28/2026,North Carolina A&T,Akron,4,6,0,0,L,North Carolina A&T,North-Carolina-AT,Akron,0,9,"Greensboro, NC / World War Memorial Stadium",2026,WN2026
03/01/2026,North Carolina A&T,Akron,4,5,0,0,L,North Carolina A&T,North-Carolina-AT,Akron,0,9,"Greensboro, NC / World War Memorial Stadium",2026,WN2026
03/03/2026,UNCG,North Carolina A&T,13,1,0,1,L,North Carolina A&T,North-Carolina-AT,UNCG,0,8,"Greensboro, NC / First National Bank Field",2026,WN2026
03/06/2026,Elon,North Carolina A&T,1,2,0,0,W,North Carolina A&T,North-Carolina-AT,Elon,1,9,"Elon, NC / Walter C. Latham Park",2026,WN2026
03/07/2026,Elon,North Carolina A&T,8,3,0,0,L,North Carolina A&T,North-Carolina-AT,Elon,1,9,"Elon, NC / Walter C. Latham Park",2026,WN2026
03/08/2026,Elon,North Carolina A&T,11,8,0,0,L,North Carolina A&T,North-Carolina-AT,Elon,1,9,"Elon, NC / Walter C. Latham Park",2026,WN2026
03/11/2026,North Carolina A&T,UNCG,7,9,0,0,L,North Carolina A&T,North-Carolina-AT,UNCG,0,9,"Greensboro, NC / World War Memorial Stadium",2026,WN2026
03/13/2026,North Carolina A&T,Campbell,11,21,0,0,L,North Carolina A&T,North-Carolina-AT,Campbell,0,8,"Greensboro, NC / World War Memorial Stadium",2026,WN2026
03/14/2026,North Carolina A&T,Campbell,0,10,0,0,L,North Carolina A&T,North-Carolina-AT,Campbell,0,7,"Greensboro, NC / World War Memorial Stadium",2026,WN2026
03/15/2026,North Carolina A&T,Campbell,7,4,0,0,W,North Carolina A&T,North-Carolina-AT,Campbell,0,9,"Greensboro, NC / World War Memorial Stadium",2026,WN2026
03/20/2026,William & Mary,North Carolina A&T,9,5,0,0,L,North Carolina A&T,North-Carolina-AT,William-Mary,1,9,"Williamsburg, VA / Plumeri Park",2026,WN2026
03/21/2026,William & Mary,North Carolina A&T,6,5,0,0,L,North Carolina A&T,North-Carolina-AT,William-Mary,1,9,"Williamsburg, VA / Plumeri Park",2026,WN2026
03/22/2026,William & Mary,North Carolina A&T,11,10,0,0,L,North Carolina A&T,North-Carolina-AT,William-Mary,1,9,"Williamsburg, VA / Plumeri Park",2026,WN2026
03/24/2026,Gardner-Webb,North Carolina A&T,6,10,0,0,W,North Carolina A&T,North-Carolina-AT,Gardner-Webb,1,9,"Boiling Springs, NC / John Henry Moss Stadium",2026,WN2026
03/27/2026,North Carolina A&T,Georgetown,6,17,0,0,L,North Carolina A&T,North-Carolina-AT,Georgetown,0,8,"Greensboro, NC / World War Memorial Stadium",2026,WN2026
03/28/2026,North Carolina A&T,Georgetown,13,8,0,0,W,North Carolina A&T,North-Carolina-AT,Georgetown,0,9,"Greensboro, NC / World War Memorial Stadium",2026,WN2026
03/29/2026,North Carolina A&T,Georgetown,3,2,0,0,W,North Carolina A&T,North-Carolina-AT,Georgetown,0,9,"Greensboro, NC / World War Memorial Stadium",2026,WN2026
03/31/2026,North Carolina A&T,Gardner-Webb,16,6,0,0,W,North Carolina A&T,North-Carolina-AT,Gardner-Webb,0,7,"Greensboro, NC / World War Memorial Stadium",2026,WN2026
04/03/2026,North Carolina A&T,Elon,3,10,0,0,L,North Carolina A&T,North-Carolina-AT,Elon,0,9,"Greensboro, NC / World War Memorial Stadium",2026,WN2026
04/04/2026,North Carolina A&T,Elon,3,11,0,0,L,North Carolina A&T,North-Carolina-AT,Elon,0,9,"Greensboro, NC / World War Memorial Stadium",2026,WN2026
04/04/2026,North Carolina A&T,Elon,6,5,0,0,W,North Carolina A&T,North-Carolina-AT,Elon,0,9,"Greensboro, NC / World War Memorial Stadium",2026,WN2026
04/07/2026,High Point,North Carolina A&T,3,2,0,1,L,North Carolina A&T,North-Carolina-AT,High-Point,0,9,"High Point, NC / Truist Point",2026,WN2026
04/10/2026,Charleston,North Carolina A&T,6,5,0,0,L,North Carolina A&T,North-Carolina-AT,Charleston,1,9,"Mount Pleasant, SC / CofC Baseball Stadium at Patriot's Point",2026,WN2026
04/11/2026,Charleston,North Carolina A&T,6,4,0,0,L,North Carolina A&T,North-Carolina-AT,Charleston,1,9,"Mount Pleasant, SC / CofC Baseball Stadium at Patriot's Point",2026,WN2026
04/12/2026,Charleston,North Carolina A&T,10,5,0,0,L,North Carolina A&T,North-Carolina-AT,Charleston,1,9,"Mount Pleasant, SC / CofC Baseball Stadium at Patriot's Point",2026,WN2026
04/14/2026,High Point,North Carolina A&T,4,10,0,1,W,North Carolina A&T,North-Carolina-AT,High-Point,0,9,"High Point, NC / Truist Point Stadium",2026,WN2026
04/17/2026,North Carolina A&T,Northeastern,0,15,0,0,L,North Carolina A&T,North-Carolina-AT,Northeastern,0,7,"Greensboro, NC / World War Memorial Stadium",2026,WN2026
04/18/2026,North Carolina A&T,Northeastern,5,12,0,0,L,North Carolina A&T,North-Carolina-AT,Northeastern,0,9,"Greensboro, NC / World War Memorial Stadium",2026,WN2026
04/19/2026,North Carolina A&T,Northeastern,4,15,0,0,L,North Carolina A&T,North-Carolina-AT,Northeastern,0,9,"Greensboro, NC / World War Memorial Stadium",2026,WN2026
04/21/2026,North Carolina A&T,UNC Asheville,4,1,0,0,W,North Carolina A&T,North-Carolina-AT,UNC-Asheville,0,9,"Greensboro, NC / World War Memorial Stadium",2026,WN2026
04/24/2026,North Carolina A&T,William & Mary,5,14,0,0,L,North Carolina A&T,North-Carolina-AT,William-Mary,0,9,"Greensboro, NC / World War Memorial Stadium",2026,WN2026
04/26/2026,North Carolina A&T,William & Mary,7,21,0,0,L,North Carolina A&T,North-Carolina-AT,William-Mary,0,8,"Greensboro, NC / World War Memorial Stadium",2026,WN2026
04/26/2026,North Carolina A&T,William & Mary,0,9,0,0,L,North Carolina A&T,North-Carolina-AT,William-Mary,0,9,"Greensboro, NC / World War Memorial Stadium",2026,WN2026
04/28/2026,Winthrop,North Carolina A&T,3,9,0,0,W,North Carolina A&T,North-Carolina-AT,Winthrop,1,9,"Rock Hill, SC / Winthrop Ballpark",2026,WN2026
05/01/2026,Campbell,North Carolina A&T,11,1,0,0,L,North Carolina A&T,North-Carolina-AT,Campbell,1,8,"Buies Creek, NC / Jim Perry Stadium",2026,WN2026
05/02/2026,Campbell,North Carolina A&T,8,0,0,0,L,North Carolina A&T,North-Carolina-AT,Campbell,1,9,"Buies Creek, NC / Jim Perry Stadium",2026,WN2026
05/03/2026,Campbell,North Carolina A&T,8,2,0,0,L,North Carolina A&T,North-Carolina-AT,Campbell,1,9,"Buies Creek, NC / Jim Perry Stadium",2026,WN2026
05/08/2026,North Carolina A&T,UNCW,2,18,0,0,L,North Carolina A&T,North-Carolina-AT,UNCW,0,7,"Greensboro, NC / World War Memorial Stadium / Box Score",2026,WN2026
