Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Grand Canyon,Northeastern,10,0,0,0,L,Northeastern,Northeastern,Grand-Canyon,1,7,"Phoenix, AZ / Brazell Field at GCU Ballpark",2026,WN2026
02/14/2026,Nebraska,Northeastern,7,4,0,1,L,Northeastern,Northeastern,Nebraska,0,9,"Phoenix, AZ",2026,WN2026
02/15/2026,Iowa,Northeastern,21,13,0,1,L,Northeastern,Northeastern,Iowa,0,9,"Scottsdale, AZ",2026,WN2026
02/21/2026,Minnesota,Northeastern,12,2,0,1,L,Northeastern,Northeastern,Minnesota,0,7,"Fort Myers, FL / Terry Park",2026,WN2026
02/22/2026,Minnesota,Northeastern,15,5,0,1,L,Northeastern,Northeastern,Minnesota,0,7,"Fort Myers, FL / Terry Park",2026,WN2026
02/27/2026,Grambling State,Northeastern,1,4,0,1,W,Northeastern,Northeastern,Grambling-State,0,9,"Baton Rouge, LA / Alex Box Stadium",2026,WN2026
02/28/2026,LSU,Northeastern,3,1,0,0,L,Northeastern,Northeastern,LSU,1,9,"Baton Rouge, LA / Alex Box Stadium",2026,WN2026
03/01/2026,Grambling State,Northeastern,0,10,0,1,W,Northeastern,Northeastern,Grambling-State,0,9,"Baton Rouge, LA / Alex Box Stadium",2026,WN2026
03/02/2026,LSU,Northeastern,10,13,0,0,W,Northeastern,Northeastern,LSU,1,9,"Baton Rouge, LA / Alex Box Stadium",2026,WN2026
03/06/2026,Stony Brook,Northeastern,0,4,0,0,W,Northeastern,Northeastern,Stony-Brook,1,9,"Stony Brook, NY / Joe Nathan Field",2026,WN2026
03/08/2026,Stony Brook,Northeastern,3,4,0,0,W,Northeastern,Northeastern,Stony-Brook,1,13,"Stony Brook, NY / Joe Nathan Field",2026,WN2026
03/08/2026,Stony Brook,Northeastern,7,6,0,0,L,Northeastern,Northeastern,Stony-Brook,1,9,"Stony Brook, NY / Joe Nathan Field",2026,WN2026
03/11/2026,Central Connecticut,Northeastern,10,18,0,0,W,Northeastern,Northeastern,Central-Connecticut,1,9,"New Britain, CT / Balf-Savin Field",2026,WN2026
03/13/2026,Northeastern,Towson,6,3,0,0,W,Northeastern,Northeastern,Towson,0,9,"Brookline, MA / Friedman Diamond",2026,WN2026
03/14/2026,Northeastern,Towson,3,1,0,0,W,Northeastern,Northeastern,Towson,0,9,"Brookline, MA / Friedman Diamond",2026,WN2026
