Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Wichita State,Northern Colorado,11,4,0,0,L,Northern Colorado,Northern-Colorado,Wichita-State,1,9,"Wichita, KS / Gene Stephenson Park",2026,WN2026
02/14/2026,Wichita State,Northern Colorado,14,1,0,0,L,Northern Colorado,Northern-Colorado,Wichita-State,1,7,"Wichita, KS / Gene Stephenson Park",2026,WN2026
02/15/2026,Wichita State,Northern Colorado,11,0,0,0,L,Northern Colorado,Northern-Colorado,Wichita-State,1,7,"Wichita, KS / Gene Stephenson Park",2026,WN2026
02/15/2026,Wichita State,Northern Colorado,7,3,0,0,L,Northern Colorado,Northern-Colorado,Wichita-State,1,7,"Wichita, KS / Gene Stephenson Park",2026,WN2026
02/20/2026,New Mexico,Northern Colorado,16,5,0,0,L,Northern Colorado,Northern-Colorado,New-Mexico,1,7,"Albuquerque, NM / Santa Ana Star Field",2026,WN2026
02/21/2026,New Mexico,Northern Colorado,5,0,0,0,L,Northern Colorado,Northern-Colorado,New-Mexico,1,9,"Albuquerque, NM / Santa Ana Star Field",2026,WN2026
02/21/2026,New Mexico,Northern Colorado,6,5,0,0,L,Northern Colorado,Northern-Colorado,New-Mexico,1,9,"Albuquerque, NM / Santa Ana Star Field",2026,WN2026
02/22/2026,New Mexico,Northern Colorado,12,11,0,0,L,Northern Colorado,Northern-Colorado,New-Mexico,1,10,"Albuquerque, NM / Santa Ana Star Field",2026,WN2026
02/27/2026,Utah Tech,Northern Colorado,11,8,0,0,L,Northern Colorado,Northern-Colorado,Utah-Tech,1,9,"Saint George, UT / Bruce Hurst Field",2026,WN2026
02/28/2026,Utah Tech,Northern Colorado,6,5,0,0,L,Northern Colorado,Northern-Colorado,Utah-Tech,1,7,"Saint George, UT / Bruce Hurst Field",2026,WN2026
02/28/2026,Utah Tech,Northern Colorado,11,5,0,0,L,Northern Colorado,Northern-Colorado,Utah-Tech,1,9,"Saint George, UT / Bruce Hurst Field",2026,WN2026
03/01/2026,Utah Tech,Northern Colorado,6,4,0,0,L,Northern Colorado,Northern-Colorado,Utah-Tech,1,9,"Saint George, UT / Bruce Hurst Field",2026,WN2026
03/03/2026,UNLV,Northern Colorado,11,1,0,0,L,Northern Colorado,Northern-Colorado,UNLV,1,7,"Paradise, NV / Earl Wilson Stadium",2026,WN2026
03/04/2026,UNLV,Northern Colorado,7,9,0,0,W,Northern Colorado,Northern-Colorado,UNLV,1,10,"Paradise, NV / Earl Wilson Stadium",2026,WN2026
03/06/2026,Utah Valley,Northern Colorado,11,6,0,0,L,Northern Colorado,Northern-Colorado,Utah-Valley,1,9,"Orem, UT / UCCU Ballpark",2026,WN2026
03/07/2026,Utah Valley,Northern Colorado,3,14,0,0,W,Northern Colorado,Northern-Colorado,Utah-Valley,1,7,"Orem, UT / UCCU Ballpark",2026,WN2026
03/07/2026,Utah Valley,Northern Colorado,12,1,0,0,L,Northern Colorado,Northern-Colorado,Utah-Valley,1,7,"Orem, UT / UCCU Ballpark",2026,WN2026
03/08/2026,Utah Valley,Northern Colorado,14,4,0,0,L,Northern Colorado,Northern-Colorado,Utah-Valley,1,7,"Orem, UT / UCCU Ballpark",2026,WN2026
03/09/2026,Utah Valley,Northern Colorado,5,1,0,0,L,Northern Colorado,Northern-Colorado,Utah-Valley,1,9,"Orem, UT / UCCU Ballpark",2026,WN2026
03/14/2026,Northern Colorado,Saint Thomas,5,8,0,0,L,Northern Colorado,Northern-Colorado,Saint-Thomas,0,9,"Greeley, CO / Jackson Field",2026,WN2026
03/14/2026,Northern Colorado,Saint Thomas,9,4,0,0,W,Northern Colorado,Northern-Colorado,Saint-Thomas,0,9,"Greeley, CO / Jackson Field",2026,WN2026
