Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/14/2026,Lamar,Oakland,8,2,0,0,L,Oakland,Oakland,Lamar,1,9,"Beaumont, TX / Vincent-Beck Stadium",2026,WN2026
02/14/2026,Lamar,Oakland,9,7,0,0,L,Oakland,Oakland,Lamar,1,9,"Beaumont, TX / Vincent-Beck Stadium",2026,WN2026
02/15/2026,Lamar,Oakland,2,3,0,0,W,Oakland,Oakland,Lamar,1,10,"Beaumont, TX / Vincent-Beck Stadium",2026,WN2026
02/19/2026,Southern Indiana,Oakland,18,9,0,0,L,Oakland,Oakland,Southern-Indiana,1,9,"Evansville, IN / USI Baseball Field",2026,WN2026
02/20/2026,Southern Indiana,Oakland,10,7,0,0,L,Oakland,Oakland,Southern-Indiana,1,9,"Evansville, IN / USI Baseball Field",2026,WN2026
02/20/2026,Southern Indiana,Oakland,14,4,0,0,L,Oakland,Oakland,Southern-Indiana,1,7,"Evansville, IN / USI Baseball Field",2026,WN2026
02/21/2026,Southern Indiana,Oakland,7,6,0,0,L,Oakland,Oakland,Southern-Indiana,1,9,"Evansville, IN / USI Baseball Field",2026,WN2026
02/27/2026,Georgia,Oakland,16,6,0,0,L,Oakland,Oakland,Georgia,1,7,"Athens, GA / Foley Field",2026,WN2026
02/28/2026,Georgia,Oakland,17,0,0,0,L,Oakland,Oakland,Georgia,1,7,"Athens, GA / Foley Field",2026,WN2026
02/28/2026,Georgia,Oakland,11,0,0,0,L,Oakland,Oakland,Georgia,1,7,"Athens, GA / Foley Field",2026,WN2026
03/01/2026,Georgia,Oakland,4,3,0,0,L,Oakland,Oakland,Georgia,1,9,"Athens, GA / Foley Field",2026,WN2026
03/04/2026,Tennessee,Oakland,11,2,0,0,L,Oakland,Oakland,Tennessee,1,9,"Knoxville, TN / Lindsey Nelson Stadium",2026,WN2026
