Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Murray State,Ohio,13,4,0,1,L,Ohio,Ohio,Murray-State,0,9,"Carbondale, IL / Itchy Jones Stadium",2026,WN2026
02/15/2026,Murray State,Ohio,11,8,0,1,L,Ohio,Ohio,Murray-State,0,9,"Carbondale, IL / Itchy Jones Stadium",2026,WN2026
02/15/2026,Murray State,Ohio,13,15,0,1,W,Ohio,Ohio,Murray-State,0,9,"Carbondale, IL / Itchy Jones Stadium",2026,WN2026
02/20/2026,Tennessee Tech,Ohio,8,3,0,0,L,Ohio,Ohio,Tennessee-Tech,1,9,"Cookeville, TN / Bush Stadium at Averitt Express Baseball Complex",2026,WN2026
02/21/2026,Tennessee Tech,Ohio,6,4,0,0,L,Ohio,Ohio,Tennessee-Tech,1,9,"Cookeville, TN / Bush Stadium at Averitt Express Baseball Complex",2026,WN2026
02/21/2026,Tennessee Tech,Ohio,6,1,0,0,L,Ohio,Ohio,Tennessee-Tech,1,9,"Cookeville, TN / Bush Stadium at Averitt Express Baseball Complex",2026,WN2026
02/22/2026,Tennessee Tech,Ohio,6,3,0,0,L,Ohio,Ohio,Tennessee-Tech,1,9,"Cookeville, TN / Bush Stadium at Averitt Express Baseball Complex",2026,WN2026
02/25/2026,West Virginia,Ohio,19,6,0,0,L,Ohio,Ohio,West-Virginia,1,9,"Granville, WV / Monongalia County Ballpark",2026,WN2026
02/27/2026,Ohio,Dayton,4,7,0,0,L,Ohio,Ohio,Dayton,0,9,"Athens, OH / Bob Wren Stadium",2026,WN2026
02/28/2026,Ohio,Dayton,4,7,0,0,L,Ohio,Ohio,Dayton,0,9,"Athens, OH / Bob Wren Stadium",2026,WN2026
03/01/2026,Dayton,Ohio,5,12,0,0,W,Ohio,Ohio,Dayton,1,9,"Dayton, OH / Woerner Field",2026,WN2026
03/01/2026,Dayton,Ohio,9,6,0,0,L,Ohio,Ohio,Dayton,1,8,"Dayton, OH / Woerner Field",2026,WN2026
03/04/2026,Pittsburgh,Ohio,16,2,0,0,L,Ohio,Ohio,Pittsburgh,1,7,"Pittsburgh, PA / Charles L. Cost Field",2026,WN2026
03/06/2026,Ohio,Northern Illinois,14,7,0,0,W,Ohio,Ohio,Northern-Illinois,0,9,"Athens, OH / Bob Wren Stadium",2026,WN2026
03/07/2026,Ohio,Northern Illinois,1,13,0,0,L,Ohio,Ohio,Northern-Illinois,0,9,"Athens, OH / Bob Wren Stadium",2026,WN2026
03/08/2026,Ohio,Northern Illinois,2,8,0,0,L,Ohio,Ohio,Northern-Illinois,0,9,"Athens, OH / Bob Wren Stadium",2026,WN2026
03/10/2026,Austin Peay,Ohio,18,5,0,0,L,Ohio,Ohio,Austin-Peay,1,7,"Clarksville, TN / Raymond C. Hand Park",2026,WN2026
03/10/2026,Austin Peay,Ohio,15,6,0,0,L,Ohio,Ohio,Austin-Peay,1,9,"Clarksville, TN / Raymond C. Hand Park",2026,WN2026
03/13/2026,Ohio,Western Michigan,12,20,0,0,L,Ohio,Ohio,Western-Michigan,0,9,"Athens, OH / Bob Wren Stadium",2026,WN2026
03/14/2026,Ohio,Western Michigan,3,6,0,0,L,Ohio,Ohio,Western-Michigan,0,9,"Athens, OH / Bob Wren Stadium",2026,WN2026
03/15/2026,Ohio,Western Michigan,7,16,0,0,L,Ohio,Ohio,Western-Michigan,0,9,"Athens, OH / Bob Wren Stadium",2026,WN2026
03/20/2026,Bowling Green,Ohio,7,0,0,0,L,Ohio,Ohio,Bowling-Green,1,9,"Bowling Green, OH / Steller Field",2026,WN2026
03/21/2026,Bowling Green,Ohio,5,8,0,0,W,Ohio,Ohio,Bowling-Green,1,9,"Bowling Green, OH / Steller Field",2026,WN2026
03/22/2026,Bowling Green,Ohio,3,7,0,0,W,Ohio,Ohio,Bowling-Green,1,9,"Bowling Green, OH / Steller Field",2026,WN2026
03/27/2026,Ball State,Ohio,10,0,0,0,L,Ohio,Ohio,Ball-State,1,7,"Muncie, IN / Ball Diamond",2026,WN2026
03/28/2026,Ball State,Ohio,14,7,0,0,L,Ohio,Ohio,Ball-State,1,9,"Muncie, IN / Ball Diamond",2026,WN2026
03/29/2026,Ball State,Ohio,17,7,0,0,L,Ohio,Ohio,Ball-State,1,7,"Muncie, IN / Ball Diamond",2026,WN2026
03/31/2026,Marshall,Ohio,3,5,0,0,W,Ohio,Ohio,Marshall,1,9,"Huntington, WV / Jack Cook Field",2026,WN2026
04/02/2026,Ohio,Kent State,5,11,0,0,L,Ohio,Ohio,Kent-State,0,9,"Athens, OH / Bob Wren Stadium",2026,WN2026
04/03/2026,Ohio,Kent State,1,15,0,0,L,Ohio,Ohio,Kent-State,0,8,"Athens, OH / Bob Wren Stadium",2026,WN2026
04/04/2026,Ohio,Kent State,2,16,0,0,L,Ohio,Ohio,Kent-State,0,9,"Athens, OH / Bob Wren Stadium",2026,WN2026
04/07/2026,Morehead State,Ohio,10,2,0,0,L,Ohio,Ohio,Morehead-State,1,9,"Athens, OH / Bob Wren Stadium",2026,WN2026
04/10/2026,Miami (OH),Ohio,6,7,0,0,W,Ohio,Ohio,Miami-OH,1,9,"Oxford, OH / Stanley G. McKie Field at Joseph P. Hayden Jr. Park",2026,WN2026
04/11/2026,Miami (OH),Ohio,15,5,0,0,L,Ohio,Ohio,Miami-OH,1,7,"Oxford, OH / Stanley G. McKie Field at Joseph P. Hayden Jr. Park",2026,WN2026
04/12/2026,Miami (OH),Ohio,17,6,0,0,L,Ohio,Ohio,Miami-OH,1,7,"Oxford, OH / Stanley G. McKie Field at Joseph P. Hayden Jr. Park",2026,WN2026
04/14/2026,Northern Kentucky,Ohio,11,8,0,0,L,Ohio,Ohio,Northern-Kentucky,1,9,"Highland Heights, KY / Bill Aker Baseball Complex",2026,WN2026
04/17/2026,Central Michigan,Ohio,15,5,0,0,L,Ohio,Ohio,Central-Michigan,1,7,"Mount Pleasant, MI / Bill Theunissen Stadium",2026,WN2026
04/17/2026,Central Michigan,Ohio,4,3,0,0,L,Ohio,Ohio,Central-Michigan,1,10,"Mount Pleasant, MI / Bill Theunissen Stadium",2026,WN2026
04/18/2026,Central Michigan,Ohio,6,16,0,0,W,Ohio,Ohio,Central-Michigan,1,8,"Mount Pleasant, MI / Bill Theunissen Stadium",2026,WN2026
04/21/2026,Ohio,Northern Kentucky,4,7,0,0,L,Ohio,Ohio,Northern-Kentucky,0,9,"Athens, OH / Bob Wren Stadium",2026,WN2026
04/24/2026,Ohio,Akron,7,21,0,0,L,Ohio,Ohio,Akron,0,8,"Athens, OH / Bob Wren Stadium",2026,WN2026
04/25/2026,Ohio,Akron,6,9,0,0,L,Ohio,Ohio,Akron,0,9,"Athens, OH / Bob Wren Stadium",2026,WN2026
04/26/2026,Ohio,Akron,8,9,0,0,L,Ohio,Ohio,Akron,0,9,"Athens, OH / Bob Wren Stadium",2026,WN2026
04/29/2026,Ohio,Marshall,2,5,0,0,L,Ohio,Ohio,Marshall,0,9,"Athens, OH / Bob Wren Stadium",2026,WN2026
05/01/2026,UMass,Ohio,3,5,0,0,W,Ohio,Ohio,UMass,1,9,"Amherst, MA / Earl Lorden Field",2026,WN2026
05/02/2026,UMass,Ohio,9,3,0,0,L,Ohio,Ohio,UMass,1,9,"Amherst, MA / Earl Lorden Field",2026,WN2026
05/03/2026,UMass,Ohio,1,0,0,0,L,Ohio,Ohio,UMass,1,9,"Amherst, MA / Earl Lorden Field",2026,WN2026
05/06/2026,Ohio,Morehead State,1,5,0,0,L,Ohio,Ohio,Morehead-State,0,9,"Athens, OH / Bob Wren Stadium",2026,WN2026
05/08/2026,Ohio,Toledo,4,3,0,0,W,Ohio,Ohio,Toledo,0,10,"Athens, OH / Bob Wren Stadium / Box Score",2026,WN2026
05/09/2026,Ohio,Toledo,5,7,0,0,L,Ohio,Ohio,Toledo,0,9,"Athens, OH / Bob Wren Stadium / Box Score",2026,WN2026
05/10/2026,Ohio,Toledo,3,8,0,0,L,Ohio,Ohio,Toledo,0,9,"Athens, OH / Bob Wren Stadium / Box Score",2026,WN2026
05/14/2026,Eastern Michigan,Ohio,4,0,0,0,L,Ohio,Ohio,Eastern-Michigan,1,9,"Ypsilanti, MI / Oestrike Stadium / Box Score",2026,WN2026
05/15/2026,Eastern Michigan,Ohio,9,4,0,0,L,Ohio,Ohio,Eastern-Michigan,1,9,"Ypsilanti, MI / Oestrike Stadium / Box Score",2026,WN2026
05/16/2026,Eastern Michigan,Ohio,7,15,0,0,W,Ohio,Ohio,Eastern-Michigan,1,9,"Ypsilanti, MI / Oestrike Stadium / Box Score",2026,WN2026
