Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Old Dominion,Quinnipiac,15,5,0,0,W,Old Dominion,Old-Dominion,Quinnipiac,0,9,"Norfolk, VA / Bud Metheny Baseball Complex",2026,WN2026
02/14/2026,Old Dominion,Quinnipiac,15,5,0,0,W,Old Dominion,Old-Dominion,Quinnipiac,0,7,"Norfolk, VA / Bud Metheny Baseball Complex",2026,WN2026
02/14/2026,Old Dominion,Quinnipiac,5,6,0,0,L,Old Dominion,Old-Dominion,Quinnipiac,0,10,"Norfolk, VA / Bud Metheny Baseball Complex",2026,WN2026
02/18/2026,Old Dominion,Manhattan,7,10,0,0,L,Old Dominion,Old-Dominion,Manhattan,0,9,"Norfolk, VA / Bud Metheny Baseball Complex",2026,WN2026
02/20/2026,Old Dominion,Niagara,5,4,0,0,W,Old Dominion,Old-Dominion,Niagara,0,9,"Norfolk, VA / Bud Metheny Baseball Complex",2026,WN2026
02/21/2026,Old Dominion,Niagara,8,5,0,0,W,Old Dominion,Old-Dominion,Niagara,0,9,"Norfolk, VA / Bud Metheny Baseball Complex",2026,WN2026
02/21/2026,Old Dominion,Niagara,5,4,0,0,W,Old Dominion,Old-Dominion,Niagara,0,9,"Norfolk, VA / Bud Metheny Baseball Complex",2026,WN2026
02/25/2026,Norfolk State,Old Dominion,0,15,0,0,W,Old Dominion,Old-Dominion,Norfolk-State,1,7,"Norfolk, VA / Marty L. Miller Field",2026,WN2026
02/28/2026,Old Dominion,Charlotte,0,13,0,0,L,Old Dominion,Old-Dominion,Charlotte,0,8,"Norfolk, VA / Bud Metheny Baseball Complex",2026,WN2026
03/01/2026,Old Dominion,Charlotte,6,7,0,0,L,Old Dominion,Old-Dominion,Charlotte,0,9,"Norfolk, VA / Bud Metheny Baseball Complex",2026,WN2026
03/04/2026,VCU,Old Dominion,10,12,0,0,W,Old Dominion,Old-Dominion,VCU,1,9,"Richmond, VA / The Diamond",2026,WN2026
03/06/2026,Old Dominion,Connecticut,2,4,0,0,L,Old Dominion,Old-Dominion,Connecticut,0,9,"Norfolk, VA / Bud Metheny Baseball Complex",2026,WN2026
03/07/2026,Old Dominion,Connecticut,3,14,0,0,L,Old Dominion,Old-Dominion,Connecticut,0,9,"Norfolk, VA / Bud Metheny Baseball Complex",2026,WN2026
03/08/2026,Old Dominion,Connecticut,6,5,0,0,W,Old Dominion,Old-Dominion,Connecticut,0,9,"Norfolk, VA / Bud Metheny Baseball Complex",2026,WN2026
03/10/2026,East Carolina,Old Dominion,11,0,0,0,L,Old Dominion,Old-Dominion,East-Carolina,1,7,"Greenville, NC / Clark-LeClair Stadium",2026,WN2026
03/13/2026,Troy,Old Dominion,8,10,0,0,W,Old Dominion,Old-Dominion,Troy,1,9,"Troy, AL / Riddle-Pace Field",2026,WN2026
03/14/2026,Troy,Old Dominion,13,4,0,0,L,Old Dominion,Old-Dominion,Troy,1,9,"Troy, AL / Riddle-Pace Field",2026,WN2026
03/15/2026,Troy,Old Dominion,9,4,0,0,L,Old Dominion,Old-Dominion,Troy,1,9,"Troy, AL / Riddle-Pace Field",2026,WN2026
03/18/2026,Old Dominion,Norfolk State,16,4,0,0,W,Old Dominion,Old-Dominion,Norfolk-State,0,7,"Norfolk, VA / Bud Metheny Baseball Complex",2026,WN2026
03/20/2026,Old Dominion,Appalachian State,13,7,0,0,W,Old Dominion,Old-Dominion,Appalachian-State,0,9,"Norfolk, VA / Bud Metheny Baseball Complex",2026,WN2026
