Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Oregon,George Mason,6,2,0,0,W,Oregon,Oregon,George-Mason,0,9,"Eugene, OR / PK Park",2026,WN2026
02/14/2026,Oregon,George Mason,14,5,0,0,W,Oregon,Oregon,George-Mason,0,9,"Eugene, OR / PK Park",2026,WN2026
02/14/2026,Oregon,George Mason,14,4,0,0,W,Oregon,Oregon,George-Mason,0,9,"Eugene, OR / PK Park",2026,WN2026
02/15/2026,Oregon,George Mason,11,1,0,0,W,Oregon,Oregon,George-Mason,0,9,"Eugene, OR / PK Park",2026,WN2026
02/19/2026,Oregon,Youngstown State,18,1,0,0,W,Oregon,Oregon,Youngstown-State,0,9,"Eugene, OR / PK Park",2026,WN2026
02/20/2026,Oregon,Youngstown State,3,0,0,0,W,Oregon,Oregon,Youngstown-State,0,9,"Eugene, OR / PK Park",2026,WN2026
02/21/2026,Oregon,Youngstown State,7,0,0,0,W,Oregon,Oregon,Youngstown-State,0,9,"Eugene, OR / PK Park",2026,WN2026
02/22/2026,Oregon,Youngstown State,15,6,0,0,W,Oregon,Oregon,Youngstown-State,0,9,"Eugene, OR / PK Park",2026,WN2026
02/27/2026,Arizona,Oregon,2,7,0,1,W,Oregon,Oregon,Arizona,0,9,"Las Vegas, NV / Las Vegas Ballpark",2026,WN2026
02/28/2026,UC Irvine,Oregon,8,6,0,1,L,Oregon,Oregon,UC-Irvine,0,9,"Las Vegas, NV / Las Vegas Ballpark",2026,WN2026
03/01/2026,Vanderbilt,Oregon,4,6,0,1,W,Oregon,Oregon,Vanderbilt,0,9,"Las Vegas, NV / Las Vegas Ballpark",2026,WN2026
03/03/2026,Oregon,Oregon State,6,10,0,0,L,Oregon,Oregon,Oregon-State,0,9,"Eugene, OR / PK Park",2026,WN2026
03/06/2026,Purdue,Oregon,7,8,0,0,W,Oregon,Oregon,Purdue,1,9,"West Lafayette, IN / Alexander Field",2026,WN2026
03/07/2026,Purdue,Oregon,2,1,0,0,L,Oregon,Oregon,Purdue,1,9,"West Lafayette, IN / Alexander Field",2026,WN2026
03/08/2026,Purdue,Oregon,4,15,0,0,W,Oregon,Oregon,Purdue,1,8,"West Lafayette, IN / Alexander Field",2026,WN2026
03/10/2026,Oregon,Xavier,10,0,0,0,W,Oregon,Oregon,Xavier,0,8,"Eugene, OR / PK Park",2026,WN2026
03/11/2026,Oregon,Xavier,6,3,0,0,W,Oregon,Oregon,Xavier,0,9,"Eugene, OR / PK Park",2026,WN2026
03/13/2026,Oregon,Indiana,3,2,0,0,W,Oregon,Oregon,Indiana,0,9,"Eugene, OR / PK Park",2026,WN2026
03/14/2026,Oregon,Indiana,5,1,0,0,W,Oregon,Oregon,Indiana,0,9,"Eugene, OR / PK Park",2026,WN2026
03/15/2026,Oregon,Indiana,7,6,0,0,W,Oregon,Oregon,Indiana,0,9,"Eugene, OR / PK Park",2026,WN2026
03/20/2026,Oregon,Northwestern,20,6,0,0,W,Oregon,Oregon,Northwestern,0,7,"Eugene, OR / PK Park",2026,WN2026
03/21/2026,Oregon,Northwestern,6,4,0,0,W,Oregon,Oregon,Northwestern,0,9,"Eugene, OR / PK Park",2026,WN2026
03/22/2026,Oregon,Northwestern,10,11,0,0,L,Oregon,Oregon,Northwestern,0,12,"Eugene, OR / PK Park",2026,WN2026
03/24/2026,UC San Diego,Oregon,0,6,0,0,W,Oregon,Oregon,UC-San-Diego,1,9,"La Jolla, CA / Triton Park",2026,WN2026
03/25/2026,UC San Diego,Oregon,4,12,0,0,W,Oregon,Oregon,UC-San-Diego,1,9,"La Jolla, CA / Triton Park",2026,WN2026
03/27/2026,UC Santa Barbara,Oregon,0,4,0,0,W,Oregon,Oregon,UC-Santa-Barbara,1,9,"Santa Barbara, CA / Caesar Uyesaka Stadium",2026,WN2026
03/28/2026,UC Santa Barbara,Oregon,8,2,0,0,L,Oregon,Oregon,UC-Santa-Barbara,1,9,"Santa Barbara, CA / Caesar Uyesaka Stadium",2026,WN2026
03/29/2026,UC Santa Barbara,Oregon,0,2,0,0,W,Oregon,Oregon,UC-Santa-Barbara,1,9,"Santa Barbara, CA / Caesar Uyesaka Stadium",2026,WN2026
03/31/2026,Oregon,Portland,0,3,0,0,L,Oregon,Oregon,Portland,0,9,"Eugene, OR / PK Park",2026,WN2026
