Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Pacific,Utah Valley,2,3,0,0,L,Pacific,Pacific,Utah-Valley,0,11,"Stockton, CA / Klein Family Field",2026,WN2026
02/14/2026,Pacific,Utah Valley,6,9,0,0,L,Pacific,Pacific,Utah-Valley,0,9,"Stockton, CA / Klein Family Field",2026,WN2026
02/14/2026,Pacific,Utah Valley,13,7,0,0,W,Pacific,Pacific,Utah-Valley,0,9,"Stockton, CA / Klein Family Field",2026,WN2026
02/15/2026,Pacific,Utah Valley,3,2,0,0,W,Pacific,Pacific,Utah-Valley,0,10,"Stockton, CA / Klein Family Field",2026,WN2026
02/19/2026,Pacific,Utah Tech,4,3,0,0,W,Pacific,Pacific,Utah-Tech,0,9,"Stockton, CA / Klein Family Field",2026,WN2026
02/20/2026,Pacific,Utah Tech,1,2,0,0,L,Pacific,Pacific,Utah-Tech,0,9,"Stockton, CA / Klein Family Field",2026,WN2026
02/21/2026,Pacific,Utah Tech,5,8,0,0,L,Pacific,Pacific,Utah-Tech,0,9,"Stockton, CA / Klein Family Field",2026,WN2026
02/25/2026,Pacific,Sacramento State,8,7,0,0,W,Pacific,Pacific,Sacramento-State,0,9,"Stockton, CA / Klein Family Field",2026,WN2026
02/27/2026,Grand Canyon,Pacific,5,4,0,0,L,Pacific,Pacific,Grand-Canyon,1,9,"Phoenix, AZ / Brazell Field at GCU Ballpark",2026,WN2026
02/28/2026,Grand Canyon,Pacific,2,3,0,0,W,Pacific,Pacific,Grand-Canyon,1,9,"Phoenix, AZ / Brazell Field at GCU Ballpark",2026,WN2026
03/01/2026,Grand Canyon,Pacific,11,10,0,0,L,Pacific,Pacific,Grand-Canyon,1,9,"Phoenix, AZ / Brazell Field at GCU Ballpark",2026,WN2026
03/03/2026,San Jose State,Pacific,5,11,0,0,W,Pacific,Pacific,San-Jose-State,1,9,"San Jose, CA / Excite Ballpark",2026,WN2026
03/06/2026,Nevada,Pacific,11,7,0,0,L,Pacific,Pacific,Nevada,1,9,"Reno, NV / William Peccole Park",2026,WN2026
03/07/2026,Nevada,Pacific,10,5,0,0,L,Pacific,Pacific,Nevada,1,9,"Reno, NV / William Peccole Park",2026,WN2026
03/08/2026,Nevada,Pacific,12,2,0,0,L,Pacific,Pacific,Nevada,1,8,"Reno, NV / William Peccole Park",2026,WN2026
03/11/2026,Sacramento State,Pacific,10,0,0,0,L,Pacific,Pacific,Sacramento-State,1,7,"Sacramento, CA / John Smith Field",2026,WN2026
03/13/2026,Sacramento State,Pacific,3,5,0,0,W,Pacific,Pacific,Sacramento-State,1,9,"Sacramento, CA / John Smith Field",2026,WN2026
03/14/2026,Pacific,Sacramento State,7,6,0,0,W,Pacific,Pacific,Sacramento-State,0,9,"Stockton, CA / Klein Family Field",2026,WN2026
03/15/2026,Pacific,Sacramento State,6,18,0,0,L,Pacific,Pacific,Sacramento-State,0,7,"Stockton, CA / Klein Family Field",2026,WN2026
03/17/2026,Pacific,Winthrop,2,8,0,0,L,Pacific,Pacific,Winthrop,0,9,"Stockton, CA / Klein Family Field",2026,WN2026
03/20/2026,Pacific,Seattle University,6,4,0,0,W,Pacific,Pacific,Seattle-University,0,9,"Stockton, CA / Klein Family Field",2026,WN2026
03/21/2026,Pacific,Seattle University,2,5,0,0,L,Pacific,Pacific,Seattle-University,0,9,"Stockton, CA / Klein Family Field",2026,WN2026
