Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,USC,Pepperdine,3,1,0,0,L,Pepperdine,Pepperdine,USC,1,9,"Los Angeles, CA / Dedeaux Field",2026,WN2026
02/14/2026,USC,Pepperdine,11,0,0,0,L,Pepperdine,Pepperdine,USC,1,7,"Los Angeles, CA / Dedeaux Field",2026,WN2026
02/15/2026,USC,Pepperdine,8,5,0,0,L,Pepperdine,Pepperdine,USC,1,9,"Los Angeles, CA / Dedeaux Field",2026,WN2026
02/20/2026,Fresno State,Pepperdine,1,2,0,0,W,Pepperdine,Pepperdine,Fresno-State,1,9,"Fresno, CA / Pete Beiden Field at Bob Bennett Stadium",2026,WN2026
02/21/2026,Fresno State,Pepperdine,10,6,0,0,L,Pepperdine,Pepperdine,Fresno-State,1,9,"Fresno, CA / Pete Beiden Field at Bob Bennett Stadium",2026,WN2026
02/22/2026,Fresno State,Pepperdine,11,7,0,0,L,Pepperdine,Pepperdine,Fresno-State,1,9,"Fresno, CA / Pete Beiden Field at Bob Bennett Stadium",2026,WN2026
02/23/2026,Fresno State,Pepperdine,11,3,0,0,L,Pepperdine,Pepperdine,Fresno-State,1,9,"Fresno, CA / Pete Beiden Field at Bob Bennett Stadium",2026,WN2026
02/27/2026,Pepperdine,Yale,1,7,0,0,L,Pepperdine,Pepperdine,Yale,0,9,"Malibu, CA / Eddy D. Field Stadium",2026,WN2026
02/28/2026,Pepperdine,Yale,4,3,0,0,W,Pepperdine,Pepperdine,Yale,0,10,"Malibu, CA / Eddy D. Field Stadium",2026,WN2026
03/01/2026,Pepperdine,Yale,8,10,0,0,L,Pepperdine,Pepperdine,Yale,0,9,"Malibu, CA / Eddy D. Field Stadium",2026,WN2026
03/03/2026,Cal Poly,Pepperdine,12,2,0,0,L,Pepperdine,Pepperdine,Cal-Poly,1,9,"San Luis Obispo, CA / Robin Baggett Stadium",2026,WN2026
03/05/2026,Pepperdine,Michigan,4,17,0,0,L,Pepperdine,Pepperdine,Michigan,0,9,"Malibu, CA / Eddy D. Field Stadium",2026,WN2026
03/06/2026,Pepperdine,Michigan,9,8,0,0,W,Pepperdine,Pepperdine,Michigan,0,9,"Malibu, CA / Eddy D. Field Stadium",2026,WN2026
03/07/2026,Pepperdine,Michigan,2,5,0,0,L,Pepperdine,Pepperdine,Michigan,0,9,"Malibu, CA / Eddy D. Field Stadium",2026,WN2026
03/09/2026,Cal State Northridge,Pepperdine,12,1,0,0,L,Pepperdine,Pepperdine,Cal-State-Northridge,1,7,"Northridge, CA / Matador Field",2026,WN2026
03/12/2026,Pepperdine,UMass-Lowell,6,7,0,0,L,Pepperdine,Pepperdine,UMass-Lowell,0,9,"Malibu, CA / Eddy D. Field Stadium",2026,WN2026
03/13/2026,Pepperdine,UMass-Lowell,4,7,0,0,L,Pepperdine,Pepperdine,UMass-Lowell,0,10,"Malibu, CA / Eddy D. Field Stadium",2026,WN2026
03/14/2026,Pepperdine,UMass-Lowell,4,5,0,0,L,Pepperdine,Pepperdine,UMass-Lowell,0,9,"Malibu, CA / Eddy D. Field Stadium",2026,WN2026
03/14/2026,Pepperdine,UMass-Lowell,13,8,0,0,W,Pepperdine,Pepperdine,UMass-Lowell,0,9,"Malibu, CA / Eddy D. Field Stadium",2026,WN2026
03/17/2026,UCLA,Pepperdine,5,4,0,0,L,Pepperdine,Pepperdine,UCLA,1,9,"Los Angeles, CA / Jackie Robinson Stadium",2026,WN2026
03/20/2026,Saint Mary's College,Pepperdine,9,8,0,0,L,Pepperdine,Pepperdine,Saint-Marys-College,1,9,"Moraga, CA / Louis Guisto Field",2026,WN2026
03/21/2026,Saint Mary's College,Pepperdine,5,9,0,0,W,Pepperdine,Pepperdine,Saint-Marys-College,1,9,"Moraga, CA / Louis Guisto Field",2026,WN2026
03/22/2026,Saint Mary's College,Pepperdine,1,7,0,0,W,Pepperdine,Pepperdine,Saint-Marys-College,1,9,"Moraga, CA / Louis Guisto Field",2026,WN2026
03/24/2026,Pepperdine,Washington,2,11,0,0,L,Pepperdine,Pepperdine,Washington,0,9,"Malibu, CA / Eddy D. Field Stadium",2026,WN2026
03/27/2026,Pepperdine,San Diego,1,5,0,0,L,Pepperdine,Pepperdine,San-Diego,0,9,"Malibu, CA / Eddy D. Field Stadium",2026,WN2026
03/28/2026,Pepperdine,San Diego,3,0,0,0,W,Pepperdine,Pepperdine,San-Diego,0,9,"Malibu, CA / Eddy D. Field Stadium",2026,WN2026
03/29/2026,Pepperdine,San Diego,7,4,0,0,W,Pepperdine,Pepperdine,San-Diego,0,9,"Malibu, CA / Eddy D. Field Stadium",2026,WN2026
03/31/2026,Pepperdine,Cal State Northridge,6,5,0,0,W,Pepperdine,Pepperdine,Cal-State-Northridge,0,9,"Malibu, CA / Eddy D. Field Stadium",2026,WN2026
04/02/2026,Gonzaga,Pepperdine,2,5,0,0,W,Pepperdine,Pepperdine,Gonzaga,1,9,"Spokane, WA / Washington Trust Field and Patterson Baseball Complex",2026,WN2026
04/03/2026,Gonzaga,Pepperdine,9,2,0,0,L,Pepperdine,Pepperdine,Gonzaga,1,9,"Spokane, WA / Washington Trust Field and Patterson Baseball Complex",2026,WN2026
04/04/2026,Gonzaga,Pepperdine,4,3,0,0,L,Pepperdine,Pepperdine,Gonzaga,1,9,"Spokane, WA / Washington Trust Field and Patterson Baseball Complex",2026,WN2026
04/07/2026,Cal State Northridge,Pepperdine,4,2,0,0,L,Pepperdine,Pepperdine,Cal-State-Northridge,1,9,"Northridge, CA / Matador Field",2026,WN2026
04/10/2026,Pepperdine,Pacific,7,8,0,0,L,Pepperdine,Pepperdine,Pacific,0,9,"Malibu, CA / Eddy D. Field Stadium",2026,WN2026
04/11/2026,Pepperdine,Pacific,10,3,0,0,W,Pepperdine,Pepperdine,Pacific,0,9,"Malibu, CA / Eddy D. Field Stadium",2026,WN2026
04/12/2026,Pepperdine,Pacific,4,9,0,0,L,Pepperdine,Pepperdine,Pacific,0,9,"Malibu, CA / Eddy D. Field Stadium",2026,WN2026
04/14/2026,Cal Poly,Pepperdine,7,3,0,0,L,Pepperdine,Pepperdine,Cal-Poly,1,9,"San Luis Obispo, CA / Robin Baggett Stadium",2026,WN2026
04/17/2026,Loyola-Marymount,Pepperdine,3,14,0,0,W,Pepperdine,Pepperdine,Loyola-Marymount,1,8,"Los Angeles, CA / George C. Page Stadium",2026,WN2026
04/18/2026,Loyola-Marymount,Pepperdine,7,10,0,0,W,Pepperdine,Pepperdine,Loyola-Marymount,1,9,"Los Angeles, CA / George C. Page Stadium",2026,WN2026
04/19/2026,Loyola-Marymount,Pepperdine,13,6,0,0,L,Pepperdine,Pepperdine,Loyola-Marymount,1,9,"Los Angeles, CA / George C. Page Stadium",2026,WN2026
04/21/2026,Pepperdine,Cal Poly,6,3,0,0,W,Pepperdine,Pepperdine,Cal-Poly,0,9,"Malibu, CA / Eddy D. Field Stadium",2026,WN2026
04/24/2026,Seattle University,Pepperdine,1,3,0,0,W,Pepperdine,Pepperdine,Seattle-University,1,9,"Bellevue, WA / Bannerwood Park",2026,WN2026
04/25/2026,Seattle University,Pepperdine,6,7,0,0,W,Pepperdine,Pepperdine,Seattle-University,1,9,"Bellevue, WA / Bannerwood Park",2026,WN2026
04/26/2026,Seattle University,Pepperdine,2,4,0,0,W,Pepperdine,Pepperdine,Seattle-University,1,10,"Bellevue, WA / Bannerwood Park",2026,WN2026
05/01/2026,Pepperdine,San Francisco,4,10,0,0,L,Pepperdine,Pepperdine,San-Francisco,0,9,"Malibu, CA / Eddy D. Field Stadium",2026,WN2026
05/02/2026,Pepperdine,San Francisco,4,0,0,0,W,Pepperdine,Pepperdine,San-Francisco,0,9,"Malibu, CA / Eddy D. Field Stadium",2026,WN2026
05/03/2026,Pepperdine,San Francisco,0,2,0,0,L,Pepperdine,Pepperdine,San-Francisco,0,9,"Malibu, CA / Eddy D. Field Stadium",2026,WN2026
05/05/2026,UC Santa Barbara,Pepperdine,13,3,0,0,L,Pepperdine,Pepperdine,UC-Santa-Barbara,1,8,"Santa Barbara, CA / Caesar Uyesaka Stadium",2026,WN2026
05/08/2026,Pepperdine,Portland,5,3,0,0,W,Pepperdine,Pepperdine,Portland,0,9,"Malibu, CA / Eddy D. Field Stadium / Box Score",2026,WN2026
05/09/2026,Pepperdine,Portland,8,1,0,0,W,Pepperdine,Pepperdine,Portland,0,9,"Malibu, CA / Eddy D. Field Stadium / Box Score",2026,WN2026
05/10/2026,Pepperdine,Portland,5,2,0,0,W,Pepperdine,Pepperdine,Portland,0,9,"Malibu, CA / Eddy D. Field Stadium / Box Score",2026,WN2026
05/14/2026,Santa Clara,Pepperdine,10,0,0,0,L,Pepperdine,Pepperdine,Santa-Clara,1,7,"Santa Clara, CA / Stephen Schott Stadium / Box Score",2026,WN2026
05/15/2026,Santa Clara,Pepperdine,9,2,0,0,L,Pepperdine,Pepperdine,Santa-Clara,1,9,"Santa Clara, CA / Stephen Schott Stadium / Box Score",2026,WN2026
