Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Western Michigan,Pittsburgh,4,12,0,1,W,Pittsburgh,Pittsburgh,Western-Michigan,0,9,"Port Charlotte, FL / Centennial Park",2026,WN2026
02/14/2026,Western Michigan,Pittsburgh,7,5,0,1,L,Pittsburgh,Pittsburgh,Western-Michigan,0,9,"Port Charlotte, FL / Centennial Park",2026,WN2026
02/15/2026,Western Michigan,Pittsburgh,7,17,0,1,W,Pittsburgh,Pittsburgh,Western-Michigan,0,8,"Port Charlotte, FL / Centennial Park",2026,WN2026
02/20/2026,Long Beach State,Pittsburgh,2,6,0,1,W,Pittsburgh,Pittsburgh,Long-Beach-State,0,9,"Corpus Christi, TX / Whataburger Field",2026,WN2026
02/21/2026,Cal State Bakersfield,Pittsburgh,0,14,0,1,W,Pittsburgh,Pittsburgh,Cal-State-Bakersfield,0,9,"Corpus Christi, TX / Whataburger Field",2026,WN2026
02/22/2026,Texas A&M-Corpus Christi,Pittsburgh,5,2,0,0,L,Pittsburgh,Pittsburgh,Texas-AM-Corpus-Christi,1,9,"Corpus Christi, TX / Whataburger Field",2026,WN2026
02/25/2026,Pittsburgh,Bucknell,18,3,0,0,W,Pittsburgh,Pittsburgh,Bucknell,0,7,"Pittsburgh, PA / Charles L. Cost Field",2026,WN2026
02/27/2026,Pittsburgh,UNCG,14,6,0,0,W,Pittsburgh,Pittsburgh,UNCG,0,9,"Pittsburgh, PA / Charles L. Cost Field",2026,WN2026
02/28/2026,Pittsburgh,UNCG,7,1,0,0,W,Pittsburgh,Pittsburgh,UNCG,0,9,"Pittsburgh, PA / Charles L. Cost Field",2026,WN2026
02/28/2026,Pittsburgh,UNCG,14,2,0,0,W,Pittsburgh,Pittsburgh,UNCG,0,7,"Pittsburgh, PA / Charles L. Cost Field",2026,WN2026
03/04/2026,Pittsburgh,Ohio,16,2,0,0,W,Pittsburgh,Pittsburgh,Ohio,0,7,"Pittsburgh, PA / Charles L. Cost Field",2026,WN2026
03/06/2026,San Jose State,Pittsburgh,1,20,0,0,W,Pittsburgh,Pittsburgh,San-Jose-State,1,7,"San Jose, CA / Excite Ballpark",2026,WN2026
03/07/2026,San Jose State,Pittsburgh,8,13,0,0,W,Pittsburgh,Pittsburgh,San-Jose-State,1,9,"San Jose, CA / Excite Ballpark",2026,WN2026
03/08/2026,San Jose State,Pittsburgh,2,3,0,0,W,Pittsburgh,Pittsburgh,San-Jose-State,1,9,"San Jose, CA / Excite Ballpark",2026,WN2026
03/10/2026,Santa Clara,Pittsburgh,4,3,0,0,L,Pittsburgh,Pittsburgh,Santa-Clara,1,9,"Santa Clara, CA / Stephen Schott Stadium",2026,WN2026
03/13/2026,Stanford,Pittsburgh,9,7,0,0,L,Pittsburgh,Pittsburgh,Stanford,1,9,"Stanford, CA / Klein Field at Sunken Diamond",2026,WN2026
03/14/2026,Stanford,Pittsburgh,10,11,0,0,W,Pittsburgh,Pittsburgh,Stanford,1,9,"Stanford, CA / Klein Field at Sunken Diamond",2026,WN2026
03/15/2026,Stanford,Pittsburgh,5,10,0,0,W,Pittsburgh,Pittsburgh,Stanford,1,9,"Stanford, CA / Klein Field at Sunken Diamond",2026,WN2026
03/20/2026,Pittsburgh,Georgia Tech,9,11,0,0,L,Pittsburgh,Pittsburgh,Georgia-Tech,0,9,"Pittsburgh, PA / Charles L. Cost Field",2026,WN2026
03/21/2026,Pittsburgh,Georgia Tech,14,9,0,0,W,Pittsburgh,Pittsburgh,Georgia-Tech,0,9,"Pittsburgh, PA / Charles L. Cost Field",2026,WN2026
03/22/2026,Pittsburgh,Georgia Tech,4,12,0,0,L,Pittsburgh,Pittsburgh,Georgia-Tech,0,7,"Pittsburgh, PA / Charles L. Cost Field",2026,WN2026
03/24/2026,Kent State,Pittsburgh,4,13,0,0,W,Pittsburgh,Pittsburgh,Kent-State,1,9,"Kent, OH / Olga Mural Field at Schoonover Stadium",2026,WN2026
03/25/2026,Pittsburgh,Youngstown State,8,7,0,0,W,Pittsburgh,Pittsburgh,Youngstown-State,0,9,"Pittsburgh, PA / Charles L. Cost Field",2026,WN2026
03/27/2026,Louisville,Pittsburgh,3,4,0,0,W,Pittsburgh,Pittsburgh,Louisville,1,9,"Louisville, KY / Jim Patterson Stadium",2026,WN2026
03/28/2026,Louisville,Pittsburgh,8,5,0,0,L,Pittsburgh,Pittsburgh,Louisville,1,9,"Louisville, KY / Jim Patterson Stadium",2026,WN2026
03/29/2026,Louisville,Pittsburgh,7,13,0,0,W,Pittsburgh,Pittsburgh,Louisville,1,9,"Louisville, KY / Jim Patterson Stadium",2026,WN2026
03/31/2026,Pittsburgh,Mercyhurst,27,3,0,0,W,Pittsburgh,Pittsburgh,Mercyhurst,0,7,"Pittsburgh, PA / Charles L. Cost Field",2026,WN2026
