Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/20/2026,North Carolina State,Princeton,6,4,0,0,L,Princeton,Princeton,North-Carolina-State,1,9,"Raleigh, NC / Doak Field",2026,WN2026
02/21/2026,North Carolina State,Princeton,16,1,0,0,L,Princeton,Princeton,North-Carolina-State,1,9,"Raleigh, NC / Doak Field",2026,WN2026
02/21/2026,North Carolina State,Princeton,0,1,0,0,W,Princeton,Princeton,North-Carolina-State,1,9,"Raleigh, NC / Doak Field",2026,WN2026
02/27/2026,Duke,Princeton,6,2,0,0,L,Princeton,Princeton,Duke,1,9,"Durham, NC / Jack Coombs Field",2026,WN2026
02/28/2026,Duke,Princeton,9,2,0,0,L,Princeton,Princeton,Duke,1,9,"Durham, NC / Jack Coombs Field",2026,WN2026
02/28/2026,Duke,Princeton,14,4,0,0,L,Princeton,Princeton,Duke,1,7,"Durham, NC / Jack Coombs Field",2026,WN2026
03/01/2026,Duke,Princeton,7,8,0,0,W,Princeton,Princeton,Duke,1,9,"Durham, NC / Jack Coombs Field",2026,WN2026
03/07/2026,South Carolina,Princeton,10,7,0,0,L,Princeton,Princeton,South-Carolina,1,9,"Columbia, SC / Founders Park",2026,WN2026
03/07/2026,South Carolina,Princeton,4,3,0,0,L,Princeton,Princeton,South-Carolina,1,9,"Columbia, SC / Founders Park",2026,WN2026
03/08/2026,South Carolina,Princeton,13,1,0,0,L,Princeton,Princeton,South-Carolina,1,7,"Columbia, SC / Founders Park",2026,WN2026
03/10/2026,Winthrop,Princeton,3,10,0,0,W,Princeton,Princeton,Winthrop,1,9,"Rock Hill, SC / Winthrop Ballpark",2026,WN2026
03/11/2026,Winthrop,Princeton,11,0,0,0,L,Princeton,Princeton,Winthrop,1,9,"Rock Hill, SC / Winthrop Ballpark",2026,WN2026
03/13/2026,Wofford,Princeton,12,1,0,0,L,Princeton,Princeton,Wofford,1,7,"Spartanburg, SC / Russell C. King Field",2026,WN2026
03/14/2026,Wofford,Princeton,0,3,0,0,W,Princeton,Princeton,Wofford,1,7,"Spartanburg, SC / Russell C. King Field",2026,WN2026
03/14/2026,Wofford,Princeton,5,6,0,0,W,Princeton,Princeton,Wofford,1,11,"Spartanburg, SC / Russell C. King Field",2026,WN2026
03/15/2026,Wofford,Princeton,5,2,0,0,L,Princeton,Princeton,Wofford,1,9,"Spartanburg, SC / Russell C. King Field",2026,WN2026
03/21/2026,Princeton,Cornell,13,7,0,0,W,Princeton,Princeton,Cornell,0,9,"Princeton, NJ / Bill Clarke Field",2026,WN2026
03/21/2026,Princeton,Cornell,12,0,0,0,W,Princeton,Princeton,Cornell,0,9,"Princeton, NJ / Bill Clarke Field",2026,WN2026
03/22/2026,Princeton,Cornell,3,6,0,0,L,Princeton,Princeton,Cornell,0,9,"Princeton, NJ / Bill Clarke Field",2026,WN2026
03/25/2026,Seton Hall,Princeton,3,1,0,0,L,Princeton,Princeton,Seton-Hall,1,9,"South Orange, NJ / Owen T. Carroll Field",2026,WN2026
