Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Old Dominion,Quinnipiac,15,5,0,0,L,Quinnipiac,Quinnipiac,Old-Dominion,1,9,"Norfolk, VA / Bud Metheny Baseball Complex",2026,WN2026
02/14/2026,Old Dominion,Quinnipiac,15,5,0,0,L,Quinnipiac,Quinnipiac,Old-Dominion,1,7,"Norfolk, VA / Bud Metheny Baseball Complex",2026,WN2026
02/14/2026,Old Dominion,Quinnipiac,5,6,0,0,W,Quinnipiac,Quinnipiac,Old-Dominion,1,10,"Norfolk, VA / Bud Metheny Baseball Complex",2026,WN2026
02/20/2026,North Florida,Quinnipiac,10,0,0,0,L,Quinnipiac,Quinnipiac,North-Florida,1,7,"Jacksonville, FL / Harmon Stadium",2026,WN2026
02/21/2026,North Florida,Quinnipiac,3,6,0,0,W,Quinnipiac,Quinnipiac,North-Florida,1,9,"Jacksonville, FL / Harmon Stadium",2026,WN2026
02/21/2026,North Florida,Quinnipiac,5,4,0,0,L,Quinnipiac,Quinnipiac,North-Florida,1,9,"Jacksonville, FL / Harmon Stadium",2026,WN2026
02/27/2026,East Tennessee State,Quinnipiac,8,2,0,0,L,Quinnipiac,Quinnipiac,East-Tennessee-State,1,9,"Johnson City, TN / Thomas Stadium",2026,WN2026
02/28/2026,East Tennessee State,Quinnipiac,4,3,0,0,L,Quinnipiac,Quinnipiac,East-Tennessee-State,1,10,"Johnson City, TN / Thomas Stadium",2026,WN2026
03/01/2026,East Tennessee State,Quinnipiac,16,5,0,0,L,Quinnipiac,Quinnipiac,East-Tennessee-State,1,8,"Johnson City, TN / Thomas Stadium",2026,WN2026
03/06/2026,UNCG,Quinnipiac,13,3,0,0,L,Quinnipiac,Quinnipiac,UNCG,1,7,"Greensboro, NC / UNCG Baseball Stadium",2026,WN2026
03/07/2026,UNCG,Quinnipiac,11,14,0,0,W,Quinnipiac,Quinnipiac,UNCG,1,9,"Greensboro, NC / UNCG Baseball Stadium",2026,WN2026
03/08/2026,UNCG,Quinnipiac,3,5,0,0,W,Quinnipiac,Quinnipiac,UNCG,1,11,"Greensboro, NC / UNCG Baseball Stadium",2026,WN2026
03/10/2026,Brown,Quinnipiac,4,1,0,0,L,Quinnipiac,Quinnipiac,Brown,1,9,"Providence, RI / Murray Stadium",2026,WN2026
03/14/2026,Quinnipiac,Sacred Heart,8,9,0,0,L,Quinnipiac,Quinnipiac,Sacred-Heart,0,9,"Hamden, CT / Quinnipiac Baseball Field",2026,WN2026
03/14/2026,Quinnipiac,Sacred Heart,4,10,0,0,L,Quinnipiac,Quinnipiac,Sacred-Heart,0,9,"Hamden, CT / Quinnipiac Baseball Field",2026,WN2026
