Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Richmond,Monmouth,3,4,0,0,L,Richmond,Richmond,Monmouth,0,9,"Richmond, VA / Malcolm U. Pitt Field",2026,WN2026
02/14/2026,Richmond,Monmouth,7,5,0,0,W,Richmond,Richmond,Monmouth,0,9,"Richmond, VA / Malcolm U. Pitt Field",2026,WN2026
02/14/2026,Richmond,Monmouth,10,8,0,0,W,Richmond,Richmond,Monmouth,0,9,"Richmond, VA / Malcolm U. Pitt Field",2026,WN2026
02/17/2026,North Carolina,Richmond,10,0,0,0,L,Richmond,Richmond,North-Carolina,1,7,"Chapel Hill, NC / Boshamer Stadium",2026,WN2026
02/18/2026,Richmond,James Madison,9,5,0,0,W,Richmond,Richmond,James-Madison,0,9,"Richmond, VA / Malcolm U. Pitt Field",2026,WN2026
02/20/2026,Richmond,Penn State,0,5,0,0,L,Richmond,Richmond,Penn-State,0,9,"Richmond, VA / Malcolm U. Pitt Field",2026,WN2026
02/21/2026,Richmond,Penn State,3,0,0,0,W,Richmond,Richmond,Penn-State,0,9,"Richmond, VA / Malcolm U. Pitt Field",2026,WN2026
02/21/2026,Richmond,Penn State,4,3,0,0,W,Richmond,Richmond,Penn-State,0,9,"Richmond, VA / Malcolm U. Pitt Field",2026,WN2026
02/24/2026,North Carolina State,Richmond,27,0,0,0,L,Richmond,Richmond,North-Carolina-State,1,9,"Raleigh, NC / Doak Field",2026,WN2026
02/27/2026,Richmond,Cornell,9,6,0,0,W,Richmond,Richmond,Cornell,0,9,"Richmond, VA / Malcolm U. Pitt Field",2026,WN2026
02/28/2026,Richmond,Cornell,11,3,0,0,W,Richmond,Richmond,Cornell,0,9,"Richmond, VA / Malcolm U. Pitt Field",2026,WN2026
03/01/2026,Richmond,Cornell,12,2,0,0,W,Richmond,Richmond,Cornell,0,8,"Richmond, VA / Malcolm U. Pitt Field",2026,WN2026
03/03/2026,Richmond,Longwood,4,9,0,0,L,Richmond,Richmond,Longwood,0,9,"Richmond, VA / Malcolm U. Pitt Field",2026,WN2026
03/06/2026,Richmond,Binghamton,2,5,0,0,L,Richmond,Richmond,Binghamton,0,9,"Richmond, VA / Malcolm U. Pitt Field",2026,WN2026
03/07/2026,Richmond,Binghamton,8,1,0,0,W,Richmond,Richmond,Binghamton,0,9,"Richmond, VA / Malcolm U. Pitt Field",2026,WN2026
03/08/2026,Richmond,Binghamton,3,4,0,0,L,Richmond,Richmond,Binghamton,0,9,"Richmond, VA / Malcolm U. Pitt Field",2026,WN2026
03/10/2026,Richmond,Coppin State,19,1,0,0,W,Richmond,Richmond,Coppin-State,0,7,"Richmond, VA / Malcolm U. Pitt Field",2026,WN2026
03/13/2026,Richmond,Saint Joseph's,9,11,0,0,L,Richmond,Richmond,Saint-Josephs,0,9,"Richmond, VA / Malcolm U. Pitt Field",2026,WN2026
03/14/2026,Richmond,Saint Joseph's,3,4,0,0,L,Richmond,Richmond,Saint-Josephs,0,9,"Richmond, VA / Malcolm U. Pitt Field",2026,WN2026
03/15/2026,Richmond,Saint Joseph's,1,5,0,0,L,Richmond,Richmond,Saint-Josephs,0,9,"Richmond, VA / Malcolm U. Pitt Field",2026,WN2026
03/17/2026,Richmond,Maryland,7,5,0,0,W,Richmond,Richmond,Maryland,0,9,"Richmond, VA / Malcolm U. Pitt Field",2026,WN2026
03/20/2026,Fordham,Richmond,8,4,0,0,L,Richmond,Richmond,Fordham,1,9,"Bronx, NY / Jim Houlihan Park",2026,WN2026
03/21/2026,Fordham,Richmond,3,4,0,0,W,Richmond,Richmond,Fordham,1,9,"Bronx, NY / Jim Houlihan Park",2026,WN2026
03/22/2026,Fordham,Richmond,4,3,0,0,L,Richmond,Richmond,Fordham,1,9,"Bronx, NY / Jim Houlihan Park",2026,WN2026
03/25/2026,Richmond,Old Dominion,2,7,0,0,L,Richmond,Richmond,Old-Dominion,0,9,"Richmond, VA / Malcolm U. Pitt Field",2026,WN2026
03/27/2026,Richmond,Rhode Island,6,1,0,0,W,Richmond,Richmond,Rhode-Island,0,9,"Richmond, VA / Malcolm U. Pitt Field",2026,WN2026
03/28/2026,Richmond,Rhode Island,17,2,0,0,W,Richmond,Richmond,Rhode-Island,0,9,"Richmond, VA / Malcolm U. Pitt Field",2026,WN2026
03/29/2026,Richmond,Rhode Island,1,2,0,0,L,Richmond,Richmond,Rhode-Island,0,9,"Richmond, VA / Malcolm U. Pitt Field",2026,WN2026
03/31/2026,Maryland,Richmond,19,4,0,0,L,Richmond,Richmond,Maryland,1,7,"College Park, MD / Bob 'Turtle' Smith Stadium",2026,WN2026
