Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Sacramento State,UC Irvine,0,5,0,0,L,Sacramento State,Sacramento-State,UC-Irvine,0,9,"Sacramento, CA / John Smith Field",2026,WN2026
02/14/2026,Sacramento State,UC Irvine,3,7,0,0,L,Sacramento State,Sacramento-State,UC-Irvine,0,9,"Sacramento, CA / John Smith Field",2026,WN2026
02/14/2026,Sacramento State,UC Irvine,2,6,0,0,L,Sacramento State,Sacramento-State,UC-Irvine,0,9,"Sacramento, CA / John Smith Field",2026,WN2026
02/19/2026,Sacramento State,Saint Joseph's,4,1,0,0,W,Sacramento State,Sacramento-State,Saint-Josephs,0,9,"Sacramento, CA / John Smith Field",2026,WN2026
02/20/2026,Sacramento State,Saint Joseph's,4,5,0,0,L,Sacramento State,Sacramento-State,Saint-Josephs,0,12,"Sacramento, CA / John Smith Field",2026,WN2026
02/21/2026,Sacramento State,Saint Joseph's,4,2,0,0,W,Sacramento State,Sacramento-State,Saint-Josephs,0,9,"Sacramento, CA / John Smith Field",2026,WN2026
02/22/2026,Sacramento State,Saint Joseph's,21,2,0,0,W,Sacramento State,Sacramento-State,Saint-Josephs,0,9,"Sacramento, CA / John Smith Field",2026,WN2026
02/25/2026,Pacific,Sacramento State,8,7,0,0,L,Sacramento State,Sacramento-State,Pacific,1,9,"Stockton, CA / Klein Family Field",2026,WN2026
02/27/2026,California,Sacramento State,5,4,0,0,L,Sacramento State,Sacramento-State,California,1,9,"Berkeley, CA / Evans Diamond",2026,WN2026
02/28/2026,Sacramento State,California,2,8,0,0,L,Sacramento State,Sacramento-State,California,0,9,"Sacramento, CA / John Smith Field",2026,WN2026
03/01/2026,California,Sacramento State,3,2,0,0,L,Sacramento State,Sacramento-State,California,1,9,"Berkeley, CA / Evans Diamond",2026,WN2026
03/03/2026,Fresno State,Sacramento State,2,0,0,0,L,Sacramento State,Sacramento-State,Fresno-State,1,9,"Fresno, CA / Pete Beiden Field at Bob Bennett Stadium",2026,WN2026
03/06/2026,LSU,Sacramento State,15,4,0,0,L,Sacramento State,Sacramento-State,LSU,1,7,"Baton Rouge, LA / Alex Box Stadium",2026,WN2026
03/07/2026,LSU,Sacramento State,4,5,0,0,W,Sacramento State,Sacramento-State,LSU,1,9,"Baton Rouge, LA / Alex Box Stadium",2026,WN2026
