Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,California,Santa Clara,2,13,0,0,W,Santa Clara,Santa-Clara,California,1,8,"Berkeley, CA / Evans Diamond",2026,WN2026
02/14/2026,California,Santa Clara,5,4,0,0,L,Santa Clara,Santa-Clara,California,1,9,"Berkeley, CA / Evans Diamond",2026,WN2026
02/14/2026,California,Santa Clara,4,3,0,0,L,Santa Clara,Santa-Clara,California,1,9,"Berkeley, CA / Evans Diamond",2026,WN2026
02/16/2026,Santa Clara,California,10,4,0,0,W,Santa Clara,Santa-Clara,California,0,9,"Santa Clara, CA / Stephen Schott Stadium",2026,WN2026
02/18/2026,Santa Clara,San Jose State,8,6,0,0,W,Santa Clara,Santa-Clara,San-Jose-State,0,9,"Santa Clara, CA / Stephen Schott Stadium",2026,WN2026
02/20/2026,Santa Clara,UC Davis,5,2,0,0,W,Santa Clara,Santa-Clara,UC-Davis,0,9,"Santa Clara, CA / Stephen Schott Stadium",2026,WN2026
02/21/2026,Santa Clara,UC Davis,4,6,0,0,L,Santa Clara,Santa-Clara,UC-Davis,0,9,"Santa Clara, CA / Stephen Schott Stadium",2026,WN2026
02/22/2026,Santa Clara,UC Davis,8,13,0,0,L,Santa Clara,Santa-Clara,UC-Davis,0,9,"Santa Clara, CA / Stephen Schott Stadium",2026,WN2026
02/27/2026,Santa Clara,UNLV,4,5,0,0,L,Santa Clara,Santa-Clara,UNLV,0,10,"Santa Clara, CA / Stephen Schott Stadium",2026,WN2026
02/28/2026,Santa Clara,UNLV,5,8,0,0,L,Santa Clara,Santa-Clara,UNLV,0,9,"Santa Clara, CA / Stephen Schott Stadium",2026,WN2026
03/01/2026,Santa Clara,UNLV,5,3,0,0,W,Santa Clara,Santa-Clara,UNLV,0,9,"Santa Clara, CA / Stephen Schott Stadium",2026,WN2026
03/05/2026,Oklahoma,Santa Clara,2,1,0,0,L,Santa Clara,Santa-Clara,Oklahoma,1,9,"Norman, OK / Kimrey Family Stadium",2026,WN2026
03/07/2026,Oklahoma,Santa Clara,8,0,0,0,L,Santa Clara,Santa-Clara,Oklahoma,1,9,"Norman, OK / Kimrey Family Stadium",2026,WN2026
03/08/2026,Oklahoma,Santa Clara,8,6,0,0,L,Santa Clara,Santa-Clara,Oklahoma,1,9,"Norman, OK / Kimrey Family Stadium",2026,WN2026
03/10/2026,Santa Clara,Pittsburgh,4,3,0,0,W,Santa Clara,Santa-Clara,Pittsburgh,0,9,"Santa Clara, CA / Stephen Schott Stadium",2026,WN2026
03/13/2026,Santa Clara,Utah Tech,8,1,0,0,W,Santa Clara,Santa-Clara,Utah-Tech,0,9,"Santa Clara, CA / Stephen Schott Stadium",2026,WN2026
03/14/2026,Santa Clara,Utah Tech,4,1,0,0,W,Santa Clara,Santa-Clara,Utah-Tech,0,9,"Santa Clara, CA / Stephen Schott Stadium",2026,WN2026
03/15/2026,Santa Clara,Utah Tech,5,4,0,0,W,Santa Clara,Santa-Clara,Utah-Tech,0,10,"Santa Clara, CA / Stephen Schott Stadium",2026,WN2026
03/18/2026,Santa Clara,Connecticut,5,12,0,0,L,Santa Clara,Santa-Clara,Connecticut,0,9,"Santa Clara, CA / Stephen Schott Stadium",2026,WN2026
03/20/2026,San Francisco,Santa Clara,2,1,0,0,L,Santa Clara,Santa-Clara,San-Francisco,1,9,"San Francisco, CA / Dante Benedetti Diamond",2026,WN2026
03/21/2026,San Francisco,Santa Clara,2,1,0,0,L,Santa Clara,Santa-Clara,San-Francisco,1,9,"San Francisco, CA / Dante Benedetti Diamond",2026,WN2026
03/22/2026,San Francisco,Santa Clara,6,5,0,0,L,Santa Clara,Santa-Clara,San-Francisco,1,9,"San Francisco, CA / Dante Benedetti Diamond",2026,WN2026
03/24/2026,Santa Clara,San Jose State,6,18,0,0,L,Santa Clara,Santa-Clara,San-Jose-State,0,7,"Santa Clara, CA / Stephen Schott Stadium",2026,WN2026
03/27/2026,Santa Clara,Loyola-Marymount,17,2,0,0,W,Santa Clara,Santa-Clara,Loyola-Marymount,0,7,"Santa Clara, CA / Stephen Schott Stadium",2026,WN2026
03/28/2026,Santa Clara,Loyola-Marymount,4,2,0,0,W,Santa Clara,Santa-Clara,Loyola-Marymount,0,9,"Santa Clara, CA / Stephen Schott Stadium",2026,WN2026
03/29/2026,Santa Clara,Loyola-Marymount,10,5,0,0,W,Santa Clara,Santa-Clara,Loyola-Marymount,0,9,"Santa Clara, CA / Stephen Schott Stadium",2026,WN2026
03/30/2026,Santa Clara,San Jose State,5,3,0,0,W,Santa Clara,Santa-Clara,San-Jose-State,0,9,"Santa Clara, CA / Stephen Schott Stadium",2026,WN2026
04/02/2026,San Diego,Santa Clara,5,1,0,0,L,Santa Clara,Santa-Clara,San-Diego,1,9,"San Diego, CA / Fowler Park",2026,WN2026
04/03/2026,San Diego,Santa Clara,6,1,0,0,L,Santa Clara,Santa-Clara,San-Diego,1,9,"San Diego, CA / Fowler Park",2026,WN2026
04/04/2026,San Diego,Santa Clara,13,7,0,0,L,Santa Clara,Santa-Clara,San-Diego,1,9,"San Diego, CA / Fowler Park",2026,WN2026
04/06/2026,Santa Clara,Clemson,4,6,0,0,L,Santa Clara,Santa-Clara,Clemson,0,9,"Santa Clara, CA / Stephen Schott Stadium",2026,WN2026
04/10/2026,Santa Clara,Saint Mary's College,1,8,0,0,L,Santa Clara,Santa-Clara,Saint-Marys-College,0,9,"Santa Clara, CA / Stephen Schott Stadium",2026,WN2026
