Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Oklahoma,Texas Tech,10,3,0,1,L,Texas Tech,Texas-Tech,Oklahoma,0,9,"Arlington, TX / Globe Life Field",2026,WN2026
02/14/2026,Vanderbilt,Texas Tech,13,3,0,1,L,Texas Tech,Texas-Tech,Vanderbilt,0,8,"Arlington, TX / Globe Life Field",2026,WN2026
02/15/2026,Arkansas,Texas Tech,6,5,0,1,L,Texas Tech,Texas-Tech,Arkansas,0,11,"Arlington, TX / Globe Life Field",2026,WN2026
02/17/2026,UTRGV,Texas Tech,12,21,0,0,W,Texas Tech,Texas-Tech,UTRGV,1,9,"Edinburg, TX / UTRGV Baseball Stadium",2026,WN2026
02/20/2026,Texas Tech,Albany,16,8,0,0,W,Texas Tech,Texas-Tech,Albany,0,9,"Lubbock, TX / Dan Law Field at Rip Griffin Park",2026,WN2026
02/21/2026,Texas Tech,Albany,15,1,0,0,W,Texas Tech,Texas-Tech,Albany,0,7,"Lubbock, TX / Dan Law Field at Rip Griffin Park",2026,WN2026
02/21/2026,Texas Tech,Albany,8,6,0,0,W,Texas Tech,Texas-Tech,Albany,0,9,"Lubbock, TX / Dan Law Field at Rip Griffin Park",2026,WN2026
02/22/2026,Texas Tech,Albany,10,0,0,0,W,Texas Tech,Texas-Tech,Albany,0,8,"Lubbock, TX / Dan Law Field at Rip Griffin Park",2026,WN2026
02/27/2026,Texas Tech,Cal State Bakersfield,17,4,0,0,W,Texas Tech,Texas-Tech,Cal-State-Bakersfield,0,7,"Lubbock, TX / Dan Law Field at Rip Griffin Park",2026,WN2026
02/28/2026,Texas Tech,Cal State Bakersfield,14,3,0,0,W,Texas Tech,Texas-Tech,Cal-State-Bakersfield,0,7,"Lubbock, TX / Dan Law Field at Rip Griffin Park",2026,WN2026
03/01/2026,Texas Tech,Cal State Bakersfield,8,15,0,0,L,Texas Tech,Texas-Tech,Cal-State-Bakersfield,0,9,"Lubbock, TX / Dan Law Field at Rip Griffin Park",2026,WN2026
03/06/2026,Texas Tech,Penn State,15,7,0,0,W,Texas Tech,Texas-Tech,Penn-State,0,9,"Lubbock, TX / Dan Law Field at Rip Griffin Park",2026,WN2026
03/07/2026,Texas Tech,Penn State,21,6,0,0,W,Texas Tech,Texas-Tech,Penn-State,0,7,"Lubbock, TX / Dan Law Field at Rip Griffin Park",2026,WN2026
03/08/2026,Texas Tech,Penn State,14,4,0,0,W,Texas Tech,Texas-Tech,Penn-State,0,7,"Lubbock, TX / Dan Law Field at Rip Griffin Park",2026,WN2026
03/10/2026,Texas Tech,UTSA,8,9,0,0,L,Texas Tech,Texas-Tech,UTSA,0,9,"Lubbock, TX / Dan Law Field at Rip Griffin Park",2026,WN2026
03/11/2026,Texas Tech,UTSA,10,5,0,0,W,Texas Tech,Texas-Tech,UTSA,0,9,"Lubbock, TX / Dan Law Field at Rip Griffin Park",2026,WN2026
03/13/2026,Texas Tech,Kansas,11,4,0,0,W,Texas Tech,Texas-Tech,Kansas,0,9,"Lubbock, TX / Dan Law Field at Rip Griffin Park",2026,WN2026
