Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Mercer,Troy,4,3,0,0,L,Troy,Troy,Mercer,1,9,"Macon, GA / Claude Smith Field",2026,WN2026
02/14/2026,Mercer,Troy,17,5,0,0,L,Troy,Troy,Mercer,1,7,"Macon, GA / Claude Smith Field",2026,WN2026
02/14/2026,Mercer,Troy,3,19,0,0,W,Troy,Troy,Mercer,1,7,"Macon, GA / Claude Smith Field",2026,WN2026
02/17/2026,Mississippi State,Troy,13,7,0,0,L,Troy,Troy,Mississippi-State,1,9,"Starkville, MS / Dudy Noble Field at Polk-DeMent Stadium",2026,WN2026
02/20/2026,Troy,Campbell,13,3,0,0,W,Troy,Troy,Campbell,0,8,"Troy, AL / Riddle-Pace Field",2026,WN2026
02/22/2026,Troy,Campbell,1,13,0,0,L,Troy,Troy,Campbell,0,8,"Troy, AL / Riddle-Pace Field",2026,WN2026
02/22/2026,Troy,Campbell,8,4,0,0,W,Troy,Troy,Campbell,0,9,"Troy, AL / Riddle-Pace Field",2026,WN2026
02/25/2026,Georgia,Troy,5,6,0,0,W,Troy,Troy,Georgia,1,12,"Athens, GA / Foley Field",2026,WN2026
02/27/2026,Western Carolina,Troy,4,3,0,1,L,Troy,Troy,Western-Carolina,0,9,"Greenville, NC / Clark-LeClair Stadium",2026,WN2026
02/28/2026,East Carolina,Troy,5,2,0,0,L,Troy,Troy,East-Carolina,1,9,"Greenville, NC / Clark-LeClair Stadium",2026,WN2026
03/01/2026,Rutgers,Troy,1,2,0,1,W,Troy,Troy,Rutgers,0,9,"Greenville, NC / Clark-LeClair Stadium",2026,WN2026
03/04/2026,Vanderbilt,Troy,4,1,0,0,L,Troy,Troy,Vanderbilt,1,9,"Nashville, TN / Hawkins Field",2026,WN2026
03/06/2026,Troy,Maryland,5,2,0,0,W,Troy,Troy,Maryland,0,9,"Troy, AL / Riddle-Pace Field",2026,WN2026
03/07/2026,Troy,Maryland,3,9,0,0,L,Troy,Troy,Maryland,0,9,"Troy, AL / Riddle-Pace Field",2026,WN2026
03/08/2026,Troy,Maryland,6,7,0,0,L,Troy,Troy,Maryland,0,9,"Troy, AL / Riddle-Pace Field",2026,WN2026
03/10/2026,Alabama,Troy,7,3,0,0,L,Troy,Troy,Alabama,1,9,"Tuscaloosa, AL / Sewell-Thomas Stadium",2026,WN2026
03/13/2026,Troy,Old Dominion,8,10,0,0,L,Troy,Troy,Old-Dominion,0,9,"Troy, AL / Riddle-Pace Field",2026,WN2026
03/14/2026,Troy,Old Dominion,13,4,0,0,W,Troy,Troy,Old-Dominion,0,9,"Troy, AL / Riddle-Pace Field",2026,WN2026
03/15/2026,Troy,Old Dominion,9,4,0,0,W,Troy,Troy,Old-Dominion,0,9,"Troy, AL / Riddle-Pace Field",2026,WN2026
03/17/2026,Alabama State,Troy,2,11,0,0,W,Troy,Troy,Alabama-State,1,9,"Montgomery, AL / Wheeler-Watkins Baseball Complex",2026,WN2026
03/20/2026,Southern Miss,Troy,5,6,0,0,W,Troy,Troy,Southern-Miss,1,9,"Hattiesburg, MS / Pete Taylor Park",2026,WN2026
03/21/2026,Southern Miss,Troy,11,5,0,0,L,Troy,Troy,Southern-Miss,1,9,"Hattiesburg, MS / Pete Taylor Park",2026,WN2026
