Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Loyola-Marymount,Tulane,3,12,0,0,W,Tulane,Tulane,Loyola-Marymount,1,9,"Los Angeles, CA / George C. Page Stadium",2026,WN2026
02/14/2026,Loyola-Marymount,Tulane,6,4,0,0,L,Tulane,Tulane,Loyola-Marymount,1,9,"Los Angeles, CA / George C. Page Stadium",2026,WN2026
02/15/2026,Loyola-Marymount,Tulane,2,6,0,0,W,Tulane,Tulane,Loyola-Marymount,1,9,"Los Angeles, CA / George C. Page Stadium",2026,WN2026
02/17/2026,UCLA,Tulane,13,5,0,0,L,Tulane,Tulane,UCLA,1,9,"Los Angeles, CA / Jackie Robinson Stadium",2026,WN2026
02/20/2026,Tulane,Harvard,7,3,0,0,W,Tulane,Tulane,Harvard,0,9,"New Orleans, LA / Greer Field at Turchin Stadium",2026,WN2026
02/21/2026,Tulane,Harvard,11,9,0,0,W,Tulane,Tulane,Harvard,0,9,"New Orleans, LA / Greer Field at Turchin Stadium",2026,WN2026
02/22/2026,Tulane,Harvard,11,1,0,0,W,Tulane,Tulane,Harvard,0,7,"New Orleans, LA / Greer Field at Turchin Stadium",2026,WN2026
02/24/2026,New Orleans,Tulane,11,3,0,0,L,Tulane,Tulane,New-Orleans,1,9,"New Orleans, LA / Maestri Field",2026,WN2026
02/25/2026,South Alabama,Tulane,2,15,0,0,W,Tulane,Tulane,South-Alabama,1,8,"Mobile, AL / Eddie Stanky Field",2026,WN2026
02/27/2026,Tulane,Eastern Kentucky,5,4,0,0,W,Tulane,Tulane,Eastern-Kentucky,0,9,"New Orleans, LA / Greer Field at Turchin Stadium",2026,WN2026
02/28/2026,Tulane,Eastern Kentucky,3,6,0,0,L,Tulane,Tulane,Eastern-Kentucky,0,9,"New Orleans, LA / Greer Field at Turchin Stadium",2026,WN2026
03/01/2026,Tulane,Eastern Kentucky,11,3,0,0,W,Tulane,Tulane,Eastern-Kentucky,0,9,"New Orleans, LA / Greer Field at Turchin Stadium",2026,WN2026
03/03/2026,Nicholls,Tulane,6,5,0,0,L,Tulane,Tulane,Nicholls,1,9,"Thibodaux, LA / Ben Meyer Diamond at Ray E. Didier Field",2026,WN2026
03/06/2026,TCU,Tulane,10,2,0,0,L,Tulane,Tulane,TCU,1,9,"Fort Worth, TX / Lupton Stadium",2026,WN2026
03/08/2026,TCU,Tulane,4,8,0,0,W,Tulane,Tulane,TCU,1,9,"Fort Worth, TX / Lupton Stadium",2026,WN2026
03/08/2026,TCU,Tulane,4,3,0,0,L,Tulane,Tulane,TCU,1,7,"Fort Worth, TX / Lupton Stadium",2026,WN2026
03/10/2026,Mississippi State,Tulane,11,7,0,1,L,Tulane,Tulane,Mississippi-State,0,9,"Biloxi, MS / Keesler Federal Park",2026,WN2026
03/13/2026,Tulane,Creighton,6,8,0,0,L,Tulane,Tulane,Creighton,0,12,"New Orleans, LA / Greer Field at Turchin Stadium",2026,WN2026
03/14/2026,Tulane,Creighton,1,2,0,0,L,Tulane,Tulane,Creighton,0,9,"New Orleans, LA / Greer Field at Turchin Stadium",2026,WN2026
03/15/2026,Tulane,Creighton,4,5,0,0,L,Tulane,Tulane,Creighton,0,9,"New Orleans, LA / Greer Field at Turchin Stadium",2026,WN2026
03/17/2026,Tulane,New Orleans,5,2,0,0,W,Tulane,Tulane,New-Orleans,0,9,"New Orleans, LA / Greer Field at Turchin Stadium",2026,WN2026
03/18/2026,Tulane,Northwestern State,2,0,0,0,W,Tulane,Tulane,Northwestern-State,0,9,"New Orleans, LA / Greer Field at Turchin Stadium",2026,WN2026
03/20/2026,Tulane,Memphis,6,7,0,0,L,Tulane,Tulane,Memphis,0,9,"New Orleans, LA / Greer Field at Turchin Stadium",2026,WN2026
03/21/2026,Tulane,Memphis,11,6,0,0,W,Tulane,Tulane,Memphis,0,9,"New Orleans, LA / Greer Field at Turchin Stadium",2026,WN2026
03/22/2026,Tulane,Memphis,12,2,0,0,W,Tulane,Tulane,Memphis,0,8,"New Orleans, LA / Greer Field at Turchin Stadium",2026,WN2026
