Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Texas,UC Davis,12,2,0,0,L,UC Davis,UC-Davis,Texas,1,7,"Austin, TX / UFCU Disch-Falk Field",2026,WN2026
02/14/2026,Texas,UC Davis,6,4,0,0,L,UC Davis,UC-Davis,Texas,1,9,"Austin, TX / UFCU Disch-Falk Field",2026,WN2026
02/15/2026,Texas,UC Davis,9,1,0,0,L,UC Davis,UC-Davis,Texas,1,9,"Austin, TX / UFCU Disch-Falk Field",2026,WN2026
02/18/2026,San Francisco,UC Davis,1,2,0,0,W,UC Davis,UC-Davis,San-Francisco,1,9,"San Francisco, CA / Dante Benedetti Diamond",2026,WN2026
02/20/2026,Santa Clara,UC Davis,5,2,0,0,L,UC Davis,UC-Davis,Santa-Clara,1,9,"Santa Clara, CA / Stephen Schott Stadium",2026,WN2026
02/21/2026,Santa Clara,UC Davis,4,6,0,0,W,UC Davis,UC-Davis,Santa-Clara,1,9,"Santa Clara, CA / Stephen Schott Stadium",2026,WN2026
02/22/2026,Santa Clara,UC Davis,8,13,0,0,W,UC Davis,UC-Davis,Santa-Clara,1,9,"Santa Clara, CA / Stephen Schott Stadium",2026,WN2026
02/25/2026,UC Davis,California,2,7,0,0,L,UC Davis,UC-Davis,California,0,9,"Davis, CA / Dobbins Stadium",2026,WN2026
02/27/2026,UC Davis,Nevada,5,4,0,0,W,UC Davis,UC-Davis,Nevada,0,10,"Davis, CA / Dobbins Stadium",2026,WN2026
02/28/2026,UC Davis,Nevada,7,5,0,0,W,UC Davis,UC-Davis,Nevada,0,9,"Davis, CA / Dobbins Stadium",2026,WN2026
03/01/2026,UC Davis,Nevada,5,11,0,0,L,UC Davis,UC-Davis,Nevada,0,9,"Davis, CA / Dobbins Stadium",2026,WN2026
03/03/2026,Saint Mary's College,UC Davis,7,2,0,0,L,UC Davis,UC-Davis,Saint-Marys-College,1,9,"Moraga, CA / Louis Guisto Field",2026,WN2026
03/06/2026,UC Riverside,UC Davis,2,4,0,0,W,UC Davis,UC-Davis,UC-Riverside,1,9,"Riverside, CA / Riverside Sports Complex",2026,WN2026
03/07/2026,UC Riverside,UC Davis,6,3,0,0,L,UC Davis,UC-Davis,UC-Riverside,1,9,"Riverside, CA / Riverside Sports Complex",2026,WN2026
03/08/2026,UC Riverside,UC Davis,3,7,0,0,W,UC Davis,UC-Davis,UC-Riverside,1,9,"Riverside, CA / Riverside Sports Complex",2026,WN2026
03/13/2026,UC Davis,UC Santa Barbara,0,4,0,0,L,UC Davis,UC-Davis,UC-Santa-Barbara,0,9,"Davis, CA / Dobbins Stadium",2026,WN2026
03/14/2026,UC Davis,UC Santa Barbara,5,4,0,0,W,UC Davis,UC-Davis,UC-Santa-Barbara,0,9,"Davis, CA / Dobbins Stadium",2026,WN2026
03/15/2026,UC Davis,UC Santa Barbara,10,6,0,0,W,UC Davis,UC-Davis,UC-Santa-Barbara,0,9,"Davis, CA / Dobbins Stadium",2026,WN2026
03/21/2026,Cal Poly,UC Davis,12,11,0,0,L,UC Davis,UC-Davis,Cal-Poly,1,9,"San Luis Obispo, CA / Robin Baggett Stadium",2026,WN2026
03/22/2026,Cal Poly,UC Davis,5,4,0,0,L,UC Davis,UC-Davis,Cal-Poly,1,9,"San Luis Obispo, CA / Robin Baggett Stadium",2026,WN2026
03/23/2026,Cal Poly,UC Davis,2,8,0,0,W,UC Davis,UC-Davis,Cal-Poly,1,9,"San Luis Obispo, CA / Robin Baggett Stadium",2026,WN2026
03/24/2026,Pacific,UC Davis,8,10,0,0,W,UC Davis,UC-Davis,Pacific,1,9,"Stockton, CA / Klein Family Field",2026,WN2026
03/27/2026,UC Davis,UC San Diego,4,9,0,0,L,UC Davis,UC-Davis,UC-San-Diego,0,9,"Davis, CA / Dobbins Stadium",2026,WN2026
03/28/2026,UC Davis,UC San Diego,2,3,0,0,L,UC Davis,UC-Davis,UC-San-Diego,0,9,"Davis, CA / Dobbins Stadium",2026,WN2026
03/29/2026,UC Davis,UC San Diego,5,9,0,0,L,UC Davis,UC-Davis,UC-San-Diego,0,9,"Davis, CA / Dobbins Stadium",2026,WN2026
04/02/2026,UC Irvine,UC Davis,4,1,0,0,L,UC Davis,UC-Davis,UC-Irvine,1,9,"Irvine, CA / Cicerone Field at Anteater Ballpark",2026,WN2026
