Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,UCF,Siena,16,0,0,0,W,UCF,UCF,Siena,0,7,"Orlando, FL / John Euliano Park",2026,WN2026
02/14/2026,UCF,Siena,13,1,0,0,W,UCF,UCF,Siena,0,7,"Orlando, FL / John Euliano Park",2026,WN2026
02/15/2026,UCF,Siena,15,0,0,0,W,UCF,UCF,Siena,0,7,"Orlando, FL / John Euliano Park",2026,WN2026
02/17/2026,Miami (FL),UCF,8,7,0,0,L,UCF,UCF,Miami-FL,1,13,"Coral Gables, FL / Alex Rodriguez Park at Mark Light Field",2026,WN2026
02/20/2026,Notre Dame,UCF,2,4,0,1,W,UCF,UCF,Notre-Dame,0,10,"Jacksonville, FL / VyStar Ballpark",2026,WN2026
02/21/2026,Indiana,UCF,6,1,0,1,L,UCF,UCF,Indiana,0,9,"Jacksonville, FL / VyStar Ballpark",2026,WN2026
02/22/2026,LSU,UCF,11,0,0,1,L,UCF,UCF,LSU,0,7,"Jacksonville, FL / VyStar Ballpark",2026,WN2026
02/28/2026,UCF,South Florida,2,9,0,0,L,UCF,UCF,South-Florida,0,9,"Orlando, FL / John Euliano Park",2026,WN2026
02/28/2026,UCF,South Florida,1,2,0,0,L,UCF,UCF,South-Florida,0,10,"Orlando, FL / John Euliano Park",2026,WN2026
03/01/2026,UCF,South Florida,2,1,0,0,W,UCF,UCF,South-Florida,0,9,"Orlando, FL / John Euliano Park",2026,WN2026
03/04/2026,UCF,FGCU,12,5,0,0,W,UCF,UCF,FGCU,0,9,"Orlando, FL / John Euliano Park",2026,WN2026
03/06/2026,UCF,Murray State,8,3,0,0,W,UCF,UCF,Murray-State,0,9,"Orlando, FL / John Euliano Park",2026,WN2026
03/07/2026,UCF,Murray State,4,0,0,0,W,UCF,UCF,Murray-State,0,9,"Orlando, FL / John Euliano Park",2026,WN2026
03/08/2026,UCF,Murray State,10,9,0,0,W,UCF,UCF,Murray-State,0,9,"Orlando, FL / John Euliano Park",2026,WN2026
03/11/2026,UCF,Miami (FL),5,9,0,0,L,UCF,UCF,Miami-FL,0,9,"Orlando, FL / John Euliano Park",2026,WN2026
03/13/2026,UCF,Oklahoma State,12,11,0,0,W,UCF,UCF,Oklahoma-State,0,9,"Orlando, FL / John Euliano Park",2026,WN2026
03/14/2026,UCF,Oklahoma State,6,1,0,0,W,UCF,UCF,Oklahoma-State,0,9,"Orlando, FL / John Euliano Park",2026,WN2026
03/15/2026,UCF,Oklahoma State,6,5,0,0,W,UCF,UCF,Oklahoma-State,0,9,"Orlando, FL / John Euliano Park",2026,WN2026
03/17/2026,UCF,Columbia,8,5,0,0,W,UCF,UCF,Columbia,0,9,"Orlando, FL / John Euliano Park",2026,WN2026
03/20/2026,TCU,UCF,7,18,0,0,W,UCF,UCF,TCU,1,9,"Fort Worth, TX / Lupton Stadium",2026,WN2026
03/21/2026,TCU,UCF,6,0,0,0,L,UCF,UCF,TCU,1,9,"Fort Worth, TX / Lupton Stadium",2026,WN2026
03/22/2026,TCU,UCF,1,9,0,0,W,UCF,UCF,TCU,1,9,"Fort Worth, TX / Lupton Stadium",2026,WN2026
03/24/2026,Stetson,UCF,8,4,0,0,L,UCF,UCF,Stetson,1,9,"DeLand, FL / Melching Field at Conrad Park",2026,WN2026
03/27/2026,UCF,Arizona,11,6,0,0,W,UCF,UCF,Arizona,0,9,"Orlando, FL / John Euliano Park",2026,WN2026
03/28/2026,UCF,Arizona,13,3,0,0,W,UCF,UCF,Arizona,0,8,"Orlando, FL / John Euliano Park",2026,WN2026
03/29/2026,UCF,Arizona,3,2,0,0,W,UCF,UCF,Arizona,0,13,"Orlando, FL / John Euliano Park",2026,WN2026
