Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Morehead State,UMass-Lowell,4,7,0,0,W,UMass-Lowell,UMass-Lowell,Morehead-State,1,9,"Morehead, KY / Allen Field",2026,WN2026
02/14/2026,Morehead State,UMass-Lowell,3,2,0,0,L,UMass-Lowell,UMass-Lowell,Morehead-State,1,9,"Morehead, KY / Allen Field",2026,WN2026
02/14/2026,Morehead State,UMass-Lowell,22,10,0,0,L,UMass-Lowell,UMass-Lowell,Morehead-State,1,9,"Morehead, KY / Allen Field",2026,WN2026
02/20/2026,Illinois State,UMass-Lowell,12,1,0,1,L,UMass-Lowell,UMass-Lowell,Illinois-State,0,9,"Port Charlotte, FL. / Centennial Park",2026,WN2026
02/21/2026,Miami (OH),UMass-Lowell,14,12,0,1,L,UMass-Lowell,UMass-Lowell,Miami-OH,0,9,"Port Charlotte, FL / Centennial Park",2026,WN2026
02/22/2026,Indiana State,UMass-Lowell,10,2,0,1,L,UMass-Lowell,UMass-Lowell,Indiana-State,0,9,"Port Charlotte, FL. / Centennial Park",2026,WN2026
03/06/2026,San Francisco,UMass-Lowell,8,5,0,0,L,UMass-Lowell,UMass-Lowell,San-Francisco,1,9,"San Francisco, CA / Dante Benedetti Diamond",2026,WN2026
03/07/2026,San Francisco,UMass-Lowell,7,18,0,0,W,UMass-Lowell,UMass-Lowell,San-Francisco,1,9,"San Francisco, CA / Dante Benedetti Diamond",2026,WN2026
03/08/2026,San Francisco,UMass-Lowell,4,6,0,0,W,UMass-Lowell,UMass-Lowell,San-Francisco,1,9,"San Francisco, CA / Dante Benedetti Diamond",2026,WN2026
03/09/2026,San Francisco,UMass-Lowell,8,2,0,0,L,UMass-Lowell,UMass-Lowell,San-Francisco,1,9,"San Francisco, CA / Dante Benedetti Diamond",2026,WN2026
03/10/2026,Sacramento State,UMass-Lowell,2,7,0,0,W,UMass-Lowell,UMass-Lowell,Sacramento-State,1,9,"Sacramento, CA / John Smith Field",2026,WN2026
03/12/2026,Pepperdine,UMass-Lowell,6,7,0,0,W,UMass-Lowell,UMass-Lowell,Pepperdine,1,9,"Malibu, CA / Eddy D. Field Stadium",2026,WN2026
03/13/2026,Pepperdine,UMass-Lowell,4,7,0,0,W,UMass-Lowell,UMass-Lowell,Pepperdine,1,10,"Malibu, CA / Eddy D. Field Stadium",2026,WN2026
03/14/2026,Pepperdine,UMass-Lowell,4,5,0,0,W,UMass-Lowell,UMass-Lowell,Pepperdine,1,9,"Malibu, CA / Eddy D. Field Stadium",2026,WN2026
03/14/2026,Pepperdine,UMass-Lowell,13,8,0,0,L,UMass-Lowell,UMass-Lowell,Pepperdine,1,9,"Malibu, CA / Eddy D. Field Stadium",2026,WN2026
03/18/2026,Boston College,UMass-Lowell,12,2,0,0,L,UMass-Lowell,UMass-Lowell,Boston-College,1,8,"Brighton, MA / Eddie Pellagrini Diamond",2026,WN2026
