Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Gardner-Webb,Valparaiso,7,6,0,0,L,Valparaiso,Valparaiso,Gardner-Webb,1,9,"Boiling Springs, NC / John Henry Moss Stadium",2026,WN2026
02/13/2026,Gardner-Webb,Valparaiso,7,3,0,0,L,Valparaiso,Valparaiso,Gardner-Webb,1,9,"Boiling Springs, NC / John Henry Moss Stadium",2026,WN2026
02/14/2026,Gardner-Webb,Valparaiso,10,11,0,0,W,Valparaiso,Valparaiso,Gardner-Webb,1,7,"Boiling Springs, NC / John Henry Moss Stadium",2026,WN2026
02/14/2026,Gardner-Webb,Valparaiso,12,1,0,0,L,Valparaiso,Valparaiso,Gardner-Webb,1,7,"Boiling Springs, NC / John Henry Moss Stadium",2026,WN2026
02/20/2026,Wofford,Valparaiso,15,9,0,0,L,Valparaiso,Valparaiso,Wofford,1,9,"Spartanburg, SC / Russell C. King Field",2026,WN2026
02/21/2026,South Carolina Upstate,Valparaiso,5,10,0,0,W,Valparaiso,Valparaiso,South-Carolina-Upstate,1,9,"Spartanburg, SC / Cleveland S. Harley Baseball Park",2026,WN2026
02/22/2026,Presbyterian College,Valparaiso,9,21,0,0,W,Valparaiso,Valparaiso,Presbyterian-College,1,9,"Clinton, SC / Presbyterian Baseball Complex",2026,WN2026
02/27/2026,Alabama State,Valparaiso,6,1,0,0,L,Valparaiso,Valparaiso,Alabama-State,1,9,"Montgomery, AL / Wheeler-Watkins Baseball Complex",2026,WN2026
02/28/2026,Alabama State,Valparaiso,0,9,0,0,W,Valparaiso,Valparaiso,Alabama-State,1,9,"Montgomery, AL / Wheeler-Watkins Baseball Complex",2026,WN2026
03/01/2026,Alabama State,Valparaiso,1,3,0,0,W,Valparaiso,Valparaiso,Alabama-State,1,9,"Montgomery, AL / Wheeler-Watkins Baseball Complex",2026,WN2026
03/06/2026,Jacksonville State,Valparaiso,3,2,0,0,L,Valparaiso,Valparaiso,Jacksonville-State,1,9,"Jacksonville, AL / Rudy Abbott Field",2026,WN2026
03/07/2026,Jacksonville State,Valparaiso,17,3,0,0,L,Valparaiso,Valparaiso,Jacksonville-State,1,7,"Jacksonville, AL / Rudy Abbott Field",2026,WN2026
03/07/2026,Jacksonville State,Valparaiso,13,2,0,0,L,Valparaiso,Valparaiso,Jacksonville-State,1,7,"Jacksonville, AL / Rudy Abbott Field",2026,WN2026
03/13/2026,SIUE,Valparaiso,13,3,0,0,L,Valparaiso,Valparaiso,SIUE,1,7,"Edwardsville, IL / Roy E. Lee Field at Simmons Baseball Complex",2026,WN2026
03/14/2026,SIUE,Valparaiso,3,2,0,0,L,Valparaiso,Valparaiso,SIUE,1,9,"Edwardsville, IL / Roy E. Lee Field at Simmons Baseball Complex",2026,WN2026
03/15/2026,SIUE,Valparaiso,9,13,0,0,W,Valparaiso,Valparaiso,SIUE,1,9,"Edwardsville, IL / Roy E. Lee Field at Simmons Baseball Complex",2026,WN2026
03/20/2026,Murray State,Valparaiso,9,4,0,1,L,Valparaiso,Valparaiso,Murray-State,0,9,"Evansville, IN / Charles H. Braun Stadium",2026,WN2026
03/21/2026,Murray State,Valparaiso,3,1,0,1,L,Valparaiso,Valparaiso,Murray-State,0,9,"Evansville, IN / Charles H. Braun Stadium",2026,WN2026
03/22/2026,Murray State,Valparaiso,13,12,0,1,L,Valparaiso,Valparaiso,Murray-State,0,9,"Evansville, IN / Charles H. Braun Stadium",2026,WN2026
03/24/2026,Purdue,Valparaiso,3,2,0,0,L,Valparaiso,Valparaiso,Purdue,1,9,"West Lafayette, IN / Alexander Field",2026,WN2026
03/28/2026,Valparaiso,Indiana State,2,18,0,0,L,Valparaiso,Valparaiso,Indiana-State,0,7,"Valparaiso, IN / Emory G. Bauer Field",2026,WN2026
