Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,TCU,Vanderbilt,5,4,0,1,L,Vanderbilt,Vanderbilt,TCU,0,9,"Arlington, TX / Globe Life Field",2026,WN2026
02/14/2026,Texas Tech,Vanderbilt,3,13,0,1,W,Vanderbilt,Vanderbilt,Texas-Tech,0,8,"Arlington, TX / Globe Life Field",2026,WN2026
02/15/2026,Oklahoma State,Vanderbilt,11,1,0,1,L,Vanderbilt,Vanderbilt,Oklahoma-State,0,8,"Arlington, TX / Globe Life Field",2026,WN2026
02/17/2026,Vanderbilt,Eastern Michigan,13,2,0,0,W,Vanderbilt,Vanderbilt,Eastern-Michigan,0,7,"Nashville, TN / Hawkins Field",2026,WN2026
02/18/2026,Vanderbilt,Eastern Michigan,16,2,0,0,W,Vanderbilt,Vanderbilt,Eastern-Michigan,0,7,"Nashville, TN / Hawkins Field",2026,WN2026
02/20/2026,Vanderbilt,Marist,16,5,0,0,W,Vanderbilt,Vanderbilt,Marist,0,8,"Nashville, TN / Hawkins Field",2026,WN2026
02/21/2026,Vanderbilt,Marist,12,1,0,0,W,Vanderbilt,Vanderbilt,Marist,0,7,"Nashville, TN / Hawkins Field",2026,WN2026
02/22/2026,Vanderbilt,Marist,8,1,0,0,W,Vanderbilt,Vanderbilt,Marist,0,9,"Nashville, TN / Hawkins Field",2026,WN2026
02/24/2026,Vanderbilt,Evansville,15,3,0,0,W,Vanderbilt,Vanderbilt,Evansville,0,7,"Nashville, TN / Hawkins Field",2026,WN2026
02/27/2026,UC Irvine,Vanderbilt,9,4,0,1,L,Vanderbilt,Vanderbilt,UC-Irvine,0,9,"Las Vegas, NV / Las Vegas Ballpark",2026,WN2026
02/28/2026,Arizona,Vanderbilt,5,1,0,1,L,Vanderbilt,Vanderbilt,Arizona,0,9,"Las Vegas, NV / Las Vegas Ballpark",2026,WN2026
03/01/2026,Oregon,Vanderbilt,6,4,0,1,L,Vanderbilt,Vanderbilt,Oregon,0,9,"Las Vegas, NV / Las Vegas Ballpark",2026,WN2026
03/03/2026,Vanderbilt,Central Arkansas,4,5,0,0,L,Vanderbilt,Vanderbilt,Central-Arkansas,0,9,"Nashville, TN / Hawkins Field",2026,WN2026
03/04/2026,Vanderbilt,Troy,4,1,0,0,W,Vanderbilt,Vanderbilt,Troy,0,9,"Nashville, TN / Hawkins Field",2026,WN2026
03/06/2026,Vanderbilt,North Dakota State,14,2,0,0,W,Vanderbilt,Vanderbilt,North-Dakota-State,0,7,"Nashville, TN / Hawkins Field",2026,WN2026
03/07/2026,Vanderbilt,North Dakota State,10,0,0,0,W,Vanderbilt,Vanderbilt,North-Dakota-State,0,8,"Nashville, TN / Hawkins Field",2026,WN2026
03/08/2026,Vanderbilt,North Dakota State,2,5,0,0,L,Vanderbilt,Vanderbilt,North-Dakota-State,0,9,"Nashville, TN / Hawkins Field",2026,WN2026
