Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,FIU,Villanova,4,7,0,0,W,Villanova,Villanova,FIU,1,9,"Miami, FL / FIU Baseball Stadium",2026,WN2026
02/14/2026,FIU,Villanova,13,3,0,0,L,Villanova,Villanova,FIU,1,9,"Miami, FL / FIU Baseball Stadium",2026,WN2026
02/15/2026,FIU,Villanova,4,3,0,0,L,Villanova,Villanova,FIU,1,9,"Miami, FL / FIU Baseball Stadium",2026,WN2026
02/20/2026,Lipscomb,Villanova,5,11,0,0,W,Villanova,Villanova,Lipscomb,1,10,"Nashville, TN / Ken Dugan Field",2026,WN2026
02/21/2026,Lipscomb,Villanova,9,8,0,0,L,Villanova,Villanova,Lipscomb,1,9,"Nashville, TN / Ken Dugan Field",2026,WN2026
02/27/2026,FAU,Villanova,11,4,0,0,L,Villanova,Villanova,FAU,1,9,"Boca Raton, FL / FAU Baseball Stadium",2026,WN2026
02/28/2026,FAU,Villanova,11,5,0,0,L,Villanova,Villanova,FAU,1,9,"Boca Raton, FL / FAU Baseball Stadium",2026,WN2026
03/01/2026,FAU,Villanova,15,5,0,0,L,Villanova,Villanova,FAU,1,7,"Boca Raton, FL / FAU Baseball Stadium",2026,WN2026
03/04/2026,North Florida,Villanova,0,4,0,0,W,Villanova,Villanova,North-Florida,1,9,"Jacksonville, FL / Harmon Stadium",2026,WN2026
03/06/2026,Florida A&M,Villanova,4,1,0,0,L,Villanova,Villanova,Florida-AM,1,9,"Tallahassee, FL / Moore-Kittles Field",2026,WN2026
03/07/2026,Florida A&M,Villanova,6,5,0,0,L,Villanova,Villanova,Florida-AM,1,9,"Tallahassee, FL / Moore-Kittles Field",2026,WN2026
03/08/2026,Florida A&M,Villanova,1,4,0,0,W,Villanova,Villanova,Florida-AM,1,8,"Tallahassee, FL / Moore-Kittles Field",2026,WN2026
03/10/2026,Villanova,La Salle,14,10,0,0,W,Villanova,Villanova,La-Salle,0,9,"Plymouth Meeting, PA / Villanova Ballpark at Plymouth",2026,WN2026
03/13/2026,Charleston Southern,Villanova,4,5,0,0,W,Villanova,Villanova,Charleston-Southern,1,9,"North Charleston, SC / Buccaneer Ballpark",2026,WN2026
03/14/2026,Charleston Southern,Villanova,0,5,0,0,W,Villanova,Villanova,Charleston-Southern,1,9,"North Charleston, SC / Buccaneer Ballpark",2026,WN2026
03/14/2026,Charleston Southern,Villanova,22,4,0,0,L,Villanova,Villanova,Charleston-Southern,1,7,"North Charleston, SC / Buccaneer Ballpark",2026,WN2026
03/20/2026,Villanova,UNC Asheville,9,12,0,0,L,Villanova,Villanova,UNC-Asheville,0,9,"Plymouth Meeting, PA / Villanova Ballpark at Plymouth",2026,WN2026
03/21/2026,Villanova,UNC Asheville,10,4,0,0,W,Villanova,Villanova,UNC-Asheville,0,9,"Plymouth Meeting, PA / Villanova Ballpark at Plymouth",2026,WN2026
03/22/2026,Villanova,UNC Asheville,11,6,0,0,W,Villanova,Villanova,UNC-Asheville,0,9,"Plymouth Meeting, PA / Villanova Ballpark at Plymouth",2026,WN2026
