Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Virginia,Wagner,13,7,0,0,W,Virginia,Virginia,Wagner,0,9,"Charlottesville, VA / Davenport Field",2026,WN2026
02/14/2026,Virginia,Wagner,25,10,0,0,W,Virginia,Virginia,Wagner,0,9,"Charlottesville, VA / Davenport Field",2026,WN2026
02/14/2026,Virginia,Wagner,31,9,0,0,W,Virginia,Virginia,Wagner,0,9,"Charlottesville, VA / Davenport Field",2026,WN2026
02/17/2026,Virginia,VMI,5,2,0,0,W,Virginia,Virginia,VMI,0,9,"Charlottesville, VA / Davenport Field",2026,WN2026
02/20/2026,Monmouth,Virginia,8,21,0,1,W,Virginia,Virginia,Monmouth,0,8,"DeLand, FL / Melching Field at Conrad Park",2026,WN2026
02/21/2026,Stetson,Virginia,6,5,0,0,L,Virginia,Virginia,Stetson,1,9,"DeLand, FL / Melching Field at Conrad Park",2026,WN2026
02/22/2026,North Dakota State,Virginia,4,5,0,1,W,Virginia,Virginia,North-Dakota-State,0,9,"Deland, FL / Melching Field at Conrad Park",2026,WN2026
02/25/2026,Virginia,George Washington,11,0,0,0,W,Virginia,Virginia,George-Washington,0,7,"Charlottesville, VA / Davenport Field",2026,WN2026
02/27/2026,Virginia,VCU,5,3,0,0,W,Virginia,Virginia,VCU,0,9,"Charlottesville, VA / Davenport Field",2026,WN2026
02/28/2026,Virginia,VCU,7,6,0,0,W,Virginia,Virginia,VCU,0,11,"Charlottesville, VA / Davenport Field",2026,WN2026
03/01/2026,VCU,Virginia,3,5,0,0,W,Virginia,Virginia,VCU,1,9,"Richmond, VA / The Diamond",2026,WN2026
03/03/2026,Charlotte,Virginia,14,0,0,0,L,Virginia,Virginia,Charlotte,1,7,"Charlotte, NC / Robert and Mariam Hayes Stadium",2026,WN2026
03/04/2026,Charlotte,Virginia,1,8,0,1,W,Virginia,Virginia,Charlotte,0,9,"Kannapolis, NC / Atrium Health Ballpark",2026,WN2026
03/06/2026,North Carolina,Virginia,3,13,0,0,W,Virginia,Virginia,North-Carolina,1,7,"Chapel Hill, NC / Boshamer Stadium",2026,WN2026
03/07/2026,North Carolina,Virginia,2,9,0,0,W,Virginia,Virginia,North-Carolina,1,9,"Chapel Hill, NC / Boshamer Stadium",2026,WN2026
03/07/2026,North Carolina,Virginia,8,7,0,0,L,Virginia,Virginia,North-Carolina,1,12,"Chapel Hill, NC / Boshamer Stadium",2026,WN2026
03/10/2026,Virginia,William & Mary,9,7,0,0,W,Virginia,Virginia,William-Mary,0,9,"Charlottesville, VA / Davenport Field",2026,WN2026
03/13/2026,Virginia,Virginia Tech,11,6,0,0,W,Virginia,Virginia,Virginia-Tech,0,9,"Charlottesville, VA / Davenport Field",2026,WN2026
03/14/2026,Virginia,Virginia Tech,10,5,0,0,W,Virginia,Virginia,Virginia-Tech,0,9,"Charlottesville, VA / Davenport Field",2026,WN2026
03/15/2026,Virginia,Virginia Tech,3,6,0,0,L,Virginia,Virginia,Virginia-Tech,0,9,"Charlottesville, VA / Davenport Field",2026,WN2026
03/17/2026,Virginia,Georgetown,6,4,0,0,W,Virginia,Virginia,Georgetown,0,9,"Charlottesville, VA / Davenport Field",2026,WN2026
03/18/2026,Liberty,Virginia,12,14,0,0,W,Virginia,Virginia,Liberty,1,9,"Lynchburg, VA / Liberty Baseball Stadium",2026,WN2026
03/20/2026,Virginia,Wake Forest,10,6,0,0,W,Virginia,Virginia,Wake-Forest,0,9,"Charlottesville, VA / Davenport Field",2026,WN2026
03/21/2026,Virginia,Wake Forest,4,13,0,0,L,Virginia,Virginia,Wake-Forest,0,9,"Charlottesville, VA / Davenport Field",2026,WN2026
03/22/2026,Virginia,Wake Forest,14,4,0,0,W,Virginia,Virginia,Wake-Forest,0,8,"Charlottesville, VA / Davenport Field",2026,WN2026
03/24/2026,Maryland,Virginia,6,16,0,1,W,Virginia,Virginia,Maryland,0,8,"Fredericksburg, VA / Virginia Credit Union Stadium",2026,WN2026
03/27/2026,Boston College,Virginia,5,3,0,0,L,Virginia,Virginia,Boston-College,1,9,"Brighton, MA / Eddie Pellagrini Diamond",2026,WN2026
03/28/2026,Boston College,Virginia,17,0,0,0,L,Virginia,Virginia,Boston-College,1,7,"Brighton, MA / Eddie Pellagrini Diamond",2026,WN2026
03/29/2026,Boston College,Virginia,1,3,0,0,W,Virginia,Virginia,Boston-College,1,9,"Brighton, MA / Eddie Pellagrini Diamond",2026,WN2026
03/31/2026,Virginia,Old Dominion,16,2,0,0,W,Virginia,Virginia,Old-Dominion,0,7,"Charlottesville, VA / Davenport Field",2026,WN2026
04/02/2026,Virginia,Florida State,4,3,0,0,W,Virginia,Virginia,Florida-State,0,9,"Charlottesville, VA / Davenport Field",2026,WN2026
04/03/2026,Virginia,Florida State,2,5,0,0,L,Virginia,Virginia,Florida-State,0,9,"Charlottesville, VA / Davenport Field",2026,WN2026
04/04/2026,Virginia,Florida State,3,9,0,0,L,Virginia,Virginia,Florida-State,0,9,"Charlottesville, VA / Davenport Field",2026,WN2026
04/07/2026,Virginia,James Madison,7,8,0,0,L,Virginia,Virginia,James-Madison,0,10,"Charlottesville, VA / Davenport Field",2026,WN2026
04/10/2026,Notre Dame,Virginia,4,8,0,0,W,Virginia,Virginia,Notre-Dame,1,9,"Notre Dame, IN / Frank Eck Stadium",2026,WN2026
04/11/2026,Notre Dame,Virginia,5,3,0,0,L,Virginia,Virginia,Notre-Dame,1,9,"Notre Dame, IN / Frank Eck Stadium",2026,WN2026
04/12/2026,Notre Dame,Virginia,5,20,0,0,W,Virginia,Virginia,Notre-Dame,1,8,"Notre Dame, IN / Frank Eck Stadium",2026,WN2026
04/14/2026,VCU,Virginia,6,2,0,0,L,Virginia,Virginia,VCU,1,9,"Richmond, VA / The Diamond",2026,WN2026
04/16/2026,Virginia,Clemson,6,4,0,0,W,Virginia,Virginia,Clemson,0,9,"Charlottesville, VA / Davenport Field",2026,WN2026
04/17/2026,Virginia,Clemson,1,5,0,0,L,Virginia,Virginia,Clemson,0,9,"Charlottesville, VA / Davenport Field",2026,WN2026
04/18/2026,Virginia,Clemson,5,4,0,0,W,Virginia,Virginia,Clemson,0,9,"Charlottesville, VA / Davenport Field",2026,WN2026
