Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,West Georgia,Central Michigan,11,3,0,0,W,West Georgia,West-Georgia,Central-Michigan,0,9,"Carrollton, GA / Cole Field",2026,WN2026
02/13/2026,West Georgia,Central Michigan,6,18,0,0,L,West Georgia,West-Georgia,Central-Michigan,0,9,"Carrollton, GA / Cole Field",2026,WN2026
02/14/2026,West Georgia,Central Michigan,6,15,0,0,L,West Georgia,West-Georgia,Central-Michigan,0,9,"Carrollton, GA / Cole Field",2026,WN2026
02/14/2026,West Georgia,Central Michigan,1,6,0,0,L,West Georgia,West-Georgia,Central-Michigan,0,9,"Carrollton, GA / Cole Field",2026,WN2026
02/17/2026,Kennesaw State,West Georgia,9,4,0,0,L,West Georgia,West-Georgia,Kennesaw-State,1,9,"Kennesaw, GA / Mickey Dunn Stadium",2026,WN2026
02/20/2026,Little Rock,West Georgia,6,5,0,0,L,West Georgia,West-Georgia,Little-Rock,1,9,"Little Rock, AR / Gary Hogan Field",2026,WN2026
02/21/2026,Little Rock,West Georgia,4,3,0,0,L,West Georgia,West-Georgia,Little-Rock,1,11,"Little Rock, AR / Gary Hogan Field",2026,WN2026
02/22/2026,Little Rock,West Georgia,6,1,0,0,L,West Georgia,West-Georgia,Little-Rock,1,9,"Little Rock, AR / Gary Hogan Field",2026,WN2026
02/25/2026,Auburn,West Georgia,4,3,0,0,L,West Georgia,West-Georgia,Auburn,1,9,"Auburn, AL / Plainsman Park",2026,WN2026
02/27/2026,South Alabama,West Georgia,7,4,0,0,L,West Georgia,West-Georgia,South-Alabama,1,9,"Mobile, AL / Eddie Stanky Field",2026,WN2026
02/28/2026,South Alabama,West Georgia,21,6,0,0,L,West Georgia,West-Georgia,South-Alabama,1,7,"Mobile, AL / Eddie Stanky Field",2026,WN2026
03/01/2026,South Alabama,West Georgia,2,1,0,0,L,West Georgia,West-Georgia,South-Alabama,1,9,"Mobile, AL / Eddie Stanky Field",2026,WN2026
03/06/2026,Wichita State,West Georgia,22,4,0,0,L,West Georgia,West-Georgia,Wichita-State,1,7,"Wichita, KS / Gene Stephenson Park",2026,WN2026
03/07/2026,Wichita State,West Georgia,4,5,0,0,W,West Georgia,West-Georgia,Wichita-State,1,9,"Wichita, KS / Gene Stephenson Park",2026,WN2026
03/07/2026,Wichita State,West Georgia,12,7,0,0,L,West Georgia,West-Georgia,Wichita-State,1,9,"Wichita, KS / Gene Stephenson Park",2026,WN2026
03/08/2026,Wichita State,West Georgia,11,13,0,0,W,West Georgia,West-Georgia,Wichita-State,1,8,"Wichita, KS / Gene Stephenson Park",2026,WN2026
03/10/2026,Georgia Tech,West Georgia,14,0,0,0,L,West Georgia,West-Georgia,Georgia-Tech,1,7,"Atlanta, GA / Russ Chandler Stadium",2026,WN2026
03/13/2026,West Georgia,Jacksonville,8,7,0,0,W,West Georgia,West-Georgia,Jacksonville,0,9,"Carrollton, GA / Cole Field",2026,WN2026
03/14/2026,West Georgia,Jacksonville,4,1,0,0,W,West Georgia,West-Georgia,Jacksonville,0,9,"Carrollton, GA / Cole Field",2026,WN2026
03/15/2026,West Georgia,Jacksonville,5,10,0,0,L,West Georgia,West-Georgia,Jacksonville,0,10,"Carrollton, GA / Cole Field",2026,WN2026
03/17/2026,West Georgia,Georgia State,2,8,0,0,L,West Georgia,West-Georgia,Georgia-State,0,9,"Decatur, GA / Georgia State Baseball Complex",2026,WN2026
03/20/2026,Stetson,West Georgia,4,3,0,0,L,West Georgia,West-Georgia,Stetson,1,9,"DeLand, FL / Melching Field at Conrad Park",2026,WN2026
03/21/2026,Stetson,West Georgia,3,7,0,0,W,West Georgia,West-Georgia,Stetson,1,9,"DeLand, FL / Melching Field at Conrad Park",2026,WN2026
03/22/2026,Stetson,West Georgia,10,6,0,0,L,West Georgia,West-Georgia,Stetson,1,9,"DeLand, FL / Melching Field at Conrad Park",2026,WN2026
03/24/2026,West Georgia,Mercer,9,13,0,0,L,West Georgia,West-Georgia,Mercer,0,9,"Carrollton, GA / Cole Field",2026,WN2026
