Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Western Kentucky,BYU,2,3,0,0,L,Western Kentucky,Western-Kentucky,BYU,0,9,"Bowling Green, KY / Nick Denes Field",2026,WN2026
02/13/2026,Western Kentucky,BYU,5,2,0,0,W,Western Kentucky,Western-Kentucky,BYU,0,9,"Bowling Green, KY / Nick Denes Field",2026,WN2026
02/14/2026,Western Kentucky,BYU,4,2,0,0,W,Western Kentucky,Western-Kentucky,BYU,0,9,"Bowling Green, KY / Nick Denes Field",2026,WN2026
02/16/2026,Western Kentucky,BYU,8,12,0,0,L,Western Kentucky,Western-Kentucky,BYU,0,9,"Bowling Green, KY / Nick Denes Field",2026,WN2026
02/20/2026,Western Kentucky,Southeast Missouri,4,2,0,0,W,Western Kentucky,Western-Kentucky,Southeast-Missouri,0,9,"Bowling Green, KY / Nick Denes Field",2026,WN2026
02/20/2026,Western Kentucky,Southeast Missouri,4,2,0,0,W,Western Kentucky,Western-Kentucky,Southeast-Missouri,0,9,"Bowling Green, KY / Nick Denes Field",2026,WN2026
02/21/2026,Western Kentucky,Southeast Missouri,7,8,0,0,L,Western Kentucky,Western-Kentucky,Southeast-Missouri,0,9,"Bowling Green, KY / Nick Denes Field",2026,WN2026
02/21/2026,Western Kentucky,Southeast Missouri,12,4,0,0,W,Western Kentucky,Western-Kentucky,Southeast-Missouri,0,9,"Bowling Green, KY / Nick Denes Field",2026,WN2026
02/25/2026,Kentucky,Western Kentucky,13,9,0,0,L,Western Kentucky,Western-Kentucky,Kentucky,1,9,"Lexington, KY / Kentucky Proud Park",2026,WN2026
02/27/2026,Western Kentucky,Indiana,4,1,0,0,W,Western Kentucky,Western-Kentucky,Indiana,0,9,"Bowling Green, KY / Nick Denes Field",2026,WN2026
02/28/2026,Western Kentucky,Indiana,1,3,0,0,L,Western Kentucky,Western-Kentucky,Indiana,0,9,"Bowling Green, KY / Nick Denes Field",2026,WN2026
02/28/2026,Western Kentucky,Indiana,14,12,0,0,W,Western Kentucky,Western-Kentucky,Indiana,0,9,"Bowling Green, KY / Nick Denes Field",2026,WN2026
03/01/2026,Western Kentucky,Indiana,3,7,0,0,L,Western Kentucky,Western-Kentucky,Indiana,0,9,"Bowling Green, KY / Nick Denes Field",2026,WN2026
03/03/2026,Western Kentucky,Cincinnati,2,5,0,0,L,Western Kentucky,Western-Kentucky,Cincinnati,0,9,"Cincinnati, OH / UC Baseball Stadium",2026,WN2026
03/06/2026,Western Kentucky,Indiana State,6,5,0,0,W,Western Kentucky,Western-Kentucky,Indiana-State,0,10,"Bowling Green, KY / Nick Denes Field",2026,WN2026
03/07/2026,Western Kentucky,Indiana State,6,11,0,0,L,Western Kentucky,Western-Kentucky,Indiana-State,0,9,"Bowling Green, KY / Nick Denes Field",2026,WN2026
03/08/2026,Western Kentucky,Indiana State,7,4,0,0,W,Western Kentucky,Western-Kentucky,Indiana-State,0,9,"Bowling Green, KY / Nick Denes Field",2026,WN2026
03/13/2026,Western Kentucky,FIU,15,4,0,0,W,Western Kentucky,Western-Kentucky,FIU,0,7,"Bowling Green, KY / Nick Denes Field",2026,WN2026
03/14/2026,Western Kentucky,FIU,5,4,0,0,W,Western Kentucky,Western-Kentucky,FIU,0,10,"Bowling Green, KY / Nick Denes Field",2026,WN2026
03/15/2026,Western Kentucky,FIU,9,3,0,0,W,Western Kentucky,Western-Kentucky,FIU,0,9,"Bowling Green, KY / Nick Denes Field",2026,WN2026
03/18/2026,Belmont,Western Kentucky,2,7,0,1,W,Western Kentucky,Western-Kentucky,Belmont,0,9,"Nashville, TN / E. S. Rose Park",2026,WN2026
03/20/2026,Jacksonville State,Western Kentucky,10,3,0,0,L,Western Kentucky,Western-Kentucky,Jacksonville-State,1,9,"Jacksonville, AL / Rudy Abbott Field",2026,WN2026
03/21/2026,Jacksonville State,Western Kentucky,6,2,0,0,L,Western Kentucky,Western-Kentucky,Jacksonville-State,1,9,"Jacksonville, AL / Rudy Abbott Field",2026,WN2026
03/22/2026,Jacksonville State,Western Kentucky,10,0,0,0,L,Western Kentucky,Western-Kentucky,Jacksonville-State,1,8,"Jacksonville, AL / Rudy Abbott Field",2026,WN2026
03/24/2026,Western Kentucky,Louisville,10,5,0,0,W,Western Kentucky,Western-Kentucky,Louisville,0,9,"Bowling Green, KY / Nick Denes Field",2026,WN2026
03/27/2026,Sam Houston State,Western Kentucky,1,0,0,0,L,Western Kentucky,Western-Kentucky,Sam-Houston-State,1,9,"Huntsville, TX / Don Sanders Stadium",2026,WN2026
03/28/2026,Sam Houston State,Western Kentucky,11,5,0,0,L,Western Kentucky,Western-Kentucky,Sam-Houston-State,1,9,"Huntsville, TX / Don Sanders Stadium",2026,WN2026
03/29/2026,Sam Houston State,Western Kentucky,2,8,0,0,W,Western Kentucky,Western-Kentucky,Sam-Houston-State,1,9,"Huntsville, TX / Don Sanders Stadium",2026,WN2026
03/31/2026,Western Kentucky,Tennessee Tech,12,0,0,0,W,Western Kentucky,Western-Kentucky,Tennessee-Tech,0,7,"Bowling Green, KY / Nick Denes Field",2026,WN2026
04/02/2026,Western Kentucky,Liberty,3,8,0,0,L,Western Kentucky,Western-Kentucky,Liberty,0,9,"Bowling Green, KY / Nick Denes Field",2026,WN2026
