Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Pittsburgh,Western Michigan,12,4,0,1,L,Western Michigan,Western-Michigan,Pittsburgh,0,9,"Port Charlotte, FL / Centennial Park",2026,WN2026
02/14/2026,Pittsburgh,Western Michigan,5,7,0,1,W,Western Michigan,Western-Michigan,Pittsburgh,0,9,"Port Charlotte, FL / Centennial Park",2026,WN2026
02/15/2026,Pittsburgh,Western Michigan,17,7,0,1,L,Western Michigan,Western-Michigan,Pittsburgh,0,8,"Port Charlotte, FL / Centennial Park",2026,WN2026
02/20/2026,Omaha,Western Michigan,8,7,0,1,L,Western Michigan,Western-Michigan,Omaha,0,9,"La Jolla, CA",2026,WN2026
02/21/2026,Omaha,Western Michigan,9,4,0,1,L,Western Michigan,Western-Michigan,Omaha,0,9,"La Jolla, CA",2026,WN2026
02/22/2026,UC San Diego,Western Michigan,2,5,0,0,W,Western Michigan,Western-Michigan,UC-San-Diego,1,9,"La Jolla, CA / Triton Park",2026,WN2026
02/24/2026,UNLV,Western Michigan,9,5,0,0,L,Western Michigan,Western-Michigan,UNLV,1,9,"Paradise, NV / Earl Wilson Stadium",2026,WN2026
02/25/2026,UNLV,Western Michigan,16,1,0,0,L,Western Michigan,Western-Michigan,UNLV,1,7,"Paradise, NV / Earl Wilson Stadium",2026,WN2026
02/27/2026,Cal State Northridge,Western Michigan,1,11,0,0,W,Western Michigan,Western-Michigan,Cal-State-Northridge,1,9,"Northridge, CA / Matador Field",2026,WN2026
02/28/2026,Cal State Northridge,Western Michigan,11,4,0,0,L,Western Michigan,Western-Michigan,Cal-State-Northridge,1,9,"Northridge, CA / Matador Field",2026,WN2026
03/01/2026,Cal State Northridge,Western Michigan,5,10,0,0,W,Western Michigan,Western-Michigan,Cal-State-Northridge,1,9,"Northridge, CA / Matador Field",2026,WN2026
03/06/2026,Akron,Western Michigan,3,4,0,0,W,Western Michigan,Western-Michigan,Akron,1,9,"Akron, OH / Skeeles Field",2026,WN2026
03/07/2026,Akron,Western Michigan,1,4,0,0,W,Western Michigan,Western-Michigan,Akron,1,9,"Akron, OH / Skeeles Field",2026,WN2026
03/08/2026,Akron,Western Michigan,3,2,0,0,L,Western Michigan,Western-Michigan,Akron,1,9,"Akron, OH / Skeeles Field",2026,WN2026
03/10/2026,Michigan,Western Michigan,3,2,0,0,L,Western Michigan,Western-Michigan,Michigan,1,9,"Ann Arbor, MI / Ray Fisher Stadium",2026,WN2026
03/13/2026,Ohio,Western Michigan,12,20,0,0,W,Western Michigan,Western-Michigan,Ohio,1,9,"Athens, OH / Bob Wren Stadium",2026,WN2026
03/14/2026,Ohio,Western Michigan,3,6,0,0,W,Western Michigan,Western-Michigan,Ohio,1,9,"Athens, OH / Bob Wren Stadium",2026,WN2026
