Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Wichita State,Northern Colorado,11,4,0,0,W,Wichita State,Wichita-State,Northern-Colorado,0,9,"Wichita, KS / Gene Stephenson Park",2026,WN2026
02/14/2026,Wichita State,Northern Colorado,14,1,0,0,W,Wichita State,Wichita-State,Northern-Colorado,0,7,"Wichita, KS / Gene Stephenson Park",2026,WN2026
02/15/2026,Wichita State,Northern Colorado,11,0,0,0,W,Wichita State,Wichita-State,Northern-Colorado,0,7,"Wichita, KS / Gene Stephenson Park",2026,WN2026
02/15/2026,Wichita State,Northern Colorado,7,3,0,0,W,Wichita State,Wichita-State,Northern-Colorado,0,7,"Wichita, KS / Gene Stephenson Park",2026,WN2026
02/19/2026,Hawaii,Wichita State,7,6,0,0,L,Wichita State,Wichita-State,Hawaii,1,9,"Honolulu, HI / Les Murakami Stadium",2026,WN2026
02/20/2026,Hawaii,Wichita State,4,2,0,0,L,Wichita State,Wichita-State,Hawaii,1,9,"Honolulu, HI / Les Murakami Stadium",2026,WN2026
02/22/2026,Hawaii,Wichita State,3,13,0,0,W,Wichita State,Wichita-State,Hawaii,1,7,"Honolulu, HI / Les Murakami Stadium",2026,WN2026
02/22/2026,Hawaii,Wichita State,1,7,0,0,W,Wichita State,Wichita-State,Hawaii,1,9,"Honolulu, HI / Les Murakami Stadium",2026,WN2026
02/26/2026,Wichita State,Omaha,3,2,0,0,W,Wichita State,Wichita-State,Omaha,0,9,"Wichita, KS / Gene Stephenson Park",2026,WN2026
02/27/2026,Wichita State,Omaha,10,3,0,0,W,Wichita State,Wichita-State,Omaha,0,9,"Wichita, KS / Gene Stephenson Park",2026,WN2026
02/28/2026,Wichita State,Omaha,5,2,0,0,W,Wichita State,Wichita-State,Omaha,0,9,"Wichita, KS / Gene Stephenson Park",2026,WN2026
02/28/2026,Wichita State,Omaha,8,15,0,0,L,Wichita State,Wichita-State,Omaha,0,9,"Wichita, KS / Gene Stephenson Park",2026,WN2026
03/06/2026,Wichita State,West Georgia,22,4,0,0,W,Wichita State,Wichita-State,West-Georgia,0,7,"Wichita, KS / Gene Stephenson Park",2026,WN2026
03/07/2026,Wichita State,West Georgia,4,5,0,0,L,Wichita State,Wichita-State,West-Georgia,0,9,"Wichita, KS / Gene Stephenson Park",2026,WN2026
03/07/2026,Wichita State,West Georgia,12,7,0,0,W,Wichita State,Wichita-State,West-Georgia,0,9,"Wichita, KS / Gene Stephenson Park",2026,WN2026
03/08/2026,Wichita State,West Georgia,11,13,0,0,L,Wichita State,Wichita-State,West-Georgia,0,8,"Wichita, KS / Gene Stephenson Park",2026,WN2026
