Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Georgia,Wright State,13,1,0,0,L,Wright State,Wright-State,Georgia,1,7,"Athens, GA / Foley Field",2026,WN2026
02/14/2026,Georgia,Wright State,9,0,0,0,L,Wright State,Wright-State,Georgia,1,9,"Athens, GA / Foley Field",2026,WN2026
02/14/2026,Georgia,Wright State,3,6,0,0,W,Wright State,Wright-State,Georgia,1,9,"Athens, GA / Foley Field",2026,WN2026
02/20/2026,Charlotte,Wright State,10,3,0,0,L,Wright State,Wright-State,Charlotte,1,9,"Charlotte, NC / Robert and Mariam Hayes Stadium",2026,WN2026
02/21/2026,Charlotte,Wright State,5,4,0,0,L,Wright State,Wright-State,Charlotte,1,10,"Charlotte, NC / Robert and Mariam Hayes Stadium",2026,WN2026
02/22/2026,Charlotte,Wright State,9,2,0,0,L,Wright State,Wright-State,Charlotte,1,9,"Charlotte, NC / Robert and Mariam Hayes Stadium",2026,WN2026
02/25/2026,Wright State,Kent State,8,1,0,0,W,Wright State,Wright-State,Kent-State,0,9,"Dayton, OH / Nischwitz Stadium",2026,WN2026
02/27/2026,Campbell,Wright State,4,6,0,0,W,Wright State,Wright-State,Campbell,1,9,"Buies Creek, NC / Jim Perry Stadium",2026,WN2026
02/28/2026,Campbell,Wright State,7,3,0,0,L,Wright State,Wright-State,Campbell,1,9,"Buies Creek, NC / Jim Perry Stadium",2026,WN2026
03/01/2026,Campbell,Wright State,1,3,0,0,W,Wright State,Wright-State,Campbell,1,9,"Buies Creek, NC / Jim Perry Stadium",2026,WN2026
03/06/2026,Tennessee,Wright State,4,3,0,0,L,Wright State,Wright-State,Tennessee,1,9,"Knoxville, TN / Lindsey Nelson Stadium",2026,WN2026
03/07/2026,Tennessee,Wright State,5,4,0,0,L,Wright State,Wright-State,Tennessee,1,9,"Knoxville, TN / Lindsey Nelson Stadium",2026,WN2026
03/08/2026,Tennessee,Wright State,0,6,0,0,W,Wright State,Wright-State,Tennessee,1,9,"Knoxville, TN / Lindsey Nelson Stadium",2026,WN2026
03/10/2026,Indiana,Wright State,12,4,0,0,L,Wright State,Wright-State,Indiana,1,9,"Bloomington, IN / Bart Kaufman Field",2026,WN2026
03/14/2026,Wright State,Southeast Missouri,2,4,0,0,L,Wright State,Wright-State,Southeast-Missouri,0,9,"Dayton, OH / Nischwitz Stadium",2026,WN2026
03/14/2026,Wright State,Southeast Missouri,0,6,0,0,L,Wright State,Wright-State,Southeast-Missouri,0,9,"Dayton, OH / Nischwitz Stadium",2026,WN2026
03/15/2026,Wright State,Southeast Missouri,2,3,0,0,L,Wright State,Wright-State,Southeast-Missouri,0,9,"Dayton, OH / Nischwitz Stadium",2026,WN2026
03/20/2026,Wright State,Milwaukee,8,4,0,0,W,Wright State,Wright-State,Milwaukee,0,9,"Dayton, OH / Nischwitz Stadium",2026,WN2026
03/21/2026,Wright State,Milwaukee,8,3,0,0,W,Wright State,Wright-State,Milwaukee,0,9,"Dayton, OH / Nischwitz Stadium",2026,WN2026
03/22/2026,Wright State,Milwaukee,6,5,0,0,W,Wright State,Wright-State,Milwaukee,0,9,"Dayton, OH / Nischwitz Stadium",2026,WN2026
03/24/2026,Wright State,Ohio State,10,8,0,0,W,Wright State,Wright-State,Ohio-State,0,9,"Dayton, OH / Nischwitz Stadium",2026,WN2026
03/27/2026,Wright State,Oakland,12,4,0,0,W,Wright State,Wright-State,Oakland,0,9,"Dayton, OH / Nischwitz Stadium",2026,WN2026
03/28/2026,Wright State,Oakland,11,5,0,0,W,Wright State,Wright-State,Oakland,0,9,"Dayton, OH / Nischwitz Stadium",2026,WN2026
03/29/2026,Wright State,Oakland,7,10,0,0,L,Wright State,Wright-State,Oakland,0,10,"Dayton, OH / Nischwitz Stadium",2026,WN2026
03/31/2026,Cincinnati,Wright State,8,5,0,0,L,Wright State,Wright-State,Cincinnati,1,9,"Cincinnati, OH / UC Baseball Stadium",2026,WN2026
04/02/2026,Wright State,Northern Kentucky,9,5,0,0,W,Wright State,Wright-State,Northern-Kentucky,0,9,"Dayton, OH / Nischwitz Stadium",2026,WN2026
04/03/2026,Wright State,Northern Kentucky,14,4,0,0,W,Wright State,Wright-State,Northern-Kentucky,0,7,"Dayton, OH / Nischwitz Stadium",2026,WN2026
04/04/2026,Wright State,Northern Kentucky,6,1,0,0,W,Wright State,Wright-State,Northern-Kentucky,0,9,"Dayton, OH / Nischwitz Stadium",2026,WN2026
04/07/2026,Xavier,Wright State,4,2,0,1,L,Wright State,Wright-State,Xavier,0,9,"Mason, OH / Prasco Park",2026,WN2026
04/10/2026,Youngstown State,Wright State,4,15,0,0,W,Wright State,Wright-State,Youngstown-State,1,9,"Niles, OH / Eastwood Field",2026,WN2026
04/11/2026,Youngstown State,Wright State,5,8,0,0,W,Wright State,Wright-State,Youngstown-State,1,10,"Niles, OH / Eastwood Field",2026,WN2026
04/12/2026,Youngstown State,Wright State,8,20,0,0,W,Wright State,Wright-State,Youngstown-State,1,9,"Niles, OH / Eastwood Field",2026,WN2026
04/15/2026,Dayton,Wright State,9,5,0,0,L,Wright State,Wright-State,Dayton,1,9,"Dayton, OH / Day Air Ballpark",2026,WN2026
04/17/2026,Wright State,Indiana State,7,8,0,0,L,Wright State,Wright-State,Indiana-State,0,14,"Dayton, OH / Nischwitz Stadium",2026,WN2026
04/17/2026,Wright State,Indiana State,3,6,0,0,L,Wright State,Wright-State,Indiana-State,0,9,"Dayton, OH / Nischwitz Stadium",2026,WN2026
04/19/2026,Wright State,Indiana State,8,11,0,0,L,Wright State,Wright-State,Indiana-State,0,9,"Dayton, OH / Nischwitz Stadium",2026,WN2026
04/21/2026,Wright State,Cincinnati,12,7,0,0,W,Wright State,Wright-State,Cincinnati,0,9,"Dayton, OH / Nischwitz Stadium",2026,WN2026
04/24/2026,Milwaukee,Wright State,10,7,0,0,L,Wright State,Wright-State,Milwaukee,1,9,"Dayton, OH / Nischwitz Stadium",2026,WN2026
04/25/2026,Milwaukee,Wright State,4,0,0,0,L,Wright State,Wright-State,Milwaukee,1,9,"Dayton, OH / Nischwitz Stadium",2026,WN2026
04/26/2026,Milwaukee,Wright State,2,13,0,0,W,Wright State,Wright-State,Milwaukee,1,8,"Dayton, OH / Nischwitz Stadium",2026,WN2026
04/29/2026,Wright State,Miami (OH),7,14,0,0,L,Wright State,Wright-State,Miami-OH,0,9,"Dayton, OH / Nischwitz Stadium",2026,WN2026
05/01/2026,Oakland,Wright State,4,8,0,0,W,Wright State,Wright-State,Oakland,1,9,"Rochester, MI / Oakland Baseball Field",2026,WN2026
05/02/2026,Oakland,Wright State,1,6,0,0,W,Wright State,Wright-State,Oakland,1,9,"Rochester, MI / Oakland Baseball Field",2026,WN2026
