Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,East Carolina,Xavier,3,4,0,0,W,Xavier,Xavier,East-Carolina,1,9,"Greenville, NC / Clark-LeClair Stadium",2026,WN2026
02/14/2026,East Carolina,Xavier,3,9,0,0,W,Xavier,Xavier,East-Carolina,1,9,"Greenville, NC / Clark-LeClair Stadium",2026,WN2026
02/14/2026,East Carolina,Xavier,12,5,0,0,L,Xavier,Xavier,East-Carolina,1,9,"Greenville, NC / Clark-LeClair Stadium",2026,WN2026
02/17/2026,Louisville,Xavier,23,11,0,0,L,Xavier,Xavier,Louisville,1,9,"Louisville, KY / Jim Patterson Stadium",2026,WN2026
02/20/2026,Arkansas,Xavier,5,2,0,0,L,Xavier,Xavier,Arkansas,1,9,"Fayetteville, AR / Baum Stadium",2026,WN2026
02/21/2026,Arkansas,Xavier,7,6,0,0,L,Xavier,Xavier,Arkansas,1,9,"Fayetteville, AR / Baum Stadium",2026,WN2026
02/22/2026,Arkansas,Xavier,11,0,0,0,L,Xavier,Xavier,Arkansas,1,8,"Fayetteville, AR / Baum Stadium",2026,WN2026
02/25/2026,Xavier,Indiana,4,10,0,0,L,Xavier,Xavier,Indiana,0,9,"Cincinnati, OH / J. Page Hayden Field",2026,WN2026
02/27/2026,Cal State Fullerton,Xavier,0,3,0,0,W,Xavier,Xavier,Cal-State-Fullerton,1,9,"Fullerton, CA / Goodwin Field",2026,WN2026
02/28/2026,Cal State Fullerton,Xavier,2,3,0,0,W,Xavier,Xavier,Cal-State-Fullerton,1,9,"Fullerton, CA / Goodwin Field",2026,WN2026
03/01/2026,Cal State Fullerton,Xavier,16,7,0,0,L,Xavier,Xavier,Cal-State-Fullerton,1,9,"Fullerton, CA / Goodwin Field",2026,WN2026
03/04/2026,Ohio State,Xavier,4,13,0,0,W,Xavier,Xavier,Ohio-State,1,9,"Columbus, OH / Bill Davis Stadium",2026,WN2026
03/06/2026,Oregon State,Xavier,4,2,0,0,L,Xavier,Xavier,Oregon-State,1,9,"Corvallis, OR / Goss Stadium at Coleman Field",2026,WN2026
03/07/2026,Oregon State,Xavier,7,2,0,0,L,Xavier,Xavier,Oregon-State,1,9,"Corvallis, OR / Goss Stadium at Coleman Field",2026,WN2026
03/08/2026,Oregon State,Xavier,17,2,0,0,L,Xavier,Xavier,Oregon-State,1,9,"Corvallis, OR / Goss Stadium at Coleman Field",2026,WN2026
03/09/2026,Oregon State,Xavier,7,2,0,0,L,Xavier,Xavier,Oregon-State,1,9,"Corvallis, OR / Goss Stadium at Coleman Field",2026,WN2026
