Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Auburn,Youngstown State,2,1,0,0,L,Youngstown State,Youngstown-State,Auburn,1,9,"Auburn, AL / Plainsman Park",2026,WN2026
02/14/2026,Auburn,Youngstown State,2,1,0,0,L,Youngstown State,Youngstown-State,Auburn,1,10,"Auburn, AL / Plainsman Park",2026,WN2026
02/14/2026,Auburn,Youngstown State,17,2,0,0,L,Youngstown State,Youngstown-State,Auburn,1,7,"Auburn, AL / Plainsman Park",2026,WN2026
02/19/2026,Oregon,Youngstown State,18,1,0,0,L,Youngstown State,Youngstown-State,Oregon,1,9,"Eugene, OR / PK Park",2026,WN2026
02/20/2026,Oregon,Youngstown State,3,0,0,0,L,Youngstown State,Youngstown-State,Oregon,1,9,"Eugene, OR / PK Park",2026,WN2026
02/21/2026,Oregon,Youngstown State,7,0,0,0,L,Youngstown State,Youngstown-State,Oregon,1,9,"Eugene, OR / PK Park",2026,WN2026
02/22/2026,Oregon,Youngstown State,15,6,0,0,L,Youngstown State,Youngstown-State,Oregon,1,9,"Eugene, OR / PK Park",2026,WN2026
02/27/2026,Longwood,Youngstown State,1,2,0,0,W,Youngstown State,Youngstown-State,Longwood,1,9,"Farmville, VA / Bolding Stadium",2026,WN2026
02/28/2026,Longwood,Youngstown State,9,3,0,0,L,Youngstown State,Youngstown-State,Longwood,1,9,"Farmville, VA / Bolding Stadium",2026,WN2026
02/28/2026,Longwood,Youngstown State,6,3,0,0,L,Youngstown State,Youngstown-State,Longwood,1,9,"Farmville, VA / Bolding Stadium",2026,WN2026
03/01/2026,Longwood,Youngstown State,6,4,0,0,L,Youngstown State,Youngstown-State,Longwood,1,9,"Farmville, VA / Bolding Stadium",2026,WN2026
03/06/2026,Southern Indiana,Youngstown State,5,2,0,0,L,Youngstown State,Youngstown-State,Southern-Indiana,1,9,"Evansville, IN / USI Baseball Field",2026,WN2026
03/08/2026,Southern Indiana,Youngstown State,10,1,0,0,L,Youngstown State,Youngstown-State,Southern-Indiana,1,9,"Evansville, IN / USI Baseball Field",2026,WN2026
03/08/2026,Southern Indiana,Youngstown State,4,1,0,0,L,Youngstown State,Youngstown-State,Southern-Indiana,1,9,"Evansville, IN / USI Baseball Field",2026,WN2026
