wn_name,wn_slug
Abilene Christian,Abilene-Christian
Air Force,Air-Force
Akron,Akron
Alabama,Alabama
Alabama A&M,Alabama-AM
Alabama State,Alabama-State
Albany,Albany
Alcorn State,Alcorn-State
Appalachian State,Appalachian-State
Arizona,Arizona
Arizona State,Arizona-State
Arkansas,Arkansas
Arkansas State,Arkansas-State
Arkansas-Pine Bluff,Arkansas-Pine-Bluff
Army,Army
Auburn,Auburn
Austin Peay,Austin-Peay
Ball State,Ball-State
Baylor,Baylor
Bellarmine,Bellarmine
Belmont,Belmont
Bethune-Cookman,Bethune-Cookman
Binghamton,Binghamton
Boston College,Boston-College
Bowling Green,Bowling-Green
Bradley,Bradley
Brown,Brown
Bryant,Bryant
Bucknell,Bucknell
Butler,Butler
BYU,BYU
Cal Poly,Cal-Poly
Cal State Bakersfield,Cal-State-Bakersfield
Cal State Fullerton,Cal-State-Fullerton
Cal State Northridge,Cal-State-Northridge
California,California
California Baptist,California-Baptist
Campbell,Campbell
Canisius,Canisius
Central Arkansas,Central-Arkansas
Central Connecticut,Central-Connecticut
Central Michigan,Central-Michigan
Charleston,Charleston
Charleston Southern,Charleston-Southern
Charlotte,Charlotte
Cincinnati,Cincinnati
Clemson,Clemson
Coastal Carolina,Coastal-Carolina
Columbia,Columbia
Connecticut,Connecticut
Coppin State,Coppin-State
Cornell,Cornell
Creighton,Creighton
Dallas Baptist,Dallas-Baptist
Dartmouth,Dartmouth
Davidson,Davidson
Dayton,Dayton
Delaware,Delaware
Delaware State,Delaware-State
Duke,Duke
East Carolina,East-Carolina
East Tennessee State,East-Tennessee-State
Eastern Illinois,Eastern-Illinois
Eastern Kentucky,Eastern-Kentucky
Eastern Michigan,Eastern-Michigan
Elon,Elon
Evansville,Evansville
Fairfield,Fairfield
Fairleigh Dickinson,Fairleigh-Dickinson
FAU,FAU
FGCU,FGCU
FIU,FIU
Florida,Florida
Florida A&M,Florida-AM
Florida State,Florida-State
Fordham,Fordham
Fresno State,Fresno-State
Gardner-Webb,Gardner-Webb
George Mason,George-Mason
George Washington,George-Washington
Georgetown,Georgetown
Georgia,Georgia
Georgia Southern,Georgia-Southern
Georgia State,Georgia-State
Georgia Tech,Georgia-Tech
Gonzaga,Gonzaga
Grambling State,Grambling-State
Grand Canyon,Grand-Canyon
Harvard,Harvard
Hawaii,Hawaii
High Point,High-Point
Hofstra,Hofstra
Holy Cross,Holy-Cross
Houston,Houston
Houston Christian,Houston-Christian
Illinois,Illinois
Illinois State,Illinois-State
Incarnate Word,Incarnate-Word
Indiana,Indiana
Indiana State,Indiana-State
Iona,Iona
Iowa,Iowa
Jackson State,Jackson-State
Jacksonville,Jacksonville
Jacksonville State,Jacksonville-State
James Madison,James-Madison
Kansas,Kansas
Kansas State,Kansas-State
Kennesaw State,Kennesaw-State
Kent State,Kent-State
Kentucky,Kentucky
La Salle,La-Salle
Lafayette,Lafayette
Lamar,Lamar
Le Moyne,Le-Moyne
Lehigh,Lehigh
Liberty,Liberty
Lindenwood,Lindenwood
Lipscomb,Lipscomb
Little Rock,Little-Rock
Long Beach State,Long-Beach-State
Long Island,Long-Island
Longwood,Longwood
Louisiana,Louisiana
Louisiana Tech,Louisiana-Tech
Louisville,Louisville
Loyola-Marymount,Loyola-Marymount
LSU,LSU
Maine,Maine
Manhattan,Manhattan
Marist,Marist
Marshall,Marshall
Maryland,Maryland
Maryland Eastern Shore,Maryland-Eastern-Shore
McNeese,McNeese
Memphis,Memphis
Mercer,Mercer
Mercyhurst,Mercyhurst
Merrimack,Merrimack
Miami (FL),Miami-FL
Miami (OH),Miami-OH
Michigan,Michigan
Michigan State,Michigan-State
Middle Tennessee,Middle-Tennessee
Milwaukee,Milwaukee
Minnesota,Minnesota
Mississippi State,Mississippi-State
Mississippi Valley State,Mississippi-Valley-State
Missouri,Missouri
Missouri State,Missouri-State
Monmouth,Monmouth
Morehead State,Morehead-State
Mount Saint Mary's,Mount-Saint-Marys
Murray State,Murray-State
Navy,Navy
Nebraska,Nebraska
Nevada,Nevada
New Haven,New-Haven
New Mexico,New-Mexico
New Mexico State,New-Mexico-State
New Orleans,New-Orleans
Niagara,Niagara
Nicholls,Nicholls
NJIT,NJIT
Norfolk State,Norfolk-State
North Alabama,North-Alabama
North Carolina,North-Carolina
North Carolina A&T,North-Carolina-AT
North Carolina State,North-Carolina-State
North Dakota State,North-Dakota-State
